"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Kevin Stadler","30","70","65","69","70","274","-10","36450","71","19","21","30","35","16","310.3","24","59","10","30.8","123","55","0","-4","-6","0","18","47","6","10"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Kevin Stadler","19","71","69","73","70","283","-5","81900","21","18","27","19","38","21","0","0","49","26","28","112","9","1","-1","-5","1","16","43","11","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Kevin Stadler","10","68","68","65","71","272","-8","121917","38","17","3","10","46","2","285.5","12","55","15","30.3","121","41","-2","-1","-5","0","17","47","7","30"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Kevin Stadler","12","67","63","68","74","272","-12","126000","7","1","2","12","31","67","291.3","13","49","47","27","108","5","-4","-1","-7","1","21","40","9","20"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Kevin Stadler","78","69","66","72","71","278","-10","10431","48","22","70","78","43","9","297.6","23","45","82","28.3","113","43","0","4","-14","2","17","44","7","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Kevin Stadler","1","65","68","67","68","268","-16","1116000","3","5","2","1","38","10","309","23","56","10","28.8","115","20","-2","-7","-7","0","22","45","4","100"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Kevin Stadler","45","67","73","73","75","288","1","18499","10","25","31","45","35","48","275.6","33","47","33","29.5","118","35","-2","6","-3","0","16","40","15","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Kevin Stadler","23","69","69","74","67","279","-5","57955","18","14","50","23","30","39","302.5","14","52","2","29.5","118","60","-1","3","-7","1","15","45","10","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Kevin Stadler","47","77","76","72","73","298","10","57000","58","54","46","47","23","52","301.6","13","41","38","28.5","114","23","-1","11","0","0","13","40","16","10"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Kevin Stadler","CUT","70","75","0","0","145","1","0","59","78","0","0","20","0","306.5","0","29","0","33","66","0","1","1","-1","0","6","23","7","0"
