"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Kevin Tway","40","70","65","72","71","278","-6","19000","34","6","30","40","35","16","298.4","29","51","41","29.3","117","32","1","-5","-2","0","16","46","10","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Kevin Tway","CUT","72","76","0","0","148","8","0","107","120","0","0","13","0","276.3","0","25","0","34","68","0","4","5","-1","0","5","19","11","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Kevin Tway","CUT","72","72","0","0","144","2","0","78","104","0","0","16","0","290.5","0","22","0","29","58","0","0","6","-4","1","5","22","7","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Kevin Tway","CUT","73","71","0","0","144","4","0","118","123","0","0","12","0","293.8","0","21","0","30.5","61","0","-2","7","-1","0","4","24","8","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Kevin Tway","CUT","69","75","70","0","214","-2","0","48","136","136","0","24","0","292.8","0","31","0","28.3","85","0","1","5","-8","1","11","31","11","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Kevin Tway","37","69","70","73","75","287","-1","26840","17","11","13","37","25","60","287.5","35","52","5","31","124","67","-3","6","-4","0","13","48","10","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Kevin Tway","CUT","74","69","0","0","143","1","0","116","85","0","0","16","0","304.5","0","25","0","30","60","0","5","-2","-2","0","8","21","5","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Kevin Tway","CUT","70","76","74","0","220","5","0","58","109","106","0","26","0","271","0","31","0","29.3","88","0","3","2","0","0","7","37","9","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Kevin Tway","CUT","73","73","0","0","146","2","0","77","103","0","0","17","0","301.8","0","23","0","28.5","57","0","0","6","-4","0","6","23","6","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Kevin Tway","CUT","74","78","0","0","152","8","0","79","121","0","0","15","0","293","0","19","0","31.5","63","0","3","8","-3","0","4","21","10","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Kevin Tway","CUT","70","80","0","0","150","8","0","20","108","0","0","16","0","263.3","0","16","0","29","58","0","2","7","-1","0","4","22","8","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Kevin Tway","48","70","72","69","73","284","-4","17544","36","67","50","48","32","59","304.5","3","49","46","29.8","119","58","4","-1","-7","0","16","46","8","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Kevin Tway","65","73","72","75","72","292","4","14352","67","59","67","65","29","29","307.5","11","41","61","29.5","118","54","1","7","-4","0","14","40","18","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Kevin Tway","CUT","74","70","0","0","144","4","0","130","108","0","0","15","0","300","0","24","0","31","62","0","1","5","-2","0","5","22","9","0"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Kevin Tway","CUT","75","71","0","0","146","6","0","113","109","0","0","20","0","310.3","0","25","0","33","66","0","3","4","-1","0","6","19","10","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Kevin Tway","CUT","75","73","0","0","148","8","0","141","136","0","0","19","0","288","0","19","0","29","58","0","4","5","-1","0","2","28","3","0"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Kevin Tway","60","72","72","81","72","297","17","21564","50","44","65","60","42","16","291.3","26","44","24","31.5","126","57","3","12","2","0","10","39","19","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Kevin Tway","26","71","65","69","68","273","-7","45880","102","28","28","26","41","17","292.9","36","53","10","29.5","118","53","2","-5","-4","0","18","45","7","10"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Kevin Tway","CUT","69","74","0","0","143","3","0","53","109","0","0","15","0","297","0","21","0","29","58","0","1","2","0","0","4","26","5","0"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Kevin Tway","52","65","69","72","71","277","-7","10998","7","10","35","52","39","46","299.9","26","56","12","31","124","76","-1","1","-7","1","15","46","10","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Kevin Tway","CUT","72","74","0","0","146","6","0","106","132","0","0","12","0","300","0","19","0","28.5","57","0","7","1","-2","0","4","25","5","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Kevin Tway","CUT","70","71","0","0","141","1","0","73","108","0","0","15","0","307.8","0","28","0","32","64","0","-2","6","-3","0","5","26","4","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Kevin Tway","54","73","67","68","70","278","-6","14322","118","65","53","54","26","68","309.8","22","48","63","29","116","28","0","-4","-2","0","16","46","10","5"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Kevin Tway","CUT","74","73","0","0","147","7","0","67","68","0","0","17","0","289","0","23","0","32.5","65","0","1","5","1","0","6","19","9","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Kevin Tway","62","71","69","72","74","286","-2","12720","63","36","52","62","30","41","308.1","2","49","58","29.3","117","41","2","4","-8","1","10","51","10","5"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Kevin Tway","35","69","70","72","71","282","-6","19830","38","30","43","35","30","30","317.4","8","52","29","29","116","38","3","-3","-6","0","16","47","8","10"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Kevin Tway","CUT","68","72","0","0","140","-2","0","33","75","0","0","14","0","320.8","0","25","0","30","60","0","-1","2","-3","0","7","25","3","0"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Kevin Tway","71","73","67","73","70","283","-1","13860","107","59","71","71","37","43","302.5","4","47","63","29","116","49","-1","7","-7","0","16","44","9","5"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Kevin Tway","71","66","68","75","0","209","-3","11760","18","26","71","0","27","0","304.5","0","35","0","28.3","85","0","0","0","-3","1","10","36","5","5"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Kevin Tway","CUT","69","72","0","0","141","1","0","74","120","0","0","15","0","318.5","0","25","0","31","62","0","3","1","-3","0","9","19","7","0"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Kevin Tway","CUT","79","75","70","0","224","8","0","154","155","152","0","23","0","293.5","0","27","0","29.3","88","0","3","7","-2","0","4","41","6","0"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Kevin Tway","41","72","70","70","74","286","-2","22814","77","35","24","41","20","71","302.4","8","49","39","30","120","42","0","5","-7","0","16","43","12","10"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Kevin Tway","48","70","69","74","71","284","-3","17897","13","13","47","48","33","60","299.9","4","51","30","30.3","121","50","-1","3","-5","1","17","39","14","10"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Kevin Tway","CUT","76","72","0","0","148","6","0","133","121","0","0","10","0","306.5","0","16","0","29","58","0","3","3","0","0","3","25","7","0"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Kevin Tway","32","66","71","71","69","277","-11","16980","5","21","33","32","35","56","306.9","3","57","15","29.8","119","47","1","-4","-8","0","18","47","7","10"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Kevin Tway","3","70","68","72","69","279","-9","359600","33","7","4","3","33","35","297.8","20","48","6","28.8","115","53","0","-1","-8","1","16","47","7","60"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Kevin Tway","5","72","70","69","70","281","-7","273750","53","20","8","5","33","44","304.9","6","44","41","27.3","109","10","4","-6","-5","0","19","41","12","40"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Kevin Tway","20","71","70","64","71","276","-4","78214","55","60","19","20","23","67","306","4","42","52","27.8","111","18","-2","1","-3","0","13","50","9","20"
"2017","28-May-17","41421","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Kevin Tway","18","68","70","72","68","278","-2","86940","13","11","22","18","25","64","318.9","1","45","29","28","112","13","-2","3","-3","0","19","39","11","20"
"2017","4-Jun-17","41428","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Kevin Tway","CUT","77","75","0","0","152","8","0","102","105","0","0","17","0","307.5","0","21","0","32","64","0","2","6","0","0","3","22","11","0"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Kevin Tway","31","69","69","68","72","278","-2","38880","29","34","22","31","29","51","303.4","17","44","35","28.3","113","41","1","1","-4","0","11","52","9","10"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Kevin Tway","43","73","67","71","66","277","-3","19870","125","69","67","43","28","69","315.1","7","50","28","30","120","57","2","-3","-2","0","15","47","9","10"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Kevin Tway","55","72","70","75","70","287","7","15975","66","37","64","55","20","74","332","2","36","72","27.8","111","8","-1","11","-3","1","12","40","17","5"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Kevin Tway","12","70","63","69","69","271","-13","103200","55","5","8","12","39","46","314.9","3","50","62","26.8","107","5","0","-7","-6","0","22","43","6","20"
"2017","30-Jul-17","41484","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Kevin Tway","48","67","71","72","70","280","-8","15080","17","36","55","48","31","36","315.9","10","51","21","28.8","115","61","2","-4","-6","1","16","47","6","10"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Kevin Tway","CUT","72","66","0","0","138","-2","0","133","86","0","0","13","0","315.5","0","25","0","29.5","59","0","0","1","-3","1","7","21","7","0"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Kevin Tway","43","70","71","70","73","284","4","28058","39","47","39","43","31","59","304.4","13","51","18","31.3","125","63","3","4","-3","0","12","45","14","10"
"2017","4-Sep-17","41520","Dell Technologies Championship","","TPC Boston","7342","71","Dell Technologies Championship","Kevin Tway","40","71","74","72","66","283","-1","32375","30","69","66","40","25","79","299.8","15","42","72","27.5","110","9","1","3","-5","1","16","38","17","10"
