"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Kiradech Aphibarnrat","3","67","69","69","70","275","-13","406000","4","3","3","3","43","2","0","0","60","1","30","120","57","-2","-3","-8","1","17","49","4","60"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Kiradech Aphibarnrat","55","69","78","68","72","287","-1","46250","8","60","44","55","33","44","0","0","48","47","29.3","117","44","2","3","-6","0","19","39","10","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Kiradech Aphibarnrat","67","66","71","73","76","286","2","12710","10","16","40","67","29","67","301.8","38","40","77","27.3","109","1","5","-1","-2","0","17","38","15","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Kiradech Aphibarnrat","64","69","74","73","0","216","1","13200","35","73","64","0","26","0","285.3","0","39","0","31.7","95","0","4","3","-6","0","8","37","9","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Kiradech Aphibarnrat","67","74","82","79","79","314","26","45000","33","64","66","67","21","63","298.8","20","37","56","30","120","54","10","13","3","0","8","42","12","5"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Kiradech Aphibarnrat","62","73","71","70","76","290","2","13268","64","64","47","62","39","24","303.8","24","44","53","28.3","113","36","3","5","-6","0","19","34","17","5"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Kiradech Aphibarnrat","CUT","72","75","0","0","147","3","0","49","73","0","0","17","0","279.8","0","21","0","29","58","0","3","2","-2","0","7","21","6","0"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Kiradech Aphibarnrat","WD","72","0","0","0","72","1","0","79","0","0","0","8","0","311","0","11","0","29","29","0","0","4","-3","1","3","8","6","0"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Kiradech Aphibarnrat","6","70","71","65","69","275","-13","211050","32","40","8","6","40","35","293.9","26","49","41","27.3","109","5","1","-2","-12","2","21","39","8","30"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Kiradech Aphibarnrat","CUT","81","77","0","0","158","14","0","122","124","0","0","14","0","308.8","0","12","0","28","56","0","5","8","1","0","5","17","10","0"
