"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Louis Oosthuizen","15","70","70","70","67","277","-11","93500","15","18","18","15","37","19","0","0","59","2","30.3","121","63","-4","-6","-1","1","17","47","6","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Louis Oosthuizen","CUT","74","74","0","0","148","6","0","109","122","0","0","18","0","318.5","0","24","0","33","66","0","4","4","-2","0","5","23","5","0"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Louis Oosthuizen","40","72","78","71","74","295","7","63500","15","34","28","40","32","6","302.5","10","41","38","28.3","113","18","4","4","-1","0","14","39","17","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Louis Oosthuizen","CUT","73","74","0","0","147","5","0","70","96","0","0","16","0","284.5","0","25","0","30.5","61","0","-1","9","-3","0","7","19","9","0"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Louis Oosthuizen","CUT","72","73","0","0","145","1","0","97","78","0","0","15","0","312","0","26","0","32","64","0","0","2","-1","0","7","21","8","0"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Louis Oosthuizen","25","69","75","75","72","291","3","79200","2","15","24","25","38","23","303.1","3","49","7","30","120","30","4","3","-4","1","12","45","12","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Louis Oosthuizen","CUT","77","75","0","0","152","8","0","133","135","0","0","18","0","291","0","17","0","27.5","55","0","3","2","3","0","4","21","10","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Louis Oosthuizen","11","68","68","64","74","274","-6","146280","13","15","1","11","32","30","316","8","48","20","28.8","115","44","-2","-1","-3","0","17","44","11","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Louis Oosthuizen","38","72","68","67","71","278","-2","26240","82","47","25","38","31","31","316.4","2","53","5","30.8","123","70","-2","3","-3","0","15","45","11","10"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Louis Oosthuizen","40","71","73","78","67","289","9","37754","36","44","61","40","36","54","289.5","29","42","44","30.3","121","35","1","9","-1","0","8","48","15","10"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Louis Oosthuizen","WD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Louis Oosthuizen","36","70","68","76","72","286","-2","46271","19","3","31","36","29","62","283","35","50","16","30.8","123","61","1","2","-5","0","15","45","11","10"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Louis Oosthuizen","61","75","73","67","75","290","10","45500","68","70","52","61","27","45","302.8","28","37","57","28.8","115","42","1","9","0","0","10","44","16","5"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Louis Oosthuizen","15","70","67","67","71","275","-9","127889","35","9","6","15","40","17","298","14","55","1","29.8","119","57","-3","-1","-5","0","20","41","11","20"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Louis Oosthuizen","CUT","73","72","0","0","145","3","0","90","89","0","0","22","0","281.5","0","24","0","31.5","63","0","2","2","-1","0","6","22","7","0"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Louis Oosthuizen","14","70","70","72","72","284","-4","89833","8","9","10","14","16","74","0","0","37","15","21.3","85","29","1","0","-5","1","12","49","10","20"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Louis Oosthuizen","6","71","74","67","73","285","-3","270000","13","23","5","6","29","30","306.4","13","46","23","28.3","113","18","7","-2","-8","2","14","43","11","30"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Louis Oosthuizen","CUT","75","72","0","0","147","5","0","129","103","0","0","20","0","277","0","25","0","32.5","65","0","-1","6","0","0","2","27","7","0"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Louis Oosthuizen","9","69","68","70","69","276","-12","176400","18","10","12","9","40","35","292.4","30","54","10","29.3","117","40","3","-5","-10","2","18","42","10","30"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Louis Oosthuizen","CUT","71","70","0","0","141","-3","0","65","72","0","0","16","0","292.3","0","30","0","32","64","0","-1","2","-4","0","7","26","2","0"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Louis Oosthuizen","19","72","69","71","72","284","-4","135000","31","12","12","19","36","30","298.5","26","49","16","29","116","17","6","-2","-8","0","17","43","11","20"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Louis Oosthuizen","7","69","67","69","67","272","-12","190275","9","7","10","7","32","62","277","45","52","6","28.5","114","60","-4","-1","-7","1","19","43","9","30"
