"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Lucas Glover","CUT","74","69","0","0","143","1","0","100","82","0","0","19","0","310.5","0","25","0","31","62","0","2","1","-2","0","5","26","4","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Lucas Glover","CUT","69","76","0","0","145","3","0","51","117","0","0","16","0","329.3","0","26","0","31","62","0","-1","5","-1","0","7","22","4","0"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Lucas Glover","64","71","75","75","74","295","7","14630","21","59","66","64","32","57","0","0","44","61","30.3","121","63","8","10","-11","1","13","41","13","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Lucas Glover","40","69","72","68","70","279","-1","19800","63","59","36","40","32","67","285.8","11","56","12","32","128","69","2","-1","-2","0","13","47","12","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Lucas Glover","65","70","70","70","72","282","-2","12420","44","55","59","65","33","57","301","3","55","10","30.3","121","64","-1","4","-5","0","16","44","10","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Lucas Glover","CUT","72","67","70","0","209","-7","0","113","74","94","0","30","0","304.8","0","41","0","30.3","91","0","-1","0","-6","0","13","36","4","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Lucas Glover","CUT","74","74","0","0","148","4","0","99","114","0","0","14","0","302.3","0","27","0","32","64","0","4","-1","1","0","4","28","1","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Lucas Glover","CUT","79","66","0","0","145","3","0","131","107","0","0","16","0","315","0","25","0","31","62","0","2","0","1","0","6","23","5","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Lucas Glover","CUT","68","78","74","0","220","5","0","22","109","106","0","30","0","287.7","0","34","0","32.3","97","0","3","7","-5","0","9","31","14","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Lucas Glover","CUT","72","76","0","0","148","6","0","83","122","0","0","13","0","306","0","20","0","30.5","61","0","2","6","-2","0","7","17","11","0"
