"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Luke List","28","70","68","72","68","278","-10","27880","63","25","45","28","29","54","295.4","7","51","51","29","116","27","1","-5","-6","0","18","46","8","10"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Luke List","CUT","75","69","0","0","144","2","0","126","110","0","0","16","0","300.8","0","26","0","31","62","0","0","5","-3","0","7","22","5","0"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Luke List","CUT","72","72","0","0","144","2","0","131","120","0","0","21","0","298.3","0","29","0","33","66","0","0","3","-1","0","4","27","4","0"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Luke List","CUT","70","68","0","0","138","-2","0","91","88","0","0","14","0","305.5","0","26","0","30","60","0","1","1","-4","1","8","21","4","0"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Luke List","6","68","68","66","66","268","-20","194300","32","24","13","6","28","65","309.6","5","57","3","28","112","52","-1","-7","-12","1","21","47","3","30"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Luke List","CUT","71","74","0","0","145","1","0","54","90","0","0","9","0","312.3","0","23","0","32","64","0","1","5","-5","0","8","20","7","0"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Luke List","CUT","71","72","0","0","143","1","0","63","71","0","0","12","0","325","0","21","0","28","56","0","0","1","0","0","6","23","7","0"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Luke List","CUT","75","70","72","0","217","2","0","135","101","90","0","27","0","310.7","0","37","0","29.7","89","0","3","2","-3","0","12","31","8","0"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Luke List","20","66","70","75","67","278","-6","73667","2","7","50","20","26","60","303.8","4","43","55","27.5","110","10","2","2","-10","2","10","53","6","20"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Luke List","10","73","65","70","71","279","-1","146400","82","9","9","10","22","77","312.8","2","49","9","29.8","119","57","-2","2","-1","0","11","51","10","30"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Luke List","CUT","76","73","0","0","149","7","0","117","105","0","0","14","0","305.3","0","18","0","28","56","0","2","6","-1","0","5","20","10","0"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Luke List","15","70","70","71","70","281","-7","46500","34","21","19","15","34","40","305.5","2","51","19","29.5","118","38","2","-3","-6","0","17","45","10","20"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Luke List","27","68","72","71","72","283","-5","47260","21","20","19","27","27","68","307.3","5","49","36","28.8","115","29","2","0","-7","0","15","48","8","10"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Luke List","39","73","68","78","68","287","3","23600","86","33","65","39","31","42","295.1","5","44","14","29.3","117","63","4","2","-3","1","15","38","16","10"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Luke List","29","71","72","68","73","284","-4","37743","37","45","17","29","24","71","302.1","3","47","31","28","112","40","1","-1","-4","0","14","50","7","10"
