"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Mackenzie Hughes","CUT","73","81","0","0","154","10","0","75","148","0","0","12","0","265.5","0","21","0","31","62","0","1","8","1","0","5","18","11","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Mackenzie Hughes","13","69","69","69","68","275","-13","120000","22","16","10","13","33","20","286.6","41","54","21","28.8","115","30","0","-4","-9","0","23","40","8","20"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Mackenzie Hughes","26","68","74","70","68","280","-8","32340","25","68","51","26","23","66","289.8","47","54","14","29.5","118","55","-3","-2","-3","0","16","49","6","10"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Mackenzie Hughes","68","69","70","73","70","282","-2","13398","54","66","71","68","32","26","323.5","7","55","21","31","124","70","3","-3","-2","0","13","48","11","5"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Mackenzie Hughes","CUT","71","71","0","0","142","0","0","70","89","0","0","16","0","278.3","0","20","0","28","56","0","-2","3","-1","0","3","30","3","0"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Mackenzie Hughes","1","61","67","68","69","265","-17","1080000","1","1","1","1","44","11","279.5","57","52","50","26.3","105","1","-1","-9","-7","0","23","45","3","100"
"2017","8-Jan-17","41281","SBS Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","SBS Tournament of Champions","Mackenzie Hughes","25","73","72","73","68","286","-6","70000","28","28","29","25","43","19","280.4","13","56","24","31.3","125","21","4","-6","-4","1","15","46","9","20"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Mackenzie Hughes","27","68","65","68","68","269","-11","39100","54","24","28","27","27","57","311.3","27","51","43","28.5","114","28","-2","-5","-4","0","19","45","8","10"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Mackenzie Hughes","54","70","70","74","74","288","0","15008","32","11","42","54","32","23","281.8","53","48","44","29.5","118","30","2","7","-9","0","15","43","13","5"
"2017","5-Feb-17","41309","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Mackenzie Hughes","CUT","74","71","0","0","145","3","0","110","106","0","0","10","0","296.8","0","23","0","29","58","0","-1","5","-1","0","8","18","9","0"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Mackenzie Hughes","10","70","70","68","71","279","-8","172800","13","24","11","10","37","42","280.8","34","56","4","30.5","122","56","-3","1","-6","1","15","49","6","30"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Mackenzie Hughes","CUT","76","71","0","0","147","5","0","133","109","0","0","17","0","294.3","0","20","0","29.5","59","0","0","7","-2","0","4","23","9","0"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Mackenzie Hughes","66","69","71","72","75","287","7","13248","42","55","63","66","30","58","299.5","22","38","67","28.3","113","26","-1","10","-2","0","12","43","15","5"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Mackenzie Hughes","32","70","70","73","70","283","-1","70500","20","27","38","32","35","34","278.6","72","49","21","29.5","118","56","-2","6","-5","0","11","51","10","10"
