"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Mark Anderson","CUT","74","68","0","0","142","2","0","133","104","0","0","13","0","287","0","21","0","29","58","0","3","3","-4","1","5","22","7","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Mark Anderson","CUT","74","80","0","0","154","10","0","99","148","0","0","12","0","296","0","22","0","34.5","69","0","0","6","4","0","5","19","9","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Mark Anderson","CUT","75","77","77","0","229","14","0","144","149","148","0","25","0","262","0","24","0","29.7","89","0","5","8","1","0","7","28","18","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Mark Anderson","CUT","73","72","0","0","145","1","0","77","90","0","0","17","0","288","0","21","0","27.5","55","0","-3","3","1","0","6","24","5","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Mark Anderson","CUT","75","77","0","0","152","8","0","108","121","0","0","16","0","295.8","0","18","0","29","58","0","5","4","-1","0","5","22","6","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Mark Anderson","68","71","75","74","70","290","6","11716","36","68","77","68","37","36","273.9","39","39","60","29.3","117","65","0","8","-2","0","7","53","11","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Mark Anderson","17","72","65","70","71","278","-10","98600","83","12","20","17","30","68","292.6","40","46","62","27","108","5","4","-6","-8","0","18","46","8","20"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Mark Anderson","81","73","68","74","0","215","5","12282","106","67","81","0","26","0","293.2","0","31","0","29.7","89","0","2","4","-1","0","7","36","10","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Mark Anderson","54","70","70","67","70","277","-3","12544","59","67","48","54","35","57","285.8","34","50","61","29.8","119","27","1","1","-5","1","12","49","9","5"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Mark Anderson","CUT","76","75","0","0","151","7","0","139","148","0","0","11","0","285","0","20","0","31","62","0","4","3","0","0","4","22","9","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Mark Anderson","69","68","68","68","74","278","1","14271","21","40","47","69","25","69","292.8","24","47","46","29","116","44","3","-2","0","0","13","45","14","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Mark Anderson","15","67","71","65","68","271","-9","102400","27","59","25","15","31","66","281.9","46","54","13","29","116","36","0","-6","-3","1","15","48","8","20"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Mark Anderson","CUT","70","71","0","0","141","1","0","96","112","0","0","15","0","292.3","0","17","0","27","54","0","0","3","-2","0","5","25","6","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Mark Anderson","CUT","75","71","0","0","146","4","0","148","140","0","0","17","0","288.5","0","22","0","29.5","59","0","2","1","1","0","5","23","7","0"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Mark Anderson","CUT","68","74","0","0","142","0","0","42","101","0","0","20","0","281","0","27","0","32","64","0","0","4","-4","0","6","25","4","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Mark Anderson","CUT","73","73","0","0","146","2","0","102","118","0","0","16","0","275.3","0","19","0","28","56","0","0","4","-2","0","5","24","7","0"
