"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Mark Wilson","CUT","74","68","0","0","142","0","0","122","95","0","0","17","0","296.8","0","27","0","30.5","61","0","1","-1","0","0","8","21","6","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Mark Wilson","48","70","71","68","71","280","0","13671","77","59","36","48","38","41","273.6","47","50","43","30.3","121","41","-2","6","-4","0","14","44","14","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Mark Wilson","CUT","73","70","0","0","143","1","0","96","91","0","0","20","0","271","0","20","0","27","54","0","-1","3","-1","0","7","21","8","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Mark Wilson","51","68","68","71","69","276","-4","12902","25","25","55","51","32","12","285.3","61","49","23","29.5","118","61","2","0","-6","1","11","52","7","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Mark Wilson","CUT","74","66","73","0","213","-3","0","142","91","126","0","28","0","278","0","40","0","29.7","89","0","3","0","-6","1","11","33","8","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Mark Wilson","CUT","74","74","0","0","148","6","0","116","124","0","0","16","0","279.8","0","20","0","29.5","59","0","-1","5","2","0","8","18","8","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Mark Wilson","CUT","71","73","75","0","219","4","0","80","91","99","0","26","0","270.3","0","33","0","29.3","88","0","5","3","-4","1","5","37","11","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Mark Wilson","46","67","69","73","71","280","0","15600","11","18","55","46","45","1","276.6","57","42","57","28","112","23","1","1","-2","1","10","51","8","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Mark Wilson","CUT","76","72","0","0","148","6","0","130","115","0","0","14","0","267.3","0","21","0","31","62","0","5","1","0","0","5","20","11","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Mark Wilson","CUT","73","75","0","0","148","4","0","65","83","0","0","20","0","285","0","19","0","29.5","59","0","4","0","0","0","5","22","9","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Mark Wilson","CUT","74","75","0","0","149","7","0","92","103","0","0","20","0","282.5","0","16","0","28.5","57","0","2","5","0","0","3","24","8","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Mark Wilson","CUT","76","69","0","0","145","1","0","143","111","0","0","20","0","287.3","0","24","0","30.5","61","0","2","3","-4","0","6","23","7","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Mark Wilson","23","72","72","66","74","284","-4","58157","44","47","11","23","24","64","287.4","61","43","40","27.5","110","15","-1","2","-5","0","15","46","11","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Mark Wilson","CUT","79","74","0","0","153","9","0","144","137","0","0","18","0","272.3","0","18","0","30.5","61","0","0","6","3","0","1","26","8","0"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Mark Wilson","CUT","69","76","0","0","145","5","0","24","102","0","0","14","0","294.3","0","25","0","31.5","63","0","2","3","0","0","2","30","3","0"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Mark Wilson","72","69","74","74","76","293","5","12090","11","48","60","72","47","3","285.6","64","47","31","31.5","126","74","5","8","-8","0","13","43","15","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Mark Wilson","CUT","71","73","0","0","144","4","0","82","107","0","0","16","0","271.5","0","20","0","28.5","57","0","3","1","0","0","5","23","7","0"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Mark Wilson","CUT","70","76","0","0","146","6","0","16","68","0","0","23","0","256.3","0","22","0","31.5","63","0","3","4","-1","0","4","22","10","0"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Mark Wilson","CUT","74","70","0","0","144","4","0","146","125","0","0","23","0","273.5","0","23","0","30","60","0","5","1","-2","0","5","25","3","0"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Mark Wilson","CUT","76","75","0","0","151","9","0","112","112","0","0","16","0","276.8","0","20","0","31.5","63","0","2","6","1","0","3","21","12","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Mark Wilson","86","68","72","74","0","214","4","10855","31","69","86","0","27","0","282.2","0","34","0","30","90","0","-1","5","0","0","7","37","9","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Mark Wilson","63","71","69","69","70","279","-5","9964","81","57","62","63","43","17","283.4","67","56","12","31.3","125","77","1","-2","-4","0","14","49","9","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Mark Wilson","CUT","70","72","0","0","142","2","0","67","90","0","0","21","0","269.8","0","21","0","29","58","0","-2","5","-1","0","4","26","6","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Mark Wilson","51","71","67","72","66","276","-4","12473","98","61","67","51","39","16","286.6","76","50","47","29.5","118","35","1","-1","-4","0","13","50","9","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Mark Wilson","CUT","76","72","0","0","148","4","0","132","121","0","0","20","0","276.8","0","24","0","32","64","0","2","4","-2","0","4","24","8","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Mark Wilson","CUT","69","75","0","0","144","2","0","38","124","0","0","14","0","306.3","0","23","0","30.5","61","0","1","4","-3","1","4","23","8","0"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Mark Wilson","8","67","66","69","67","269","-11","156800","13","5","9","8","42","18","277.6","63","59","7","29.8","119","27","-3","-3","-5","0","17","50","4","30"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Mark Wilson","9","71","69","68","70","278","-10","100000","47","21","8","9","28","47","279.3","53","58","3","29.8","119","40","-4","-4","-2","1","14","52","4","30"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Mark Wilson","CUT","72","75","0","0","147","5","0","99","123","0","0","19","0","279","0","27","0","32.5","65","0","-3","7","1","0","6","21","7","0"
