"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Max Homa","9","69","68","66","69","272","-12","135000","19","18","7","9","29","53","310.4","7","52","33","28.3","113","12","-1","-7","-4","1","22","37","12","30"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Max Homa","30","69","70","68","67","274","-10","36450","51","58","47","30","27","58","318.1","4","55","35","29.8","119","35","2","-4","-8","2","17","43","9","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Max Homa","CUT","73","78","0","0","151","7","0","88","139","0","0","11","0","284.5","0","18","0","29.5","59","0","2","8","-3","0","5","22","7","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Max Homa","CUT","73","76","76","0","225","10","0","120","129","130","0","26","0","279","0","30","0","30.7","92","0","2","8","0","0","8","31","12","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Max Homa","CUT","73","72","0","0","145","3","0","101","90","0","0","16","0","302.3","0","24","0","31.5","63","0","0","6","-3","0","5","24","6","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Max Homa","71","73","70","71","75","289","1","6930","77","68","66","71","36","40","293.9","19","51","33","31.8","127","70","3","5","-7","0","13","46","12","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Max Homa","CUT","72","75","0","0","147","5","0","45","96","0","0","15","0","277.3","0","22","0","30.5","61","0","2","2","1","0","6","19","11","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Max Homa","48","71","71","71","71","284","-4","17544","54","67","64","48","38","17","293.3","37","53","17","30.5","122","68","0","1","-5","0","14","48","10","10"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Max Homa","39","72","68","72","72","284","-4","23400","63","22","38","39","28","60","301.8","17","53","9","29.5","118","46","-1","-1","-2","0","16","47","7","10"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Max Homa","CUT","70","71","0","0","141","-1","0","53","80","0","0","15","0","321.3","0","23","0","28","56","0","-2","4","-3","0","7","23","6","0"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Max Homa","CUT","72","69","0","0","141","1","0","101","89","0","0","18","0","285.3","0","25","0","31","62","0","2","-3","2","0","7","21","8","0"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Max Homa","43","72","70","68","75","285","-3","12180","70","52","19","43","26","57","294.8","13","47","64","29","116","22","1","3","-7","0","18","43","8","10"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Max Homa","29","68","71","69","68","276","-8","37134","29","58","40","29","34","52","284.8","26","39","73","25.5","102","2","-3","2","-7","0","13","55","3","10"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Max Homa","6","69","67","63","69","268","-12","163600","49","44","7","6","24","56","304.8","17","47","48","26.8","107","2","1","-7","-6","1","18","45","8","30"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Max Homa","CUT","71","70","70","0","211","-5","0","89","91","96","0","26","0","294.7","0","39","0","29.7","89","0","0","0","-5","0","12","35","7","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Max Homa","CUT","71","73","0","0","144","0","0","52","75","0","0","12","0","282.8","0","23","0","29.5","59","0","-3","5","-2","0","7","22","7","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Max Homa","29","66","71","71","67","275","-12","44200","12","31","51","29","38","45","298.6","20","51","38","28","112","22","-4","-3","-5","0","20","44","8","10"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Max Homa","CUT","76","71","0","0","147","5","0","112","87","0","0","14","0","286.5","0","17","0","29","58","0","0","8","-3","0","5","21","10","0"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Max Homa","CUT","74","78","0","0","152","12","0","102","131","0","0","16","0","287","0","18","0","30.5","61","0","3","8","1","0","3","22","8","0"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Max Homa","CUT","73","78","0","0","151","7","0","41","108","0","0","17","0","295","0","23","0","32","64","0","-1","10","-2","0","7","20","6","0"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Max Homa","CUT","73","75","0","0","148","6","0","98","116","0","0","16","0","285.3","0","16","0","28","56","0","1","9","-4","0","5","23","5","0"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Max Homa","56","69","81","77","70","297","9","14074","3","66","73","56","35","20","293.1","22","43","13","29.3","117","54","5","8","-4","0","14","37","19","5"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Max Homa","CUT","80","70","0","0","150","6","0","143","137","0","0","15","0","292.8","0","23","0","31","62","0","-1","5","2","0","5","24","4","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Max Homa","65","70","68","69","76","283","-5","14283","50","36","33","65","36","54","293.4","11","50","54","28.3","113","34","6","-5","-6","1","16","46","6","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Max Homa","76","72","71","75","0","218","2","13206","65","55","76","0","20","0","295.2","0","29","0","28","84","0","2","6","-6","0","9","35","9","5"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Max Homa","CUT","75","71","0","0","146","6","0","111","107","0","0","15","0","285.8","0","22","0","31.5","63","0","1","4","1","0","4","23","8","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Max Homa","CUT","79","66","0","0","145","6","0","155","145","0","0","12","0","286","0","16","0","26.5","53","0","1","4","1","0","4","24","6","0"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Max Homa","66","68","70","68","79","285","5","12600","20","30","15","66","29","51","297.1","27","46","19","29.5","118","74","2","4","-1","0","11","47","12","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Max Homa","CUT","70","72","0","0","142","2","0","94","112","0","0","23","0","298.3","0","24","0","30.5","61","0","3","3","-4","0","5","25","5","0"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Max Homa","CUT","67","73","0","0","140","0","0","27","93","0","0","17","0","291","0","22","0","28","56","0","0","1","-1","0","7","22","7","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Max Homa","35","70","66","70","69","275","-9","22678","88","22","32","35","43","33","282.4","20","52","33","29","116","38","-2","-3","-4","0","18","46","7","10"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Max Homa","CUT","70","75","0","0","145","1","0","53","108","0","0","8","0","293.8","0","20","0","25.5","51","0","-1","3","-1","0","9","20","5","0"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Max Homa","72","72","68","72","77","289","5","13065","97","63","63","72","30","65","303.6","12","50","57","30.5","122","59","2","7","-4","0","13","46","9","5"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Max Homa","CUT","73","72","0","0","145","5","0","136","142","0","0","15","0","298.5","0","21","0","29.5","59","0","1","3","1","0","5","23","6","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Max Homa","CUT","80","72","0","0","152","8","0","143","140","0","0","11","0","291.8","0","22","0","30.5","61","0","2","6","0","0","3","24","7","0"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Max Homa","CUT","71","74","0","0","145","1","0","69","103","0","0","10","0","300","0","21","0","28","56","0","1","4","-4","0","6","23","7","0"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Max Homa","CUT","74","65","0","0","139","-3","0","147","98","0","0","22","0","287.5","0","27","0","30","60","0","0","0","-3","0","6","28","1","0"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Max Homa","CUT","72","73","73","0","218","2","0","105","129","128","0","19","0","299.5","0","29","0","26.7","80","0","2","3","-3","0","10","33","10","0"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Max Homa","CUT","73","75","0","0","148","4","0","96","110","0","0","10","0","294.8","0","23","0","31","62","0","-1","7","-2","0","5","23","7","0"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Max Homa","CUT","74","76","74","0","224","9","0","84","133","139","0","23","0","284.7","0","33","0","32","96","0","0","10","-1","0","7","34","10","0"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Max Homa","CUT","69","73","0","0","142","-2","0","30","82","0","0","15","0","279.8","0","28","0","31.5","63","0","-1","1","-2","0","9","22","3","0"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Max Homa","CUT","72","73","0","0","145","1","0","70","77","0","0","16","0","304.5","0","19","0","27.5","55","0","0","1","0","0","3","30","2","0"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Max Homa","CUT","75","76","0","0","151","7","0","116","130","0","0","13","0","290.3","0","21","0","28.5","57","0","2","6","-1","0","4","23","7","0"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Max Homa","CUT","76","76","0","0","152","12","0","134","152","0","0","9","0","289.5","0","12","0","29","58","0","3","13","-4","1","3","18","11","0"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Max Homa","85","72","68","77","0","217","7","11008","84","58","85","0","16","0","297.7","0","32","0","29.3","88","0","2","8","-3","0","10","31","9","5"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Max Homa","CUT","70","70","0","0","140","0","0","72","75","0","0","20","0","319.8","0","23","0","29.5","59","0","1","-1","0","0","8","21","6","0"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Max Homa","CUT","70","71","0","0","141","-1","0","55","83","0","0","18","0","316","0","24","0","29","58","0","-2","2","-1","1","10","14","11","0"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Max Homa","71","68","68","74","72","282","-2","7000","23","29","68","71","31","69","302.1","16","51","55","29.8","119","51","0","3","-5","0","11","54","5","5"
"2017","30-Jul-17","41484","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Max Homa","CUT","74","74","0","0","148","4","0","137","144","0","0","13","0","298","0","18","0","28.5","57","0","4","1","-1","1","3","24","7","0"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Max Homa","CUT","75","79","0","0","154","14","0","151","151","0","0","15","0","279.8","0","17","0","30.5","61","0","1","14","-1","0","5","17","9","0"
