"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Miguel Angel Carballo","CUT","72","71","0","0","143","1","0","78","91","0","0","18","0","278","0","23","0","30","60","0","-1","5","-3","0","6","24","5","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Miguel Angel Carballo","72","68","70","72","0","210","0","10696","25","42","72","0","18","0","305.7","0","35","0","29.7","89","0","1","1","-2","0","9","36","9","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Miguel Angel Carballo","CUT","75","74","0","0","149","5","0","116","122","0","0","15","0","276.8","0","21","0","30.5","61","0","4","1","0","0","2","28","5","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Miguel Angel Carballo","CUT","72","77","72","0","221","6","0","100","129","112","0","30","0","272.5","0","31","0","30.7","92","0","3","4","-1","0","4","40","10","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Miguel Angel Carballo","CUT","70","74","0","0","144","0","0","32","81","0","0","21","0","291.8","0","25","0","30.5","61","0","1","-1","0","0","8","20","8","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Miguel Angel Carballo","46","69","76","74","73","292","4","15934","4","43","56","46","41","3","290.8","24","45","9","29.3","117","65","0","7","-3","0","11","49","11","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Miguel Angel Carballo","CUT","75","70","0","0","145","1","0","133","111","0","0","15","0","289.3","0","23","0","27.5","55","0","-1","6","-4","1","8","18","7","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Miguel Angel Carballo","CUT","68","74","0","0","142","2","0","13","85","0","0","16","0","301.3","0","21","0","27.5","55","0","-2","5","-1","0","10","14","12","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Miguel Angel Carballo","53","68","70","74","71","283","3","13241","24","35","61","53","31","43","287.3","20","42","47","28.8","115","49","1","7","-5","1","10","47","13","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Miguel Angel Carballo","18","68","68","72","63","271","-9","78120","40","28","55","18","36","54","296.1","25","47","55","27.8","111","15","1","-5","-5","3","13","47","8","20"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Miguel Angel Carballo","CUT","73","70","0","0","143","3","0","128","109","0","0","22","0","291.3","0","21","0","27.5","55","0","0","7","-4","1","7","20","4","0"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Miguel Angel Carballo","CUT","73","72","0","0","145","3","0","119","135","0","0","16","0","307.3","0","21","0","28","56","0","1","1","1","0","7","21","6","0"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Miguel Angel Carballo","CUT","69","74","0","0","143","3","0","44","101","0","0","14","0","284","0","20","0","28.5","57","0","-1","4","0","0","6","21","9","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Miguel Angel Carballo","CUT","73","72","0","0","145","5","0","136","144","0","0","17","0","302.8","0","25","0","33.5","67","0","2","4","-1","0","3","25","8","0"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Miguel Angel Carballo","32","72","69","67","73","281","-7","31133","89","39","20","32","30","42","304.6","20","50","34","28.5","114","28","0","0","-7","1","16","45","9","10"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Miguel Angel Carballo","WD","76","0","0","0","76","4","0","128","0","0","0","3","0","283","0","12","0","33","33","0","3","1","0","0","1","12","5","0"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Miguel Angel Carballo","CUT","71","71","0","0","142","0","0","81","86","0","0","20","0","280.5","0","27","0","30","60","0","2","2","-4","0","8","21","6","0"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Miguel Angel Carballo","CUT","72","72","0","0","144","2","0","131","120","0","0","18","0","287.8","0","23","0","30","60","0","2","0","0","0","7","21","7","0"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Miguel Angel Carballo","CUT","74","71","0","0","145","5","0","135","137","0","0","11","0","297.3","0","21","0","30","60","0","4","6","-5","1","8","16","9","0"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Miguel Angel Carballo","CUT","72","70","69","0","211","-5","0","109","107","102","0","21","0","296","0","30","0","24.3","73","0","5","-6","-4","0","17","28","8","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Miguel Angel Carballo","CUT","78","72","0","0","150","6","0","150","134","0","0","12","0","279.3","0","19","0","29","58","0","2","4","0","0","4","22","10","0"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Miguel Angel Carballo","70","69","71","75","0","215","0","13300","35","34","70","0","33","0","281.7","0","30","0","28","84","0","0","1","-1","0","11","32","11","5"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Miguel Angel Carballo","CUT","70","74","0","0","144","0","0","34","71","0","0","16","0","285.5","0","24","0","30.5","61","0","1","3","-4","0","10","17","8","0"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Miguel Angel Carballo","WD","76","0","0","0","76","4","0","134","0","0","0","10","0","267","0","12","0","34","34","0","1","2","1","0","1","12","5","0"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Miguel Angel Carballo","CUT","73","73","0","0","146","2","0","104","114","0","0","17","0","272.8","0","25","0","31","62","0","2","2","-2","0","5","24","7","0"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Miguel Angel Carballo","52","66","75","75","67","283","3","14384","4","61","69","52","30","33","285.8","48","38","66","28.5","114","54","1","6","-4","1","10","48","11","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Miguel Angel Carballo","CUT","69","76","0","0","145","3","0","40","114","0","0","19","0","287.5","0","23","0","30.5","61","0","4","1","-2","0","5","25","5","0"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Miguel Angel Carballo","79","73","72","78","76","299","11","10974","55","47","79","79","26","48","305.3","54","42","49","31","124","80","2","12","-3","0","8","45","19","5"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Miguel Angel Carballo","56","73","66","71","67","277","-3","14718","128","56","68","56","32","62","286.4","47","52","34","29.8","119","45","2","-3","-2","0","15","46","10","5"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Miguel Angel Carballo","16","70","64","69","69","272","-12","69600","71","9","16","16","40","56","288.8","34","53","35","28","112","12","-1","-5","-6","0","19","46","7","20"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Miguel Angel Carballo","CUT","70","71","0","0","141","1","0","75","107","0","0","14","0","315.3","0","26","0","31","62","0","-1","3","-1","0","5","26","4","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Miguel Angel Carballo","CUT","73","72","0","0","145","1","0","102","108","0","0","11","0","288.8","0","24","0","30.5","61","0","2","0","-1","0","9","17","10","0"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Miguel Angel Carballo","14","70","69","71","67","277","-11","73500","51","30","34","14","30","30","297.5","34","54","14","29","116","38","-1","-3","-7","1","18","46","5","20"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Miguel Angel Carballo","CUT","74","67","0","0","141","-1","0","129","89","0","0","12","0","305.8","0","23","0","28.5","57","0","3","2","-6","1","8","18","8","0"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Miguel Angel Carballo","60","68","72","71","69","280","-4","15050","20","59","67","60","40","23","282.1","44","52","29","30.5","122","68","-2","3","-5","0","18","41","12","5"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Miguel Angel Carballo","CUT","74","71","0","0","145","3","0","147","144","0","0","21","0","280.8","0","24","0","31","62","0","-1","5","-1","0","5","24","6","0"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Miguel Angel Carballo","CUT","69","73","0","0","142","2","0","74","132","0","0","14","0","313","0","19","0","28.5","57","0","1","3","-2","0","7","21","7","0"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Miguel Angel Carballo","70","67","72","71","74","284","-4","11542","11","39","53","70","37","32","278.5","62","44","74","27.5","110","27","0","-2","-2","0","17","42","13","5"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Miguel Angel Carballo","CUT","73","75","0","0","148","4","0","96","110","0","0","19","0","264.3","0","24","0","30.5","61","0","3","4","-3","0","7","20","7","0"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Miguel Angel Carballo","CUT","78","74","73","0","225","10","0","142","147","142","0","26","0","267.7","0","27","0","30.3","91","0","2","10","-2","0","7","32","13","0"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Miguel Angel Carballo","30","68","71","69","68","276","-12","19950","17","38","33","30","40","28","291.3","38","51","58","28.3","113","14","1","-3","-10","2","15","49","5","10"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Miguel Angel Carballo","CUT","82","80","0","0","162","18","0","155","155","0","0","19","0","280.3","0","14","0","29","58","0","6","9","3","0","1","23","8","0"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Miguel Angel Carballo","73","75","70","74","78","297","9","14550","116","56","65","73","35","29","276.9","62","40","63","28.8","115","38","0","11","-2","1","7","49","12","5"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Miguel Angel Carballo","CUT","76","70","0","0","146","6","0","134","118","0","0","17","0","272","0","22","0","30","60","0","1","4","1","0","5","23","5","0"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Miguel Angel Carballo","CUT","72","70","0","0","142","2","0","84","87","0","0","16","0","276","0","20","0","28.5","57","0","-2","6","-2","0","6","22","8","0"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Miguel Angel Carballo","CUT","72","71","0","0","143","3","0","111","107","0","0","19","0","290.3","0","21","0","30","60","0","1","-1","3","0","7","19","10","0"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Miguel Angel Carballo","CUT","70","75","0","0","145","5","0","72","139","0","0","17","0","307.5","0","22","0","31.5","63","0","4","2","-1","0","6","19","11","0"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Miguel Angel Carballo","50","68","68","68","72","276","-8","13821","24","21","27","50","45","11","296.5","30","54","30","29.8","119","53","-4","1","-5","1","13","52","5","10"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Miguel Angel Carballo","CUT","74","70","0","0","144","2","0","110","109","0","0","15","0","284.3","0","27","0","32","64","0","1","1","0","1","3","25","7","0"
"2017","30-Jul-17","41484","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Miguel Angel Carballo","70","70","69","72","74","285","-3","11760","70","46","65","70","37","8","298","45","51","21","30","120","73","-1","3","-5","0","15","46","10","5"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Miguel Angel Carballo","69","68","69","70","71","278","-2","11600","58","66","62","69","37","33","303.3","35","53","49","30.3","121","44","0","4","-6","2","12","47","8","5"
