"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Nicholas Lindheim","56","72","73","72","77","294","14","22649","50","60","42","56","30","66","318.8","1","43","31","31.5","126","57","4","12","-2","0","8","46","15","5"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Nicholas Lindheim","70","72","69","76","74","291","3","12000","87","51","68","70","33","20","290","33","47","62","29.8","119","54","-1","5","-1","0","12","47","11","5"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Nicholas Lindheim","23","68","72","69","70","279","-9","40320","25","41","24","23","23","66","313","9","49","49","28.3","113","18","1","-1","-9","1","19","41","10","20"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Nicholas Lindheim","WD","71","0","0","0","71","0","0","86","0","0","0","5","0","312","0","14","0","31","31","0","1","1","-2","0","5","10","2","0"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Nicholas Lindheim","CUT","65","76","0","0","141","-1","0","5","74","0","0","13","0","289.8","0","28","0","31","62","0","0","1","-2","1","7","21","6","0"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Nicholas Lindheim","54","67","70","67","72","276","-6","13800","37","63","38","54","32","66","282.1","52","53","42","29.8","119","39","-2","0","-4","0","13","52","7","5"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Nicholas Lindheim","CUT","71","76","0","0","147","7","0","119","143","0","0","14","0","294.8","0","21","0","30.5","61","0","2","3","2","0","2","26","7","0"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Nicholas Lindheim","50","71","72","66","72","281","-7","13703","79","108","43","50","31","61","279","60","50","31","28.8","115","60","-1","2","-8","0","17","45","10","10"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Nicholas Lindheim","CUT","71","79","0","0","150","6","0","47","129","0","0","15","0","271.5","0","20","0","30","60","0","0","9","-3","0","5","23","6","0"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Nicholas Lindheim","CUT","75","70","76","0","221","6","0","108","84","126","0","29","0","270.5","0","33","0","29.7","89","0","2","1","3","0","11","28","13","0"
