"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Nicholas Thompson","CUT","74","74","0","0","148","6","0","100","118","0","0","20","0","292.8","0","24","0","31.5","63","0","5","5","-4","0","6","19","10","0"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Nicholas Thompson","40","69","71","76","72","288","0","28000","12","18","46","40","38","21","0","0","57","2","32.8","131","78","3","2","-5","0","14","45","12","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Nicholas Thompson","CUT","76","78","0","0","154","14","0","131","129","0","0","18","0","264","0","22","0","34.5","69","0","4","10","0","0","2","20","12","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Nicholas Thompson","CUT","73","69","0","0","142","2","0","118","104","0","0","19","0","312.5","0","25","0","32","64","0","3","3","-4","0","8","19","8","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Nicholas Thompson","69","71","69","67","69","276","-12","11172","98","91","70","69","33","69","289.3","51","49","77","28","112","40","1","-2","-11","3","16","43","10","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Nicholas Thompson","71","72","70","76","77","295","7","12017","63","32","63","71","30","30","283.1","49","45","43","30.5","122","63","2","6","-1","0","10","48","11","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Nicholas Thompson","CUT","71","72","0","0","143","1","0","66","85","0","0","20","0","293","0","22","0","30","60","0","4","-1","-2","0","6","23","7","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Nicholas Thompson","CUT","72","78","72","0","222","7","0","100","140","122","0","31","0","273.8","0","33","0","31.7","95","0","3","7","-3","1","6","32","15","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Nicholas Thompson","CUT","75","72","0","0","147","5","0","119","114","0","0","14","0","290.8","0","21","0","31","62","0","2","3","0","0","7","18","10","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Nicholas Thompson","33","68","70","66","74","278","-2","30375","22","38","9","33","38","16","283.9","40","53","1","30","120","64","-3","2","-1","0","12","51","8","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Nicholas Thompson","CUT","70","76","0","0","146","2","0","32","103","0","0","19","0","289.3","0","21","0","29.5","59","0","5","1","-4","1","6","19","10","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Nicholas Thompson","44","76","69","69","74","288","4","15892","130","64","38","44","30","50","270.4","44","43","50","29.3","117","32","0","5","-1","0","9","50","13","10"
