"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Ollie Schniederjans","CUT","71","75","0","0","146","4","0","59","95","0","0","13","0","296","0","20","0","29.5","59","0","5","0","-1","0","5","22","9","0"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Ollie Schniederjans","42","69","73","72","73","287","7","0","14","28","25","42","35","68","332.3","3","52","21","32","128","33","2","9","-4","0","17","35","16","10"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Ollie Schniederjans","12","70","72","70","67","279","-9","0","24","39","45","12","45","56","308.6","13","56","31","30.5","122","26","0","-4","-5","0","23","37","10","20"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Ollie Schniederjans","22","71","69","66","73","279","-9","46207","69","44","11","22","21","73","313.4","10","46","43","26","104","6","1","-4","-6","0","26","30","15","20"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Ollie Schniederjans","15","66","69","68","72","275","-9","113900","10","14","12","15","33","55","287.3","57","49","64","27.3","109","2","-3","-2","-4","1","19","41","10","20"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Ollie Schniederjans","CUT","71","67","0","0","138","-2","0","116","71","0","0","15","0","298","0","27","0","30","60","0","-2","2","-2","0","7","24","5","0"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Ollie Schniederjans","48","70","71","70","72","283","-5","14914","47","39","44","48","28","49","316.4","6","52","22","30","120","68","1","-1","-5","0","15","47","10","10"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Ollie Schniederjans","38","68","67","74","68","277","-7","28160","37","16","46","38","28","54","313.8","14","52","37","29.8","119","49","-1","0","-6","0","18","46","7","10"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Ollie Schniederjans","50","70","70","69","72","281","-7","9984","63","53","36","50","23","72","302.3","2","52","45","29.5","118","39","3","-2","-8","0","19","41","12","10"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Ollie Schniederjans","CUT","75","73","79","0","227","11","0","141","145","153","0","19","0","299.2","0","37","0","30.7","92","0","5","6","0","0","7","33","11","0"
