"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Patrick Cantlay","71","70","69","71","76","286","6","13731","45","41","52","71","29","43","282.1","65","45","40","29.5","118","58","2","8","-4","0","9","50","11","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Patrick Cantlay","CUT","71","70","0","0","141","1","0","102","87","0","0","15","0","283.5","0","19","0","27","54","0","-1","5","-3","1","7","18","10","0"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Patrick Cantlay","CUT","77","73","0","0","150","8","0","114","109","0","0","14","0","302.8","0","22","0","30.5","61","0","1","6","1","0","2","25","8","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Patrick Cantlay","23","69","68","69","68","274","-6","62400","53","25","30","23","45","5","300.8","27","54","6","29.8","119","56","-1","-2","-3","0","12","54","6","20"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Patrick Cantlay","CUT","69","73","0","0","142","2","0","49","118","0","0","14","0","304.5","0","23","0","30","60","0","0","6","-4","0","6","24","4","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Patrick Cantlay","76","71","68","76","74","289","5","11468","77","58","73","76","26","76","278.4","49","41","70","27.8","111","34","-1","14","-8","0","15","40","14","5"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Patrick Cantlay","48","70","71","71","72","284","-3","17897","13","34","34","48","40","29","283.6","27","50","36","29.8","119","34","0","2","-5","0","15","46","10","10"
"2017","12-Mar-17","41344","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Patrick Cantlay","2","71","66","66","68","271","-13","680400","55","8","2","2","37","9","296.9","15","53","1","28","112","25","-1","-3","-9","0","21","43","8","75"
"2017","2-Apr-17","41365","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Patrick Cantlay","39","70","73","71","71","285","-3","28700","44","55","32","39","32","52","298.5","9","50","37","29.3","117","30","2","-3","-2","0","15","45","12","10"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Patrick Cantlay","3","70","66","70","67","273","-11","338000","53","10","13","3","29","64","282.4","21","44","43","26","104","4","-6","-2","-3","0","18","48","5","60"
"2017","14-May-17","41407","The Players Championship","","TPC Sawgrass","7189","72","The Players Championship","Patrick Cantlay","22","69","70","72","77","288","0","92138","7","5","7","22","40","8","297.9","6","49","11","29.3","117","32","2","3","-5","1","14","45","8","20"
