"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Patrick Rodgers","46","66","69","71","70","276","-4","17186","16","20","34","46","43","11","306.1","6","56","3","30","120","61","1","-1","-4","1","14","47","8","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Patrick Rodgers","55","73","69","73","76","291","7","14430","62","27","41","55","31","42","313","8","42","57","29.8","119","47","-1","10","-2","0","8","51","11","5"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Patrick Rodgers","45","65","75","68","69","277","-3","18219","2","69","56","45","42","12","303.5","22","52","14","30.3","121","66","-2","1","-2","1","13","48","8","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Patrick Rodgers","CUT","72","71","0","0","143","1","0","101","110","0","0","19","0","313.5","0","21","0","28","56","0","2","3","-4","0","6","23","7","0"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Patrick Rodgers","62","71","66","70","73","280","0","12369","87","28","28","62","40","9","297.3","1","43","53","28.3","113","44","7","-5","-2","2","13","42","13","5"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Patrick Rodgers","WD","73","0","0","0","73","3","0","136","0","0","0","4","0","308","0","13","0","35","35","0","0","4","-1","0","1","13","4","0"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Patrick Rodgers","CUT","73","78","0","0","151","7","0","80","136","0","0","15","0","310.8","0","22","0","31","62","0","2","2","3","0","3","24","8","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Patrick Rodgers","CUT","73","68","0","0","141","-1","0","118","80","0","0","9","0","326.5","0","29","0","30","60","0","1","-1","-1","0","9","20","6","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Patrick Rodgers","37","67","70","70","70","277","-7","26230","21","37","26","37","29","71","298.1","4","42","66","26.3","105","4","0","-3","-4","0","16","48","7","10"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Patrick Rodgers","56","70","67","69","71","277","-11","12882","73","36","40","56","31","58","301.1","17","51","40","28.3","113","54","0","1","-12","2","14","51","4","5"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Patrick Rodgers","44","75","69","74","67","285","5","18004","118","59","66","44","29","57","303","1","47","19","29.3","117","41","1","6","-2","0","12","47","10","10"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Patrick Rodgers","2","68","68","70","68","274","-14","624800","10","3","4","2","28","37","314.6","8","49","22","27.8","111","20","2","-2","-14","1","21","42","7","75"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Patrick Rodgers","74","72","69","71","0","212","2","12350","86","66","74","0","20","0","300.8","0","31","0","28.3","85","0","3","-2","1","0","8","37","8","5"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Patrick Rodgers","CUT","72","68","0","0","140","1","0","108","100","0","0","17","0","307","0","20","0","28.5","57","0","-1","3","-1","0","9","17","10","0"
