"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Peter Malnati","CUT","73","73","0","0","146","4","0","83","107","0","0","17","0","285.8","0","22","0","30.5","61","0","-1","3","2","1","5","21","7","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Peter Malnati","15","69","69","70","65","273","-11","108000","24","34","44","15","34","50","263.6","69","49","47","27","108","5","-3","-4","-4","0","20","44","7","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Peter Malnati","38","69","69","70","66","274","-6","22400","48","42","64","38","31","16","299.5","20","38","71","25.8","103","2","5","-3","-8","1","16","45","9","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Peter Malnati","CUT","69","75","66","0","210","-6","0","48","136","105","0","26","0","280.7","0","39","0","28.3","85","0","1","-2","-5","1","12","35","4","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Peter Malnati","CUT","71","75","0","0","146","2","0","46","98","0","0","15","0","273","0","16","0","26","52","0","1","5","-4","0","8","19","8","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Peter Malnati","CUT","69","71","77","0","217","2","0","35","25","77","0","32","0","263.2","0","29","0","27.7","83","0","2","3","-3","0","10","33","10","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Peter Malnati","14","73","68","69","66","276","-12","59500","77","47","42","14","39","20","271.5","62","50","41","27.5","110","7","-4","0","-8","0","21","42","9","20"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Peter Malnati","CUT","75","77","0","0","152","8","0","108","121","0","0","18","0","266.3","0","15","0","28","56","0","1","5","2","0","2","24","10","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Peter Malnati","CUT","74","73","0","0","147","3","0","114","132","0","0","16","0","276.8","0","21","0","29.5","59","0","3","0","0","0","5","23","8","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Peter Malnati","CUT","75","73","0","0","148","4","0","100","101","0","0","17","0","280","0","18","0","28","56","0","2","4","-2","0","5","22","9","0"
