"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Richard H. Lee","43","70","69","67","71","277","-7","19800","71","58","38","43","31","45","305.5","38","52","56","29.3","117","20","1","-6","-2","0","17","45","10","10"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Richard H. Lee","35","70","73","72","72","287","-1","34510","16","38","40","35","34","46","0","0","43","65","27.8","111","7","-2","6","-5","0","17","40","14","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Richard H. Lee","CUT","71","74","0","0","145","5","0","94","102","0","0","21","0","264.5","0","25","0","32.5","65","0","0","5","0","0","6","21","7","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Richard H. Lee","72","75","65","72","73","285","1","11700","120","55","67","72","35","42","274.3","48","45","74","28.5","114","27","-2","7","-4","0","15","44","10","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Richard H. Lee","CUT","73","72","69","0","214","-2","0","129","142","136","0","29","0","286.2","0","33","0","28.7","86","0","1","3","-6","0","11","34","9","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Richard H. Lee","CUT","72","79","0","0","151","7","0","63","139","0","0","10","0","280.5","0","19","0","30.5","61","0","4","7","-4","0","6","17","13","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Richard H. Lee","CUT","71","72","0","0","143","1","0","66","85","0","0","19","0","306","0","23","0","29.5","59","0","0","2","-1","0","4","28","3","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Richard H. Lee","10","65","72","72","73","282","-5","165000","2","5","4","10","42","6","269","46","46","40","28.3","113","8","1","-1","-5","0","16","46","9","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Richard H. Lee","45","69","72","73","69","283","-1","18779","18","40","59","45","27","56","287.6","54","43","42","28.3","113","36","-4","8","-5","0","12","51","8","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Richard H. Lee","4","69","68","68","67","272","-16","131950","11","16","10","4","42","8","278.8","50","53","22","27.5","110","7","0","-3","-13","0","21","46","5","40"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Richard H. Lee","CUT","72","77","0","0","149","7","0","45","119","0","0","21","0","276.8","0","20","0","31","62","0","1","5","1","0","1","28","6","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Richard H. Lee","62","72","75","73","74","294","6","13330","49","69","64","62","29","49","291.8","22","40","38","28.3","113","45","-3","11","-2","0","11","45","15","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Richard H. Lee","CUT","73","73","0","0","146","2","0","114","92","0","0","17","0","291.3","0","24","0","29","58","0","0","4","-2","0","9","18","7","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Richard H. Lee","31","70","69","71","74","284","0","34469","20","4","12","31","36","41","263.3","65","39","60","27.3","109","19","1","1","-2","1","11","47","13","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Richard H. Lee","CUT","71","73","0","0","144","0","0","54","92","0","0","15","0","275.3","0","25","0","29.5","59","0","3","-1","-2","0","9","19","7","0"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Richard H. Lee","CUT","75","71","0","0","146","2","0","100","74","0","0","15","0","289.8","0","21","0","28.5","57","0","-1","3","0","0","5","25","5","0"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Richard H. Lee","65","71","71","76","73","291","3","20800","48","37","68","65","35","44","278.1","54","42","68","28","112","22","2","4","-3","0","14","43","13","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Richard H. Lee","CUT","75","72","0","0","147","7","0","144","137","0","0","16","0","293.3","0","18","0","28.5","57","0","0","7","0","0","3","24","8","0"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Richard H. Lee","CUT","70","75","0","0","145","5","0","42","102","0","0","15","0","286.8","0","18","0","28.5","57","0","1","4","0","0","3","25","8","0"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Richard H. Lee","57","76","68","76","69","289","1","13764","110","64","72","57","39","24","280.8","70","34","76","25.3","101","1","2","9","-10","1","17","37","14","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Richard H. Lee","CUT","70","78","0","0","148","8","0","76","145","0","0","17","0","277.3","0","17","0","29","58","0","1","7","0","0","2","26","6","0"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Richard H. Lee","11","74","68","68","74","284","0","125125","83","27","5","11","34","21","297.3","44","43","48","28.3","113","13","0","1","-1","0","10","53","8","20"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Richard H. Lee","45","71","68","67","71","277","-3","18219","92","49","30","45","35","51","297","36","47","54","28.3","113","17","-1","-1","-1","1","12","49","9","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Richard H. Lee","52","70","70","69","68","277","-7","10998","63","57","62","52","37","63","298.3","30","42","76","27.5","110","12","0","-1","-6","0","14","51","7","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Richard H. Lee","WD","74","0","0","0","74","4","0","138","0","0","0","5","0","276.5","0","8","0","28","28","0","1","2","1","0","2","10","6","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Richard H. Lee","CUT","71","68","0","0","139","-1","0","98","79","0","0","17","0","295.3","0","22","0","28.5","57","0","2","1","-4","0","7","24","4","0"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Richard H. Lee","CUT","74","80","0","0","154","14","0","98","143","0","0","18","0","298.3","0","22","0","35","70","0","4","10","0","0","2","23","8","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Richard H. Lee","CUT","71","73","0","0","144","0","0","83","91","0","0","13","0","263.8","0","26","0","31","62","0","0","0","0","0","3","30","3","0"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Richard H. Lee","CUT","75","72","0","0","147","5","0","151","145","0","0","17","0","279.8","0","21","0","31","62","0","0","5","0","0","3","26","6","0"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Richard H. Lee","CUT","72","73","75","0","220","5","0","91","101","120","0","27","0","289.5","0","33","0","30","90","0","4","2","-1","0","7","36","10","0"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Richard H. Lee","CUT","72","73","0","0","145","1","0","74","80","0","0","15","0","276.3","0","25","0","31","62","0","2","0","-1","0","7","21","8","0"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Richard H. Lee","CUT","73","74","0","0","147","3","0","74","109","0","0","21","0","269.3","0","17","0","26","52","0","-1","5","-1","0","6","21","9","0"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Richard H. Lee","CUT","72","73","0","0","145","1","0","80","109","0","0","24","0","260.3","0","20","0","28","56","0","2","0","-1","0","6","23","7","0"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Richard H. Lee","CUT","69","71","0","0","140","0","0","69","99","0","0","19","0","277","0","28","0","32.5","65","0","-2","5","-3","0","6","25","4","0"
