"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Robert Allenby","62","68","73","71","71","283","-1","10500","10","51","64","62","31","44","297.4","31","58","4","31.8","127","68","3","1","-5","0","17","40","14","5"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Robert Allenby","CUT","71","69","0","0","140","-2","0","81","72","0","0","17","0","299","0","27","0","31.5","63","0","0","-1","-1","0","10","19","6","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Robert Allenby","CUT","67","75","0","0","142","2","0","22","74","0","0","18","0","275.3","0","24","0","31","62","0","2","0","0","0","7","22","5","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Robert Allenby","16","70","68","66","70","274","-10","84171","44","34","15","16","33","57","263.9","68","56","8","28.5","114","27","-5","0","-5","0","21","41","9","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Robert Allenby","20","68","68","65","70","271","-9","54818","25","25","6","20","30","22","278.8","70","44","56","26.8","107","7","-2","-4","-3","0","16","50","5","20"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Robert Allenby","CUT","70","73","72","0","215","-1","0","80","127","140","0","27","0","290.5","0","32","0","29.7","89","0","2","2","-5","1","9","35","8","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Robert Allenby","CUT","75","72","0","0","147","3","0","116","106","0","0","13","0","282.8","0","18","0","27","54","0","2","2","-1","0","3","28","4","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Robert Allenby","CUT","76","70","0","0","146","4","0","124","112","0","0","13","0","292.8","0","25","0","32","64","0","0","7","-3","0","7","20","7","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Robert Allenby","29","71","69","71","69","280","-4","42601","59","32","42","29","23","75","287.1","55","41","55","26.8","107","12","-1","4","-7","0","18","41","12","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Robert Allenby","CUT","70","72","0","0","142","2","0","57","88","0","0","19","0","281.5","0","26","0","31.5","63","0","3","1","-2","0","3","28","5","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Robert Allenby","CUT","75","72","0","0","147","3","0","108","110","0","0","19","0","284","0","25","0","31.5","63","0","1","4","-2","0","2","29","5","0"
