"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Rod Pampling","CUT","73","73","75","0","221","6","0","120","109","112","0","23","0","267.5","0","32","0","31","93","0","2","6","-2","0","7","35","11","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Rod Pampling","72","70","71","74","0","215","-1","6720","32","47","72","0","29","0","282.7","0","41","0","31.7","95","0","-1","3","-3","0","9","37","8","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Rod Pampling","67","73","72","71","77","293","5","12772","76","57","52","67","37","31","279","65","45","54","29.8","119","42","3","6","-4","0","11","46","14","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Rod Pampling","64","68","72","71","72","283","3","14559","13","52","59","64","27","55","288.8","56","44","49","28.8","115","44","0","6","-3","0","14","43","13","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Rod Pampling","CUT","70","72","0","0","142","2","0","42","76","0","0","15","0","299.8","0","19","0","26.5","53","0","2","2","-2","0","6","23","6","0"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Rod Pampling","CUT","73","73","0","0","146","6","0","68","68","0","0","17","0","267","0","19","0","30.5","61","0","1","6","-1","0","3","24","9","0"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Rod Pampling","66","74","68","73","74","289","1","8240","110","52","59","66","28","47","280.5","45","48","57","29.8","119","40","3","6","-8","0","17","38","16","5"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Rod Pampling","65","65","71","73","0","209","-6","13532","6","26","65","0","26","0","284.8","0","36","0","27","81","0","1","-3","-4","0","14","33","6","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Rod Pampling","10","70","71","73","69","283","-5","66500","5","4","20","10","38","25","270.4","53","41","70","26.8","107","1","-2","0","-3","1","14","47","9","30"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Rod Pampling","CUT","68","77","0","0","145","3","0","10","85","0","0","20","0","277.8","0","27","0","32.5","65","0","1","1","1","0","6","21","9","0"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Rod Pampling","CUT","72","74","0","0","146","2","0","73","94","0","0","20","0","270.3","0","26","0","32","64","0","0","1","1","0","5","24","7","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Rod Pampling","22","69","66","69","65","269","-8","62303","33","26","47","22","29","56","274.5","64","41","68","26.3","105","3","-3","-2","-3","0","15","50","7","20"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Rod Pampling","CUT","71","72","0","0","143","3","0","73","90","0","0","19","0","280.5","0","22","0","30","60","0","2","2","-1","0","4","26","5","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Rod Pampling","41","72","66","71","67","276","-8","18330","120","55","52","41","44","25","268.3","65","49","61","27.5","110","8","-4","-2","-2","0","20","40","12","10"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Rod Pampling","CUT","77","75","0","0","152","8","0","146","150","0","0","23","0","293.8","0","27","0","35.5","71","0","0","7","1","0","4","21","10","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Rod Pampling","WD","72","0","0","0","72","0","0","101","0","0","0","8","0","279.5","0","10","0","28","28","0","0","0","0","0","3","12","3","0"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Rod Pampling","CUT","69","72","0","0","141","-1","0","42","79","0","0","21","0","281","0","29","0","31.5","63","0","1","1","-3","0","5","27","4","0"
