"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Ryan Armour","CUT","75","71","0","0","146","2","0","121","98","0","0","18","0","284.3","0","23","0","30","60","0","2","1","-1","0","8","19","8","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Ryan Armour","CUT","73","73","0","0","146","4","0","118","132","0","0","18","0","306","0","24","0","31.5","63","0","2","2","0","0","4","24","8","0"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Ryan Armour","81","67","72","73","0","212","2","9800","13","52","81","0","23","0","276.7","0","38","0","31.3","94","0","-2","4","0","0","9","34","11","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Ryan Armour","CUT","76","74","0","0","150","6","0","127","123","0","0","18","0","273.3","0","25","0","33","66","0","5","3","-2","0","5","21","9","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Ryan Armour","CUT","73","69","0","0","142","0","0","107","95","0","0","18","0","277.8","0","27","0","31","62","0","2","2","-4","0","9","19","7","0"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Ryan Armour","CUT","72","69","74","0","215","-1","0","113","91","127","0","24","0","273.8","0","33","0","28.3","85","0","3","3","-7","0","12","31","11","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Ryan Armour","CUT","70","78","0","0","148","4","0","30","128","0","0","17","0","281","0","23","0","32","64","0","2","5","-3","0","6","20","10","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Ryan Armour","29","68","73","67","67","275","-12","44200","28","90","51","29","41","19","270.5","60","53","31","28.8","115","33","-7","0","-5","0","21","42","9","10"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Ryan Armour","CUT","72","76","0","0","148","8","0","61","106","0","0","15","0","255.3","0","15","0","28.5","57","0","3","5","0","1","3","22","8","0"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Ryan Armour","38","73","69","74","71","287","-1","11700","41","11","37","38","42","5","264.8","64","47","37","29","116","29","1","1","-3","0","17","40","14","10"
