"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Sam Saunders","43","69","71","71","77","288","0","18476","17","16","15","43","37","31","292.5","25","46","44","28.5","114","17","2","8","-10","0","17","40","13","10"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Sam Saunders","73","73","69","76","75","293","5","11580","80","47","74","73","32","28","299","27","42","67","29.5","118","46","2","8","-5","0","10","47","15","5"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Sam Saunders","33","66","72","68","69","275","-9","30724","4","30","34","33","37","11","308.3","27","54","28","29.5","118","40","1","-7","-3","1","16","46","9","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Sam Saunders","CUT","72","69","0","0","141","1","0","101","89","0","0","17","0","281.5","0","26","0","30.5","61","0","1","0","0","0","6","25","3","0"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Sam Saunders","WD","73","0","0","0","73","1","0","95","0","0","0","7","0","291","0","14","0","32","32","0","1","0","0","0","3","11","4","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Sam Saunders","CUT","71","71","0","0","142","0","0","77","95","0","0","18","0","300","0","22","0","28.5","57","0","-1","2","-1","0","5","26","5","0"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Sam Saunders","CUT","72","72","0","0","144","4","0","111","126","0","0","7","0","294","0","18","0","28.5","57","0","-1","7","-2","0","3","26","7","0"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Sam Saunders","CUT","77","69","80","0","226","10","0","150","142","151","0","22","0","307","0","31","0","30","90","0","7","11","-8","2","9","26","13","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Sam Saunders","CUT","74","72","0","0","146","2","0","112","108","0","0","15","0","294","0","21","0","29.5","59","0","1","1","0","0","7","21","7","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Sam Saunders","CUT","73","69","69","0","211","-4","0","125","104","91","0","32","0","289.7","0","39","0","29.7","89","0","1","-1","-4","1","11","34","7","0"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Sam Saunders","2","72","72","69","68","281","-7","198000","26","31","10","1","35","41","287","9","51","17","29.3","117","37","-2","-2","-3","1","15","47","8","75"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Sam Saunders","24","70","72","69","71","282","-2","44643","38","45","14","24","33","37","282","11","42","54","27.3","109","8","0","6","-8","0","14","46","12","20"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Sam Saunders","29","70","71","67","73","281","-7","40058","32","40","17","29","38","48","285.8","43","50","34","28.8","115","26","-1","2","-8","0","18","44","9","10"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Sam Saunders","65","69","71","73","73","286","-2","13794","28","52","59","65","40","12","292.3","24","50","51","30","120","56","6","1","-9","0","17","41","13","5"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Sam Saunders","CUT","74","69","0","0","143","1","0","93","77","0","0","21","0","287.5","0","21","0","28","56","0","-3","4","0","0","7","22","6","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Sam Saunders","CUT","69","76","0","0","145","1","0","32","128","0","0","22","0","300.3","0","27","0","31","62","0","3","0","-2","0","8","22","4","0"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Sam Saunders","47","75","68","70","72","285","-3","18016","122","55","39","47","28","37","302.6","33","39","69","27.8","111","20","1","0","-4","0","15","45","12","10"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Sam Saunders","CUT","76","71","0","0","147","7","0","119","111","0","0","15","0","287.3","0","22","0","30.5","61","0","0","9","-2","0","4","23","7","0"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Sam Saunders","71","69","68","68","75","280","3","13987","33","52","54","71","30","50","279.8","57","41","68","29.3","117","52","0","5","-2","0","9","51","12","5"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Sam Saunders","CUT","76","80","0","0","156","12","0","110","118","0","0","21","0","291","0","20","0","30","60","0","4","6","2","0","7","17","8","0"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Sam Saunders","CUT","75","74","0","0","149","9","0","134","136","0","0","16","0","288.3","0","14","0","28","56","0","1","8","0","0","5","20","8","0"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Sam Saunders","50","72","72","76","69","289","9","31633","52","44","66","50","39","50","304.5","44","55","5","34","136","72","4","7","-2","0","9","47","15","10"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Sam Saunders","CUT","68","74","0","0","142","2","0","48","121","0","0","22","0","276.8","0","27","0","30","60","0","-4","7","-1","0","9","19","6","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Sam Saunders","44","67","69","70","71","277","-7","14210","21","22","32","44","43","33","281.8","23","53","27","29.8","119","59","-1","3","-9","1","14","49","7","10"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Sam Saunders","32","64","70","69","73","276","-8","21219","1","3","8","32","40","14","295.1","29","50","52","28.8","115","21","1","-1","-8","0","17","46","9","10"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Sam Saunders","22","70","69","71","69","279","-9","46207","53","33","38","22","26","53","307.8","22","44","63","27","108","16","2","-2","-9","0","21","39","12","20"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Sam Saunders","CUT","72","70","0","0","142","0","0","97","88","0","0","18","0","294.3","0","25","0","30","60","0","1","0","-1","0","6","25","4","0"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Sam Saunders","14","65","69","69","65","268","-12","94500","11","22","36","14","46","1","293.1","51","53","44","29","116","15","-3","-4","-5","0","19","47","5","20"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Sam Saunders","CUT","76","68","0","0","144","0","0","139","91","0","0","13","0","297.8","0","22","0","28","56","0","0","2","-2","0","8","21","6","0"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Sam Saunders","CUT","70","71","0","0","141","-1","0","79","81","0","0","15","0","304","0","21","0","28.5","57","0","2","-1","-2","1","9","17","8","0"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Sam Saunders","29","68","71","68","69","276","-8","42160","24","51","40","29","40","20","286.3","14","51","30","28.3","113","28","-3","2","-7","0","18","46","6","10"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Sam Saunders","CUT","66","76","0","0","142","0","0","10","101","0","0","24","0","281.8","0","29","0","33.5","67","0","0","2","-2","0","7","23","5","0"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Sam Saunders","CUT","72","68","0","0","140","0","0","116","104","0","0","15","0","306.8","0","25","0","31","62","0","0","3","-3","1","3","27","5","0"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Sam Saunders","CUT","75","73","77","0","225","9","0","141","145","152","0","24","0","306.3","0","37","0","33","99","0","4","4","1","0","3","41","9","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Sam Saunders","CUT","73","77","0","0","150","6","0","90","134","0","0","12","0","295","0","25","0","33","66","0","2","4","0","0","2","26","8","0"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Sam Saunders","CUT","70","79","67","0","216","1","0","48","135","81","0","27","0","291.2","0","34","0","28","84","0","-3","8","-4","0","13","31","6","0"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Sam Saunders","14","69","74","67","70","280","0","97600","14","62","14","14","31","55","286.1","56","50","7","29.3","117","40","0","3","-3","0","12","50","9","20"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Sam Saunders","22","74","71","68","72","285","1","52959","83","62","23","22","23","65","293.1","26","37","60","26.3","105","1","1","4","-4","0","11","50","10","20"
"2016","20-Mar-16","40987","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Sam Saunders","CUT","74","73","0","0","147","3","0","99","95","0","0","23","0","291.3","0","17","0","27","54","0","3","0","0","0","7","20","8","0"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Sam Saunders","39","71","69","74","71","285","-3","11400","52","21","44","39","33","47","291.1","19","49","32","29.3","117","31","4","-4","-3","0","14","47","11","10"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Sam Saunders","CUT","76","71","0","0","147","5","0","119","99","0","0","15","0","282.8","0","18","0","27.5","55","0","0","4","1","0","5","22","8","0"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Sam Saunders","CUT","74","71","0","0","145","1","0","120","109","0","0","20","0","277.8","0","21","0","28","56","0","0","2","-1","0","7","23","4","0"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Sam Saunders","CUT","74","73","0","0","147","3","0","101","86","0","0","15","0","273.3","0","21","0","30","60","0","2","6","-5","0","9","15","12","0"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Sam Saunders","CUT","68","71","0","0","139","-1","0","44","84","0","0","17","0","275.5","0","23","0","30","60","0","-1","1","-1","0","7","25","2","0"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Sam Saunders","34","69","68","72","71","280","0","30646","26","15","32","34","27","54","285.8","48","45","25","28.3","113","45","0","7","-7","0","16","41","14","10"
"2016","26-Jun-16","41085","Quick Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quick Loans National","Sam Saunders","21","67","70","72","71","280","-4","64774","11","11","19","21","35","23","292.5","35","57","5","30.8","123","62","-1","1","-4","0","11","54","7","20"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Sam Saunders","8","68","69","65","68","270","-14","101500","20","29","4","8","38","35","290.5","27","54","22","28","112","13","1","-9","-6","1","23","38","9","30"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Sam Saunders","75","71","74","75","73","293","5","11328","30","47","71","75","27","40","298.6","73","37","77","27.3","109","22","2","10","-7","2","11","41","16","5"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Sam Saunders","CUT","73","75","0","0","148","8","0","128","148","0","0","19","0","283","0","16","0","29","58","0","2","3","3","0","5","19","11","0"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Sam Saunders","WD","73","0","0","0","73","2","0","119","0","0","0","9","0","286.5","0","11","0","31","31","0","1","2","-1","0","3","11","3","0"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Sam Saunders","68","66","70","67","74","277","-3","11312","8","35","33","68","39","7","314.4","27","53","47","30.8","123","51","0","-1","-2","0","18","41","11","5"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Sam Saunders","CUT","72","75","0","0","147","3","0","84","114","0","0","14","0","294.5","0","23","0","30","60","0","3","3","-3","0","8","18","9","0"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Sam Saunders","57","67","70","70","70","277","-5","13200","37","63","60","57","38","43","294.4","17","56","22","29.8","119","39","3","-4","-4","1","13","49","8","5"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Sam Saunders","CUT","70","71","75","0","216","0","0","57","69","114","0","24","0","286","0","38","0","29.3","88","0","5","0","-5","0","11","35","5","0"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Sam Saunders","CUT","69","75","72","0","216","1","0","6","68","78","0","29","0","274.2","0","35","0","30.3","91","0","0","5","-4","0","10","34","9","0"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Sam Saunders","49","64","77","73","68","282","-2","17276","1","49","66","49","33","23","291.6","23","43","40","29","116","57","4","3","-9","0","17","41","13","10"
"2017","12-Mar-17","41344","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Sam Saunders","CUT","74","72","0","0","146","4","0","108","100","0","0","17","0","286","0","25","0","31.5","63","0","2","2","0","0","4","25","6","0"
"2017","19-Mar-17","41351","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Sam Saunders","CUT","74","74","0","0","148","4","0","58","73","0","0","19","0","289.8","0","22","0","30","60","0","2","3","-1","0","5","23","7","0"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Sam Saunders","5","70","69","67","65","271","-17","109500","52","38","15","5","36","50","292.3","33","56","23","27.8","111","8","-6","-6","-5","0","22","45","5","40"
"2017","2-Apr-17","41365","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Sam Saunders","20","71","73","69","69","282","-6","84467","66","67","26","20","38","29","280.1","49","42","70","27","108","2","2","-3","-5","0","15","48","9","20"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Sam Saunders","11","65","70","74","67","276","-8","114045","2","5","31","11","34","33","276.6","39","48","20","27.3","109","22","-5","0","-3","0","22","38","10","20"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Sam Saunders","CUT","73","75","0","0","148","4","0","94","117","0","0","22","0","291","0","17","0","26","52","0","1","3","0","0","7","18","11","0"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Sam Saunders","CUT","70","76","0","0","146","2","0","15","80","0","0","15","0","290.5","0","22","0","28","56","0","1","3","-2","0","6","24","4","0"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Sam Saunders","CUT","72","72","0","0","144","4","0","72","91","0","0","10","0","286.5","0","15","0","25","50","0","1","5","-2","0","7","19","9","0"
"2017","28-May-17","41421","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Sam Saunders","24","71","70","67","71","279","-1","57270","47","33","15","24","37","7","299.6","21","48","11","29.5","118","57","5","-1","-5","0","16","42","13","20"
"2017","4-Jun-17","41428","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Sam Saunders","57","68","74","71","80","293","5","19227","7","24","27","57","35","38","291.3","45","41","56","27.5","110","14","9","1","-5","0","15","39","16","5"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Sam Saunders","CUT","74","70","0","0","144","4","0","123","108","0","0","22","0","291","0","21","0","28","56","0","-1","8","-3","0","6","23","4","0"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Sam Saunders","61","68","72","73","75","288","8","15407","15","23","40","61","35","21","310","20","42","48","29.3","117","40","3","4","1","1","10","44","15","5"
