"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Scott Piercy","CUT","72","74","0","0","146","4","0","98","123","0","0","12","0","309","0","23","0","30.5","61","0","4","0","0","0","8","18","8","0"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Scott Piercy","21","72","73","68","68","281","-7","75100","39","49","33","21","29","63","0","0","50","39","28.3","113","25","2","-11","2","1","16","45","9","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Scott Piercy","63","67","73","71","72","283","3","11715","22","51","56","63","29","72","290.6","3","36","73","27","108","1","2","4","-3","0","16","41","11","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Scott Piercy","WD","76","0","0","0","76","5","0","124","0","0","0","8","0","284","0","9","0","31","31","0","-1","6","0","0","2","10","5","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Scott Piercy","CUT","71","69","0","0","140","0","0","88","80","0","0","13","0","327.5","0","27","0","32.5","65","0","2","0","-2","0","5","27","3","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Scott Piercy","CUT","71","66","71","0","208","-8","0","98","48","85","0","30","0","304.5","0","35","0","26.7","80","0","-3","-1","-4","0","17","29","7","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Scott Piercy","15","67","67","75","67","276","-8","102300","19","8","34","15","30","62","322.9","7","51","32","28.8","115","20","-1","-1","-6","2","14","47","8","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Scott Piercy","77","71","69","76","83","299","15","12462","59","32","73","77","24","69","303.9","12","34","76","28.5","114","40","0","20","-5","0","11","42","13","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Scott Piercy","25","72","65","71","66","274","-6","45458","106","28","43","25","34","48","287.9","14","42","58","26.5","106","5","1","-4","-3","0","16","48","7","20"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Scott Piercy","CUT","73","71","0","0","144","2","0","93","75","0","0","22","0","302.5","0","23","0","29","58","0","1","2","-1","0","6","23","6","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Scott Piercy","12","70","64","69","65","268","-12","116600","73","21","26","12","37","29","306.6","22","56","8","30","120","54","-2","-4","-6","0","19","46","7","20"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Scott Piercy","CUT","74","73","0","0","147","3","0","103","110","0","0","17","0","307","0","23","0","29.5","59","0","0","1","2","0","6","23","5","0"
