"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Seamus Power","CUT","73","69","0","0","142","-2","0","102","71","0","0","17","0","308.5","0","24","0","28","56","0","0","0","-2","0","7","24","5","0"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Seamus Power","29","65","69","70","77","281","-7","26705","2","2","6","29","30","30","305.5","19","54","14","29.3","117","50","0","-2","-5","0","17","47","6","10"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Seamus Power","57","71","67","72","69","279","-5","14718","86","46","64","57","27","60","326.3","5","48","61","28.5","114","22","1","0","-6","1","15","44","12","5"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Seamus Power","28","68","66","64","76","274","-10","45550","20","11","4","28","38","36","276.8","57","49","47","27","108","5","-1","-2","-7","0","19","46","6","10"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Seamus Power","74","67","70","73","0","210","-2","11280","37","63","74","0","23","0","306","0","36","0","29","87","0","2","0","-4","0","13","31","9","5"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Seamus Power","49","69","66","67","70","272","-8","14430","74","48","38","49","22","73","309","34","48","55","27.3","109","7","-2","0","-6","1","14","50","6","10"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Seamus Power","21","67","70","71","69","277","-11","62640","11","21","32","21","26","76","298","15","54","7","28.3","113","44","-1","-3","-7","0","18","49","3","20"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Seamus Power","CUT","74","72","0","0","146","2","0","117","91","0","0","11","0","298","0","18","0","27","54","0","4","3","-5","0","8","20","6","0"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Seamus Power","39","70","70","72","71","283","-4","26640","13","24","34","39","32","63","292.6","13","51","30","30","120","44","2","3","-9","0","13","51","7","10"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Seamus Power","CUT","68","73","0","0","141","1","0","24","71","0","0","16","0","298.8","0","15","0","24.5","49","0","2","2","-3","1","5","23","6","0"
"2017","12-Mar-17","41344","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Seamus Power","27","66","74","72","70","282","-2","39346","5","32","35","27","27","60","295.8","17","47","18","29","116","52","0","3","-5","1","13","46","11","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Seamus Power","CUT","69","76","0","0","145","1","0","30","107","0","0","18","0","293.3","0","27","0","32","64","0","2","1","-2","0","5","26","4","0"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Seamus Power","58","72","72","74","76","294","6","13702","70","64","50","58","32","40","302.8","6","46","12","29.8","119","72","4","3","-1","1","9","47","13","5"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Seamus Power","49","68","71","77","73","289","1","18950","6","2","49","49","31","51","286.1","38","41","59","27.5","110","12","0","5","-4","0","14","44","13","10"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Seamus Power","57","69","69","72","72","282","2","16875","26","25","52","57","31","27","288.3","38","49","10","30.5","122","73","1","7","-6","1","12","44","14","5"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Seamus Power","27","69","65","72","71","277","-3","48320","29","6","22","27","23","69","295.3","28","41","53","27","108","17","0","0","-3","0","16","43","13","10"
