"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Sergio Garcia","11","66","71","71","72","280","-8","161000","3","5","9","11","35","40","0","0","50","20","28","112","9","-1","-1","-6","0","16","48","8","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Sergio Garcia","4","70","68","69","63","270","-18","365000","15","5","10","4","34","39","0","0","54","20","27.8","111","17","2","-9","-11","0","23","44","5","40"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Sergio Garcia","8","72","68","68","67","275","-5","168000","101","66","42","8","32","42","299","8","51","6","29.3","117","47","2","-4","-3","0","15","47","10","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Sergio Garcia","16","74","76","73","69","292","4","90667","33","34","40","16","27","29","294.5","38","48","2","30","120","54","-2","5","1","0","10","53","7","20"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Sergio Garcia","3","67","65","73","70","275","-13","435200","8","1","2","3","38","18","299.3","25","49","36","26.8","107","1","-3","-6","-4","1","16","50","5","60"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Sergio Garcia","CUT","74","75","0","0","149","5","0","40","52","0","0","18","0","277.3","0","22","0","32","64","0","0","7","-2","0","6","19","11","0"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Sergio Garcia","3","67","71","69","70","277","-11","680000","4","4","3","3","39","17","289.6","22","52","7","28.8","115","47","-1","-3","-7","0","21","41","10","60"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Sergio Garcia","35","73","71","72","72","288","8","46803","68","44","35","35","45","2","292.9","23","42","44","30","120","32","2","11","-5","0","9","47","15","10"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Sergio Garcia","2","65","69","65","67","266","-14","545600","9","13","3","2","39","38","288.9","52","57","1","29","116","44","-3","-8","-3","0","21","44","7","75"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Sergio Garcia","2","68","70","69","66","273","-15","785910","3","3","3","2","38","16","294","11","51","12","27.5","110","4","-1","-4","-10","2","18","45","7","75"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Sergio Garcia","2","68","61","67","71","267","-13","900000","9","1","1","2","31","22","312.8","13","54","5","28.5","114","37","-2","-7","-4","0","17","51","4","75"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Sergio Garcia","35","70","72","66","73","281","-3","44920","35","53","23","35","39","24","288.6","41","49","22","28.8","115","39","-2","4","-5","0","14","47","11","10"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Sergio Garcia","57","71","68","71","74","284","0","17840","56","27","30","57","35","37","271.3","56","41","68","28","112","22","-3","3","0","0","12","48","12","5"
