"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Shawn Stefani","CUT","71","80","0","0","151","7","0","46","139","0","0","18","0","287","0","21","0","32","64","0","2","7","-2","0","7","16","12","0"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Shawn Stefani","5","67","69","73","69","278","-10","256000","8","3","7","5","35","33","300.6","23","56","4","28.8","115","22","1","2","-13","2","19","40","9","40"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Shawn Stefani","53","74","69","71","73","287","3","13326","92","37","43","53","40","13","278.4","16","31","77","26.8","107","11","4","5","-6","1","10","46","15","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Shawn Stefani","52","69","72","72","72","285","-3","15477","20","47","64","52","40","7","296.5","28","46","62","28.5","114","29","0","2","-5","0","12","51","9","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Shawn Stefani","44","69","68","75","75","287","-1","20861","7","4","28","44","35","5","309","9","50","6","30.3","121","69","2","-1","-2","0","14","47","10","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Shawn Stefani","CUT","75","74","0","0","149","5","0","111","121","0","0","20","0","289","0","20","0","29","58","0","1","6","-2","0","4","25","5","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Shawn Stefani","11","74","66","67","67","274","-6","146280","130","52","27","11","34","20","318.9","4","55","1","29.3","117","52","0","0","-6","0","19","42","9","20"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Shawn Stefani","63","70","67","74","74","285","5","12354","58","21","50","63","28","58","295.5","7","40","54","27.8","111","29","-1","8","-2","0","9","50","12","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Shawn Stefani","CUT","71","72","0","0","143","3","0","102","114","0","0","19","0","299","0","25","0","32.5","65","0","0","4","-1","0","5","23","8","0"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Shawn Stefani","2","74","68","68","70","280","-4","702000","83","27","5","1","36","11","305.4","21","46","22","28.3","113","13","3","-7","0","0","14","49","8","75"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Shawn Stefani","35","73","67","67","69","276","-4","28698","128","69","43","35","37","40","293.3","43","49","40","29.5","118","48","-3","2","-3","0","13","50","9","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Shawn Stefani","13","73","67","64","66","270","-14","80571","119","57","20","13","39","46","309.6","4","56","12","28.3","113","30","-2","-1","-11","3","21","40","6","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Shawn Stefani","CUT","73","74","0","0","147","3","0","66","73","0","0","20","0","275.8","0","23","0","30","60","0","0","4","-1","0","5","23","8","0"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Shawn Stefani","68","68","75","72","73","288","4","18400","11","69","70","68","36","45","297.6","16","47","32","30.8","123","71","3","4","-3","0","11","48","11","5"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Shawn Stefani","51","67","67","71","71","276","-4","12473","19","21","42","51","32","55","298.8","45","50","47","30.3","121","62","0","0","-4","0","14","48","10","5"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Shawn Stefani","30","71","70","71","68","280","-4","46500","56","50","51","30","38","23","287.8","12","53","5","29.5","118","57","-1","2","-5","2","12","47","10","10"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Shawn Stefani","68","69","74","71","73","287","3","16320","17","50","56","68","32","68","298.8","29","47","35","30","120","61","2","1","0","0","8","54","9","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Shawn Stefani","53","73","69","73","71","286","-2","13890","80","47","58","53","35","15","301","20","52","17","30","120","62","4","0","-6","0","17","40","15","5"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Shawn Stefani","CUT","71","71","0","0","142","0","0","79","98","0","0","14","0","307.5","0","25","0","30.5","61","0","2","1","-3","0","7","22","7","0"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Shawn Stefani","41","66","69","71","69","275","-5","19600","5","10","38","41","43","15","297.4","5","57","15","30.5","122","44","1","-1","-5","1","13","50","6","10"
