"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Smylie Kaufman","CUT","73","76","0","0","149","9","0","68","114","0","0","18","0","286.3","0","20","0","31","62","0","1","5","3","0","3","22","10","0"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Smylie Kaufman","CUT","73","72","0","0","145","1","0","104","120","0","0","19","0","285","0","25","0","33","66","0","2","1","-2","0","6","23","7","0"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Smylie Kaufman","66","69","68","73","72","282","-2","7210","25","20","54","66","26","80","298.9","16","51","45","29.3","117","35","-1","3","-4","0","16","46","6","5"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Smylie Kaufman","10","68","72","69","68","277","-11","128571","13","29","27","10","25","63","303","24","50","34","28","112","16","3","-2","-12","0","22","40","9","30"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Smylie Kaufman","1","67","72","68","61","268","-16","1152000","26","48","28","1","36","7","327.6","5","55","13","28.3","113","9","-3","-6","-7","1","23","40","7","100"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Smylie Kaufman","54","71","67","73","71","282","-6","9307","83","25","51","54","31","44","292.1","10","53","36","29.5","118","39","4","-4","-6","0","14","50","8","5"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Smylie Kaufman","34","68","72","66","71","277","-7","32757","24","63","29","34","33","59","290.6","7","48","53","27.5","110","17","-5","5","-7","0","20","43","5","10"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Smylie Kaufman","33","68","70","66","71","275","-7","27049","42","36","12","33","38","55","290.9","10","53","45","30.3","121","44","-1","1","-7","1","13","51","6","10"
"2016","10-Jan-16","40917","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Smylie Kaufman","15","70","69","71","68","278","-14","108667","12","13","15","15","40","23","291.3","8","63","3","31.8","127","30","2","-3","-13","0","24","40","6","20"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Smylie Kaufman","14","68","69","67","67","271","-17","104400","32","35","29","14","34","46","303.5","14","54","15","27","108","24","-2","-7","-8","0","23","44","4","20"
