"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Soren Kjeldsen","CUT","75","73","0","0","148","4","0","127","118","0","0","23","0","277","0","22","0","30.5","61","0","1","3","0","0","7","18","11","0"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Soren Kjeldsen","12","69","73","69","66","277","-3","126000","14","34","26","12","28","15","314.9","46","42","21","27.5","110","27","1","-4","0","0","17","42","12","20"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Soren Kjeldsen","CUT","72","78","0","0","150","6","0","39","110","0","0","19","0","257","0","19","0","28.5","57","0","3","3","0","0","2","28","4","0"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Soren Kjeldsen","46","68","71","70","75","284","-4","52000","16","19","25","46","40","7","0","0","47","53","28.8","115","31","1","3","-8","0","16","45","10","10"
"2016","6-Mar-16","40973","WGC - Mexico Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7543","72","WGC-Cadillac Championship","Soren Kjeldsen","28","72","72","74","72","290","2","79429","28","29","33","28","32","19","284.3","59","44","44","29.3","117","32","3","2","-3","0","15","42","13","10"
"2016","20-Mar-16","40987","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Soren Kjeldsen","CUT","72","75","0","0","147","3","0","68","95","0","0","16","0","280.3","0","16","0","27.5","55","0","2","4","-3","0","4","25","7","0"
"2016","10-Apr-16","41008","Masters","","Augusta National G.C.","7435","72","Masters","Soren Kjeldsen","7","69","74","74","71","288","0","311667","4","5","8","7","43","3","264.1","54","48","6","29.8","119","16","-1","4","-3","0","13","46","13","30"
"2016","15-May-16","41043","Players Championship","The Players Championship","TPC Sawgrass","7215","72","The Players Championship","Soren Kjeldsen","43","72","70","74","72","288","0","33670","83","65","45","43","41","6","282.8","66","47","46","29","116","29","2","4","-6","0","10","53","8","10"
"2016","5-Jun-16","41064","the Memorial Tournament","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Soren Kjeldsen","20","71","69","64","74","278","-10","88643","58","43","8","20","48","2","273.9","72","54","4","28.5","114","47","-3","0","-7","0","20","42","10","20"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Soren Kjeldsen","CUT","73","76","0","0","149","9","0","46","89","0","0","20","0","271.5","0","19","0","32","64","0","0","10","-1","0","3","23","8","0"
"2016","3-Jul-16","41092","WGC - Bridgestone Invitational","WGC-Bridgestone Invitational","Firestone C.C. (South)","","70","WGC - Bridgestone Invitational","Soren Kjeldsen","42","72","76","70","71","289","9","66500","33","47","40","42","20","49","283.1","56","37","40","28.3","113","28","2","7","0","0","6","51","15","10"
"2016","17-Jul-16","41106","The Open Championship","","Royal Troon G.C.","7190","71","The Open Championship","Soren Kjeldsen","9","67","68","75","72","282","-2","178477","4","3","6","9","42","3","263.5","76","46","26","28","112","15","2","4","-8","0","14","47","10","30"
"2016","31-Jul-16","41120","PGA Championship","","Baltusrol G.C.","7428","70","PGA Championship","Soren Kjeldsen","33","70","69","73","65","277","-3","45289","36","34","66","33","41","9","275.1","74","53","29","30.5","122","47","0","0","-3","0","8","59","5","10"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Soren Kjeldsen","64","68","69","69","73","279","-1","13794","24","24","33","64","41","15","274.3","70","45","69","29","116","22","2","0","-3","0","15","44","12","5"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Soren Kjeldsen","40","73","75","72","68","288","0","62000","48","55","55","40","42","5","0","0","50","28","30","120","51","-1","3","-2","0","13","47","11","10"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Soren Kjeldsen","CUT","66","73","0","0","139","-1","0","21","98","0","0","16","0","275.3","0","26","0","30.5","61","0","-1","3","-3","0","8","21","7","0"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Soren Kjeldsen","CUT","71","71","75","0","217","1","0","79","92","123","0","37","0","273.2","0","36","0","29.7","89","0","5","1","-5","0","11","34","7","0"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Soren Kjeldsen","CUT","76","73","0","0","149","5","0","133","125","0","0","18","0","257.8","0","20","0","30","60","0","1","5","-1","0","6","19","11","0"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Soren Kjeldsen","CUT","74","71","0","0","145","3","0","112","94","0","0","14","0","279.3","0","21","0","29.5","59","0","0","6","-3","0","5","26","2","0"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Soren Kjeldsen","37","70","70","71","68","279","-1","28160","63","55","59","37","35","31","274.4","69","40","61","26.3","105","5","4","-1","-4","0","17","41","12","10"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Soren Kjeldsen","32","75","71","71","66","283","-1","70500","61","56","53","32","33","49","282.1","71","39","64","26","104","2","3","-2","-2","0","17","39","16","10"
"2017","12-Mar-17","41344","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Soren Kjeldsen","27","68","70","73","71","282","-2","39346","12","14","25","27","35","16","268.5","69","48","11","29.8","119","58","2","1","-5","0","11","52","9","10"
"2017","9-Apr-17","41372","Masters","","Augusta National G.C.","7435","72","Masters","Soren Kjeldsen","36","72","73","71","78","294","6","52938","12","13","11","36","46","1","0","0","49","11","30.5","122","35","4","11","-9","1","9","47","13","10"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Soren Kjeldsen","62","69","74","78","74","295","7","13144","19","47","69","62","43","2","268.4","76","36","69","28","112","36","2","5","0","0","10","46","15","5"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Soren Kjeldsen","CUT","73","77","0","0","150","6","0","81","121","0","0","18","0","273.5","0","19","0","30.5","61","0","1","3","2","0","3","25","7","0"
"2017","4-Jun-17","41428","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Soren Kjeldsen","71","72","73","71","81","297","9","17139","35","49","47","71","41","7","271.6","73","43","46","28.5","114","34","5","8","-4","0","14","38","17","5"
"2017","23-Jul-17","41477","British Open","","Royal Birkdale G.C.","7156","70","British Open","Soren Kjeldsen","37","71","71","72","68","282","2","45286","58","24","52","37","37","1","266","77","50","3","31","124","72","-1","7","-4","0","13","45","13","10"
"2017","13-Aug-17","41498","PGA Championship","","Quail Hollow Club","7600","71","PGA Championship","Soren Kjeldsen","CUT","73","78","0","0","151","9","0","44","106","0","0","17","0","267.3","0","16","0","29","58","0","4","6","-1","0","4","20","11","0"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Soren Kjeldsen","16","69","63","66","71","269","-11","78735","86","14","9","16","40","14","296.9","66","54","38","28.3","113","9","-3","-7","-1","0","23","39","8","20"
