"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Steve Stricker","57","77","78","71","76","302","14","50000","58","59","51","57","25","44","273.9","66","33","66","27.3","109","3","3","9","2","0","10","47","10","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Steve Stricker","24","68","69","76","71","284","-4","50651","18","7","23","24","34","43","288.9","51","49","36","28.8","115","22","2","-4","-2","0","12","53","6","20"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Steve Stricker","31","72","73","73","75","293","5","55800","20","21","18","31","38","23","287.5","35","37","46","28","112","5","4","9","-8","0","12","45","13","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Steve Stricker","13","71","70","71","69","281","-7","187500","48","25","24","13","37","34","275","62","50","12","27.8","111","16","1","1","-9","0","20","39","13","20"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Steve Stricker","6","71","70","70","68","279","-9","215450","28","24","20","6","39","24","291","45","49","13","28","112","30","-2","4","-11","1","18","42","11","30"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Steve Stricker","21","70","71","73","71","285","5","98598","16","20","23","21","40","30","276.1","59","35","61","27.8","111","4","4","3","-2","0","10","47","15","20"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Steve Stricker","35","66","68","68","74","276","-4","28698","10","5","4","35","38","35","287.8","60","50","29","29.3","117","39","1","-1","-4","0","13","51","7","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Steve Stricker","11","68","65","64","72","269","-15","112800","24","6","2","11","40","42","291.3","49","54","22","27","108","4","-2","-8","-5","0","23","42","6","20"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Steve Stricker","63","74","73","72","73","292","12","44250","61","67","66","63","26","55","290.6","53","34","65","28.5","114","37","5","5","2","0","9","44","18","5"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Steve Stricker","7","69","68","68","68","273","-11","263000","20","9","10","7","34","55","288","42","50","14","27.8","111","20","-1","-8","-2","0","17","49","6","30"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Steve Stricker","28","73","73","73","68","287","-1","68000","41","50","46","28","42","13","305","14","40","53","26.5","106","1","4","0","-5","0","15","45","10","10"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Steve Stricker","CUT","69","72","0","0","141","-3","0","32","89","0","0","14","0","268","0","24","0","28","56","0","3","-2","-4","0","9","21","6","0"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Steve Stricker","38","69","75","69","72","285","-3","44000","11","61","40","38","40","12","282.3","51","48","30","28.5","114","31","3","-1","-5","0","14","49","7","10"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Steve Stricker","27","67","70","71","67","275","-5","45175","16","15","41","27","36","21","274.6","48","53","14","29.8","119","50","-1","-2","-2","0","13","52","6","10"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Steve Stricker","40","69","73","76","68","286","-2","21728","21","53","63","40","35","55","274.5","68","49","16","29.3","117","55","0","1","-3","0","14","47","10","10"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Steve Stricker","CUT","69","70","0","0","139","-1","0","76","79","0","0","22","0","280.5","0","25","0","30","60","0","2","-3","0","0","4","29","3","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Steve Stricker","35","65","69","71","70","275","-9","22678","5","11","26","35","41","47","274","49","50","56","28.5","114","30","-1","-5","-3","0","18","46","7","10"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Steve Stricker","63","69","72","71","73","285","-3","12064","33","56","57","63","32","17","280.1","72","39","76","26.3","105","7","0","4","-7","2","12","46","11","5"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Steve Stricker","30","71","72","71","70","284","-4","56057","24","37","44","30","38","16","291.6","38","44","55","27.3","109","15","1","0","-5","0","16","46","8","10"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Steve Stricker","64","69","65","68","72","274","-6","12180","68","25","31","64","30","44","284.8","67","46","62","27.5","110","12","1","-4","-3","1","16","43","12","5"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Steve Stricker","CUT","70","67","71","0","208","-8","0","69","35","71","0","24","0","276","0","30","0","25.7","77","0","-2","2","-8","0","15","33","5","0"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Steve Stricker","CUT","69","74","0","0","143","1","0","30","71","0","0","15","0","279.8","0","18","0","27","54","0","0","2","-1","0","6","23","7","0"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Steve Stricker","CUT","72","71","75","0","218","3","0","91","67","101","0","32","0","269.3","0","32","0","29.3","88","0","3","3","-3","0","9","33","12","0"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Steve Stricker","11","71","68","67","70","276","-8","144160","56","28","14","11","32","24","255.8","76","39","69","26.3","105","1","0","-2","-6","1","17","43","11","20"
