"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Steven Alker","CUT","76","76","0","0","152","12","0","122","136","0","0","22","0","258","0","11","0","28.5","57","0","4","9","-1","0","1","24","9","0"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Steven Alker","CUT","75","71","0","0","146","2","0","121","98","0","0","20","0","291.3","0","22","0","29","58","0","1","1","0","0","6","23","6","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Steven Alker","56","70","69","70","70","279","-5","13764","53","45","61","56","41","2","301.5","48","52","43","29.3","117","32","2","-1","-6","0","13","51","8","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Steven Alker","32","69","67","71","67","274","-6","29058","48","21","48","32","47","2","276","66","52","53","29.3","117","15","0","-4","-2","0","15","48","9","10"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Steven Alker","CUT","73","73","0","0","146","2","0","95","101","0","0","22","0","274","0","28","0","32","64","0","1","1","0","0","5","25","5","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Steven Alker","CUT","74","66","0","0","140","-2","0","118","77","0","0","21","0","272.3","0","26","0","30","60","0","-4","4","-2","0","8","22","6","0"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Steven Alker","CUT","72","73","0","0","145","5","0","111","133","0","0","19","0","279.3","0","18","0","29","58","0","1","6","-2","0","5","23","6","0"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Steven Alker","59","68","66","69","75","278","-10","12426","29","14","16","59","39","18","277.1","63","45","66","26.5","106","14","-1","2","-11","0","19","45","7","5"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Steven Alker","CUT","74","71","0","0","145","1","0","112","91","0","0","21","0","279.3","0","26","0","31.5","63","0","0","3","-2","0","6","24","5","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Steven Alker","CUT","72","69","69","0","210","-5","0","103","90","77","0","32","0","284.7","0","35","0","28.7","86","0","-2","3","-6","2","8","37","7","0"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Steven Alker","CUT","76","73","0","0","149","5","0","96","97","0","0","22","0","263","0","21","0","30.5","61","0","0","5","0","0","4","24","7","0"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Steven Alker","CUT","71","70","0","0","141","-3","0","75","89","0","0","19","0","265.8","0","24","0","28","56","0","-1","-1","-1","0","8","24","3","0"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Steven Alker","28","69","72","72","70","283","-5","43310","13","32","39","28","35","5","284.5","69","43","54","27.5","110","16","0","-2","-3","0","17","43","12","10"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Steven Alker","CUT","69","71","0","0","140","1","0","33","100","0","0","20","0","272.3","0","21","0","28","56","0","-1","1","1","0","5","25","6","0"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Steven Alker","22","65","68","74","69","276","-4","54086","4","3","19","22","30","43","281.6","64","41","54","25.3","101","1","1","-1","-4","1","20","35","14","20"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Steven Alker","60","70","68","68","71","277","-3","13888","94","59","49","60","40","28","275.3","63","52","23","29.8","119","54","3","-3","-3","1","13","47","10","5"
