"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Stuart Appleby","CUT","74","70","0","0","144","2","0","100","96","0","0","13","0","291.8","0","20","0","28.5","57","0","2","1","-1","0","6","22","8","0"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Stuart Appleby","23","70","68","65","69","272","-12","53400","71","48","15","23","33","27","302","48","57","22","29.3","117","20","0","-10","-2","0","22","41","8","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Stuart Appleby","36","68","70","71","69","278","-2","26469","38","26","36","36","38","41","266.5","65","50","43","28.5","114","10","1","1","-4","0","12","52","6","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Stuart Appleby","WD","74","0","0","0","74","3","0","110","0","0","0","10","0","264.5","0","11","0","31","31","0","0","3","0","0","2","11","5","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Stuart Appleby","65","70","68","71","69","278","-2","11648","65","42","70","65","26","47","287","57","40","69","28","112","22","3","1","-6","0","16","42","14","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Stuart Appleby","9","66","69","67","65","267","-21","148200","13","22","18","9","35","61","286.6","61","58","9","27.3","109","21","0","-8","-13","0","25","44","2","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Stuart Appleby","43","74","69","72","73","288","0","20740","99","50","38","43","27","49","275.3","63","48","22","29.5","118","41","1","2","-3","1","14","41","16","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Stuart Appleby","35","65","74","76","72","287","0","29139","2","15","53","35","41","10","256","62","48","27","30","120","46","0","7","-7","0","14","45","12","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Stuart Appleby","45","72","71","67","73","283","-1","18779","83","68","33","45","31","30","273.9","68","40","61","28","112","30","2","4","-7","1","17","36","18","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Stuart Appleby","8","69","69","65","72","275","-5","168000","31","38","5","8","34","33","275","60","43","51","26.8","107","4","1","-4","-2","0","18","43","10","30"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Stuart Appleby","58","71","73","74","72","290","6","12426","26","46","70","58","27","68","262.3","67","42","54","29.8","119","49","0","8","-2","0","7","53","11","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Stuart Appleby","CUT","74","73","0","0","147","3","0","91","78","0","0","11","0","274.3","0","24","0","30","60","0","2","1","0","1","8","18","7","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Stuart Appleby","72","70","77","74","0","221","5","11966","12","69","72","0","24","0","271.3","0","29","0","27.7","83","0","0","4","1","0","10","31","11","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Stuart Appleby","CUT","73","73","0","0","146","2","0","114","92","0","0","18","0","284.8","0","22","0","28.5","57","0","0","4","-2","0","7","22","5","0"
