"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Tag Ridings","69","70","69","74","70","283","-1","12000","44","47","73","69","29","73","293.4","9","47","67","29.3","117","49","-2","10","-9","3","15","38","12","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Tag Ridings","55","73","70","73","74","290","2","13847","88","50","47","55","28","45","296.3","9","46","37","30","120","51","2","7","-7","3","10","43","14","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Tag Ridings","CUT","73","73","75","0","221","6","0","120","109","112","0","27","0","293.8","0","29","0","30","90","0","4","6","-4","0","5","38","11","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Tag Ridings","72","70","72","73","0","215","-1","6720","32","55","72","0","28","0","286","0","40","0","31.7","95","0","-1","4","-4","0","12","32","9","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Tag Ridings","45","71","70","72","70","283","-5","21080","54","47","64","45","31","64","304","5","51","31","29.8","119","58","3","-3","-5","1","15","45","10","10"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Tag Ridings","CUT","71","73","0","0","144","4","0","68","108","0","0","15","0","318.3","0","21","0","30","60","0","1","7","-4","1","4","23","6","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Tag Ridings","CUT","70","71","0","0","141","1","0","58","72","0","0","12","0","297.8","0","21","0","28.5","57","0","-1","2","0","0","7","22","6","0"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tag Ridings","CUT","71","78","0","0","149","9","0","102","150","0","0","18","0","277.5","0","20","0","32","64","0","3","6","0","0","2","24","9","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Tag Ridings","CUT","76","75","0","0","151","11","0","152","152","0","0","17","0","296.8","0","20","0","31.5","63","0","2","10","-1","1","2","21","10","0"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tag Ridings","CUT","69","72","0","0","141","-1","0","36","78","0","0","21","0","313.5","0","24","0","27","54","0","1","-3","1","0","9","20","6","0"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Tag Ridings","CUT","71","73","0","0","144","4","0","87","112","0","0","14","0","282.8","0","21","0","29","58","0","1","5","-2","0","7","20","8","0"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Tag Ridings","CUT","75","73","0","0","148","8","0","134","133","0","0","13","0","309","0","18","0","29.5","59","0","1","8","-1","0","3","25","5","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Tag Ridings","35","68","70","71","71","280","-8","23516","15","16","22","35","27","53","284.1","46","54","21","29","116","37","1","-5","-4","0","18","45","8","10"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Tag Ridings","CUT","70","74","0","0","144","0","0","51","88","0","0","16","0","306.3","0","24","0","29.5","59","0","0","0","0","0","4","28","4","0"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Tag Ridings","36","68","67","71","68","274","-8","25833","63","36","51","36","41","22","299.6","9","53","42","30.5","122","54","-1","-1","-6","0","17","47","7","10"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Tag Ridings","74","70","67","70","0","207","-3","11280","94","70","74","0","24","0","312.8","0","39","0","30","90","0","0","0","-3","0","10","37","7","5"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Tag Ridings","74","73","71","66","76","286","-2","11136","122","118","53","74","34","49","302","7","45","68","28","112","36","-1","1","-2","1","17","40","12","5"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Tag Ridings","CUT","81","73","0","0","154","10","0","153","151","0","0","13","0","302.3","0","24","0","35.5","71","0","0","9","1","0","4","21","9","0"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Tag Ridings","33","72","68","74","68","282","-5","38040","44","24","53","33","33","60","294.8","12","48","51","28.5","114","12","0","2","-7","0","19","40","12","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Tag Ridings","72","72","69","72","0","213","-3","5790","93","69","72","0","27","0","300.3","0","43","0","32","96","0","2","0","-5","1","9","36","8","5"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Tag Ridings","40","72","72","73","73","290","2","21728","70","64","44","40","27","69","301","9","38","63","27.3","109","17","2","0","0","0","14","42","16","10"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Tag Ridings","42","70","72","77","69","288","0","24793","15","20","65","42","34","39","303.9","9","47","20","29.5","118","59","1","0","-1","0","12","49","10","10"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Tag Ridings","CUT","75","69","0","0","144","4","0","122","91","0","0","12","0","287.8","0","20","0","30","60","0","2","4","-2","0","8","16","12","0"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Tag Ridings","68","71","68","71","75","285","5","13056","65","45","51","68","22","70","306.3","12","36","70","27.3","109","21","-2","9","-2","0","8","52","11","5"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tag Ridings","CUT","68","74","0","0","142","2","0","37","92","0","0","12","0","297.8","0","20","0","28.5","57","0","1","2","-1","1","6","21","7","0"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Tag Ridings","CUT","67","75","0","0","142","2","0","16","102","0","0","21","0","307.3","0","22","0","29.5","59","0","1","2","-1","1","7","18","9","0"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tag Ridings","74","69","69","72","0","210","-3","10864","37","46","74","0","33","0","307.2","0","37","0","28.7","86","0","2","-3","-2","0","14","29","11","5"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Tag Ridings","3","66","67","63","69","265","-19","182000","5","6","3","3","36","51","304","10","53","45","27.8","111","10","-3","-8","-8","1","26","37","7","60"
"2017","30-Jul-17","41484","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Tag Ridings","32","67","69","73","69","278","-10","30480","17","14","41","32","27","58","306.3","25","49","33","28.3","113","50","-1","-2","-7","1","16","48","6","10"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Tag Ridings","69","66","70","71","71","278","-2","11600","18","44","62","69","41","12","305.1","29","48","70","30","120","40","1","2","-5","1","11","51","7","5"
