"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Tim Clark","72","73","67","73","0","213","0","9600","83","42","72","0","27","0","285","0","36","0","29.7","89","0","-2","0","2","0","8","38","8","5"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Tim Clark","CUT","69","71","0","0","140","-2","0","51","72","0","0","18","0","287.5","0","27","0","30","60","0","-1","1","-2","0","7","25","3","0"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Tim Clark","31","72","69","70","74","285","-3","44450","30","25","23","31","37","31","0","0","49","26","29.3","117","37","1","1","-5","0","14","48","9","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Tim Clark","2","67","67","71","62","267","-13","484000","22","6","13","2","46","2","259.4","72","60","2","29.5","118","25","-3","-7","-3","0","20","46","5","75"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Tim Clark","36","71","70","63","73","277","-7","25833","63","65","15","36","45","2","264.3","67","49","47","28.5","114","27","-1","-2","-4","2","11","52","6","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Tim Clark","WD","73","0","0","0","73","3","0","118","0","0","0","10","0","295","0","10","0","31","31","0","1","2","0","0","0","15","3","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Tim Clark","CUT","72","70","0","0","142","2","0","101","88","0","0","20","0","254.3","0","14","0","25.5","51","0","0","4","-2","0","5","24","7","0"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Tim Clark","78","72","70","75","0","217","1","6370","61","55","78","0","32","0","267.3","0","35","0","28.7","86","0","1","-2","2","0","10","36","6","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Tim Clark","82","73","72","76","0","221","8","9975","70","64","82","0","35","0","266.5","0","29","0","29.7","89","0","2","8","-2","0","5","37","11","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Tim Clark","CUT","72","79","0","0","151","7","0","97","133","0","0","19","0","273.5","0","19","0","29","58","0","0","6","1","0","5","23","5","0"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Tim Clark","CUT","79","78","0","0","157","13","0","87","92","0","0","23","0","259.5","0","16","0","31","62","0","1","12","0","0","3","20","10","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Tim Clark","38","72","71","71","71","285","1","23200","55","37","43","38","40","13","250.1","78","40","53","27.3","109","19","2","1","-2","0","15","41","16","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Tim Clark","CUT","71","81","0","0","152","8","0","48","135","0","0","21","0","290.3","0","21","0","29.5","59","0","3","4","1","0","4","24","6","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Tim Clark","CUT","73","74","0","0","147","7","0","106","137","0","0","21","0","277.8","0","21","0","30.5","61","0","1","7","-1","0","5","20","10","0"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Tim Clark","21","67","68","69","72","276","-4","58453","6","4","5","21","30","42","281","72","52","10","29.3","117","40","-1","-2","-1","0","18","42","10","20"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Tim Clark","CUT","73","72","0","0","145","1","0","64","77","0","0","25","0","261.8","0","23","0","28.5","57","0","0","4","-3","0","8","22","4","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Tim Clark","19","68","69","67","72","276","-4","70296","24","21","11","19","38","10","263.3","70","47","20","28","112","36","-1","1","-4","0","15","46","11","20"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tim Clark","CUT","73","72","0","0","145","5","0","132","137","0","0","24","0","273.8","0","23","0","31","62","0","2","3","0","0","3","25","8","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Tim Clark","CUT","73","74","0","0","147","7","0","128","139","0","0","19","0","265.8","0","19","0","30","60","0","2","6","-1","0","2","25","9","0"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tim Clark","5","72","63","64","67","266","-18","178600","101","16","4","5","46","4","280.1","73","59","5","28","112","24","-4","-8","-6","0","24","42","6","40"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Tim Clark","1","67","67","64","65","263","-17","1026000","16","9","2","1","47","1","266.9","71","52","4","26.8","107","7","-5","-8","-4","1","17","52","2","100"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Tim Clark","50","72","73","70","71","286","6","52500","46","58","52","50","43","2","277.6","70","41","42","28","112","25","0","9","-3","0","14","41","14","10"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Tim Clark","CUT","70","74","0","0","144","2","0","35","75","0","0","21","0","266","0","23","0","30","60","0","0","4","-2","1","5","23","5","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Tim Clark","24","67","67","69","68","271","-9","41009","19","21","26","24","41","11","293","66","51","41","28.3","113","10","1","-5","-5","0","19","43","10","20"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Tim Clark","WD","76","0","0","0","76","5","0","115","0","0","0","11","0","253.5","0","9","0","32","32","0","2","3","0","0","0","13","5","0"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Tim Clark","36","71","69","70","71","281","1","36057","29","20","29","36","36","14","290","62","43","51","28.3","113","11","-1","6","-4","0","13","47","10","10"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Tim Clark","57","69","74","70","74","287","-1","13260","13","63","41","57","31","37","275.1","73","47","52","29.5","118","46","0","-1","0","0","12","50","9","5"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Tim Clark","42","68","67","72","69","276","-8","20495","19","13","42","42","33","35","289","70","51","53","28.3","113","9","-3","-1","-4","1","16","46","8","10"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Tim Clark","56","72","74","74","70","290","2","15680","39","53","63","56","46","3","0","0","46","61","29.3","117","28","-1","5","-2","0","11","48","13","5"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Tim Clark","2","69","70","69","69","277","-11","850000","2","5","5","1","34","1","0","0","36","18","20.3","81","10","3","-3","-11","0","22","39","11","75"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Tim Clark","25","70","75","67","71","283","-9","65000","18","33","20","25","51","3","258.5","32","58","15","29.5","118","10","0","-4","-5","0","19","43","10","20"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Tim Clark","30","65","65","68","74","272","-8","33280","6","4","5","30","39","3","284.3","62","49","35","28.3","113","26","1","-4","-5","0","21","38","13","10"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tim Clark","CUT","70","74","0","0","144","4","0","94","136","0","0","21","0","271.3","0","21","0","29.5","59","0","2","3","-1","0","3","26","7","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tim Clark","CUT","69","71","0","0","140","-2","0","61","89","0","0","21","0","266.8","0","25","0","29","58","0","-2","2","-2","0","7","24","5","0"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Tim Clark","63","72","67","72","74","285","-3","12064","88","33","48","63","37","2","287.9","62","46","43","28","112","39","4","-4","-3","0","13","51","6","5"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Tim Clark","CUT","75","73","0","0","148","4","0","86","90","0","0","18","0","269","0","24","0","31","62","0","1","4","-1","0","3","26","7","0"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Tim Clark","43","66","71","67","69","273","-7","18360","20","52","41","43","38","19","291","57","58","9","31.3","125","63","-2","-3","-2","0","17","46","8","10"
"2015","30-Aug-15","40784","The Barclays","The Northern Trust","Plainfield C.C.","7012","70","The Barclays","Tim Clark","CUT","77","74","0","0","151","11","0","113","115","0","0","16","0","283","0","18","0","32","64","0","0","10","1","0","1","23","12","0"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Tim Clark","CUT","78","70","0","0","148","4","0","143","132","0","0","18","0","264.5","0","17","0","28.5","57","0","-1","5","0","0","6","20","10","0"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Tim Clark","CUT","73","69","0","0","142","0","0","123","96","0","0","19","0","292.8","0","24","0","30","60","0","1","1","-2","0","8","20","8","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Tim Clark","CUT","72","79","0","0","151","7","0","101","119","0","0","16","0","250.5","0","26","0","34","68","0","2","8","-3","0","6","21","7","0"
