"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Tim Herron","51","68","70","66","72","276","-4","12902","25","42","27","51","29","32","302.9","15","46","43","29.3","117","55","0","-1","-3","0","12","52","8","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Tim Herron","75","70","74","77","0","221","5","11346","29","66","75","0","19","0","284.2","0","29","0","28.3","85","0","6","3","-4","0","11","29","12","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Tim Herron","CUT","72","72","0","0","144","4","0","101","109","0","0","13","0","292.3","0","24","0","30","60","0","3","2","-1","0","5","24","5","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Tim Herron","77","73","72","74","0","219","6","10431","70","64","77","0","22","0","276.2","0","28","0","28.7","86","0","1","10","-5","0","8","34","10","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tim Herron","CUT","80","69","0","0","149","5","0","117","87","0","0","13","0","293.8","0","20","0","30.5","61","0","3","8","-6","0","8","17","9","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Tim Herron","27","69","72","72","70","283","-1","43790","5","22","34","27","34","60","268.9","55","42","35","28","112","36","0","3","-4","1","7","56","8","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Tim Herron","CUT","79","76","0","0","155","11","0","154","155","0","0","15","0","289","0","19","0","31","62","0","7","6","-2","0","5","21","6","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Tim Herron","22","68","66","74","68","276","-4","64055","13","2","38","22","35","17","297.4","37","49","17","28.3","113","27","-1","0","-3","0","17","43","11","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Tim Herron","63","72","69","71","71","283","3","13440","82","60","66","63","33","21","301.4","15","43","66","29","116","33","1","5","-3","0","11","47","14","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Tim Herron","CUT","70","76","0","0","146","6","0","58","126","0","0","12","0","271","0","16","0","28","56","0","0","6","0","0","2","27","6","0"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tim Herron","61","68","71","69","71","279","-1","13206","40","69","55","61","31","72","288.4","54","44","67","28.5","114","30","2","-1","-2","0","12","51","7","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tim Herron","CUT","70","73","0","0","143","1","0","63","110","0","0","22","0","295.3","0","26","0","31","62","0","1","2","-2","0","5","27","2","0"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Tim Herron","34","69","67","70","70","276","-4","26980","44","20","22","34","38","24","271.1","66","44","48","27.8","111","24","4","-5","-3","0","13","50","9","10"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Tim Herron","70","70","68","69","73","280","0","10441","73","61","53","70","36","35","298.6","46","48","59","30","120","54","1","5","-6","0","15","44","11","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Tim Herron","CUT","74","73","0","0","147","3","0","110","108","0","0","17","0","282.3","0","29","0","34","68","0","-2","4","1","0","4","26","5","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Tim Herron","CUT","71","73","71","0","215","0","0","88","124","129","0","34","0","296.5","0","34","0","28.7","86","0","4","-3","-1","0","10","34","10","0"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Tim Herron","73","74","71","75","72","292","4","5820","63","42","68","73","37","29","274.1","43","50","23","31.3","125","71","5","3","-4","0","12","45","14","5"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tim Herron","CUT","75","72","0","0","147","3","0","101","100","0","0","13","0","283","0","23","0","29.5","59","0","1","5","-3","0","6","23","6","0"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Tim Herron","CUT","70","72","0","0","142","2","0","56","81","0","0","15","0","279.5","0","18","0","27","54","0","1","2","-1","0","7","21","7","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tim Herron","CUT","74","67","0","0","141","-1","0","144","98","0","0","26","0","275.8","0","27","0","30","60","0","0","2","-3","0","6","25","5","0"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Tim Herron","CUT","70","75","0","0","145","3","0","47","107","0","0","19","0","283.5","0","24","0","31.5","63","0","2","3","-2","0","6","22","7","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Tim Herron","70","70","70","74","73","287","-1","8118","63","53","68","70","34","28","269.9","56","48","70","30","120","54","2","2","-5","0","9","55","8","5"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Tim Herron","52","69","70","66","72","277","-5","13224","65","53","20","52","43","27","272.3","62","56","22","30.3","121","44","0","-2","-3","0","11","55","6","5"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Tim Herron","CUT","76","72","72","0","220","5","0","141","129","120","0","33","0","282.8","0","33","0","29.7","89","0","3","7","-5","0","9","33","10","0"
"2016","20-Mar-16","40987","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tim Herron","CUT","73","76","0","0","149","5","0","82","113","0","0","18","0","291","0","18","0","27","54","0","1","5","-1","0","4","24","7","0"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Tim Herron","15","68","75","72","66","281","-7","46500","14","56","51","15","38","23","278.1","51","48","44","27.5","110","7","-4","-1","-2","0","17","45","10","20"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Tim Herron","CUT","77","74","0","0","151","7","0","144","133","0","0","16","0","280.3","0","19","0","30","60","0","0","9","-2","0","3","23","10","0"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Tim Herron","CUT","79","78","0","0","157","13","0","151","150","0","0","18","0","280.8","0","19","0","31","62","0","1","11","1","0","4","19","9","0"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Tim Herron","74","70","66","70","74","280","0","14016","87","46","56","74","29","61","279.9","47","41","70","27","108","12","1","1","-2","0","14","45","12","5"
"2016","29-May-16","41057","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Tim Herron","29","72","67","70","69","278","-2","43550","74","33","39","29","30","47","279.8","58","48","35","28.5","114","23","-3","2","-1","0","15","45","11","10"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Tim Herron","CUT","73","75","0","0","148","8","0","115","137","0","0","11","0","286.8","0","14","0","27.5","55","0","5","5","-2","0","7","16","12","0"
