"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Trey Mullinax","CUT","69","71","0","0","140","0","0","49","101","0","0","16","0","299.8","0","25","0","31","62","0","0","2","-2","0","5","27","3","0"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Trey Mullinax","73","68","70","74","77","289","1","7954","23","25","58","73","24","69","300.1","4","49","65","30.8","123","70","-3","9","-5","0","14","45","11","5"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Trey Mullinax","25","65","70","70","69","274","-8","41681","4","9","20","25","34","70","300.3","2","51","57","27.5","110","1","0","-3","-5","0","17","48","5","20"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Trey Mullinax","22","69","67","73","69","278","-10","60000","22","7","22","22","30","41","305.6","6","52","43","27.8","111","8","2","-6","-6","1","19","43","7","20"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Trey Mullinax","57","65","70","74","76","285","-3","9198","2","4","24","57","23","66","325.6","3","43","73","27.5","110","7","1","-1","-3","0","13","49","10","5"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Trey Mullinax","36","66","69","72","68","275","-9","31086","8","24","46","36","25","67","309.6","33","49","55","28.8","115","28","1","-3","-7","0","23","36","12","10"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Trey Mullinax","CUT","70","71","0","0","141","-1","0","52","74","0","0","13","0","285.8","0","23","0","27.5","55","0","-1","3","-3","0","8","21","7","0"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Trey Mullinax","CUT","70","70","0","0","140","-2","0","97","110","0","0","17","0","302","0","29","0","31","62","0","1","-2","-1","0","7","25","3","0"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Trey Mullinax","57","69","68","68","68","273","-7","13320","74","70","58","57","32","33","324.5","3","48","55","28.8","115","32","3","-3","-7","0","17","46","8","5"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Trey Mullinax","50","71","73","67","70","281","-7","13703","79","118","68","50","31","61","310.6","2","47","56","27.8","111","30","2","-2","-7","0","19","43","8","10"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Trey Mullinax","49","67","74","73","73","287","-1","16536","3","21","42","49","29","41","302.9","6","46","53","28.5","114","9","3","2","-6","1","13","47","9","10"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Trey Mullinax","14","73","69","68","70","280","-7","108160","63","43","16","14","36","48","297.9","9","52","24","28.8","115","15","-1","-2","-4","1","17","43","10","20"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Trey Mullinax","CUT","72","71","0","0","143","3","0","96","96","0","0","12","0","305.8","0","17","0","28.5","57","0","1","5","-3","0","5","23","8","0"
"2017","12-Mar-17","41344","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Trey Mullinax","CUT","78","69","0","0","147","5","0","143","110","0","0","13","0","309","0","21","0","30","60","0","5","3","-3","1","4","21","9","0"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Trey Mullinax","44","63","72","72","72","279","-9","9324","1","11","26","44","37","46","296.4","18","49","65","28","112","10","3","-3","-9","0","23","36","12","10"
"2017","2-Apr-17","41365","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Trey Mullinax","CUT","73","73","0","0","146","2","0","99","99","0","0","15","0","292.8","0","22","0","30.5","61","0","2","0","0","0","7","20","9","0"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Trey Mullinax","70","73","68","73","73","287","3","12805","109","63","71","70","31","55","290.6","10","46","28","29.3","117","64","1","4","-2","0","14","41","17","5"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Trey Mullinax","CUT","75","74","0","0","149","5","0","128","130","0","0","13","0","303.3","0","19","0","27.5","55","0","3","0","2","0","6","21","8","0"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Trey Mullinax","CUT","79","69","0","0","148","4","0","152","101","0","0","15","0","304.8","0","24","0","32","64","0","0","5","-1","0","5","22","9","0"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Trey Mullinax","CUT","76","75","0","0","151","11","0","134","151","0","0","10","0","292.3","0","13","0","27","54","0","3","8","0","0","3","20","12","0"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Trey Mullinax","18","68","66","72","69","275","-5","86613","14","6","22","18","25","65","314.6","5","47","16","28","112","36","1","-3","-3","1","15","45","10","20"
"2017","18-Jun-17","41442","U.S. Open","","Erin Hills","7741","72","U.S. Open","Trey Mullinax","9","71","72","69","68","280","-8","279524","29","33","17","9","45","22","0","0","59","2","31","124","53","0","-3","-5","0","20","42","8","30"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Trey Mullinax","CUT","72","69","0","0","141","1","0","111","86","0","0","13","0","321","0","27","0","31","62","0","0","-1","2","0","7","23","4","0"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Trey Mullinax","46","71","70","71","73","285","5","19681","49","31","35","46","27","65","330.3","3","46","28","29.3","117","40","-2","5","2","1","11","45","14","10"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Trey Mullinax","50","73","65","72","68","278","-2","17202","132","39","61","50","32","64","327.6","4","53","14","30.8","123","68","1","1","-4","0","12","51","8","10"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Trey Mullinax","19","66","70","66","70","272","-12","65520","7","21","8","19","35","66","306.3","10","54","30","28.5","114","23","0","-6","-6","0","22","41","8","20"
