"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Troy Merritt","CUT","78","73","0","0","151","9","0","127","127","0","0","13","0","287","0","23","0","32.5","65","0","2","8","-1","0","4","21","9","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Troy Merritt","CUT","73","73","0","0","146","6","0","118","109","0","0","17","0","274.5","0","25","0","33","66","0","1","6","-1","0","3","25","7","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Troy Merritt","CUT","70","70","0","0","140","0","0","65","80","0","0","13","0","299","0","22","0","28.5","57","0","0","3","-3","0","8","21","6","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Troy Merritt","CUT","75","70","66","0","211","-5","0","147","142","111","0","20","0","290.3","0","38","0","29","87","0","1","0","-6","1","12","32","9","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Troy Merritt","CUT","70","79","0","0","149","5","0","29","122","0","0","10","0","265.5","0","20","0","30","60","0","0","7","-2","1","5","19","10","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Troy Merritt","CUT","74","69","74","0","217","2","0","135","73","77","0","28","0","253.5","0","36","0","29.7","89","0","1","8","-7","0","10","36","4","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Troy Merritt","46","68","69","72","71","280","0","15600","22","23","55","46","36","26","287.6","28","49","13","29.5","118","59","1","1","-2","0","11","52","7","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Troy Merritt","CUT","77","71","0","0","148","4","0","123","115","0","0","20","0","286.8","0","21","0","30.5","61","0","0","6","-2","0","3","26","7","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Troy Merritt","46","73","72","74","73","292","4","15934","65","43","56","46","28","56","270.8","69","43","21","29.3","117","65","-1","5","0","0","12","46","12","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Troy Merritt","48","71","69","70","74","284","-4","17544","54","35","41","48","39","13","284.6","55","52","23","30.3","121","65","-1","0","-3","0","11","55","5","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Troy Merritt","CUT","71","77","0","0","148","4","0","23","101","0","0","15","0","297","0","17","0","28","56","0","2","4","-2","0","5","22","9","0"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Troy Merritt","CUT","71","76","0","0","147","7","0","68","137","0","0","13","0","292.3","0","18","0","28.5","57","0","-1","10","-2","0","5","23","5","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Troy Merritt","2","67","66","67","71","271","-9","626400","10","4","2","2","39","6","281","34","48","12","26.8","107","11","-5","-2","-2","0","21","40","10","75"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Troy Merritt","67","71","66","72","71","280","0","12586","102","39","67","67","37","47","286.8","57","39","76","27.8","111","15","-2","5","-3","2","12","42","16","5"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Troy Merritt","CUT","74","72","0","0","146","4","0","83","76","0","0","16","0","297.3","0","25","0","31.5","63","0","1","0","3","0","5","24","5","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Troy Merritt","16","66","72","68","67","273","-7","91186","10","35","30","16","43","9","293.4","42","50","29","27.3","109","5","-4","-3","0","0","17","47","6","20"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Troy Merritt","20","68","70","66","68","272","-12","56713","24","35","20","20","44","11","295.4","35","54","22","28","112","24","-1","-6","-5","0","24","38","8","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Troy Merritt","53","66","74","70","68","278","-2","13034","5","63","59","53","39","14","286.8","19","51","6","29.8","119","69","-3","4","-3","0","18","40","13","5"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Troy Merritt","51","70","68","67","71","276","-4","12473","73","61","42","51","33","50","299.1","44","48","59","29.8","119","44","-1","3","-6","1","12","49","10","5"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Troy Merritt","46","69","71","72","70","282","-2","21394","32","39","51","46","29","65","277","36","47","35","28.8","115","33","-3","4","-3","0","13","49","9","10"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Troy Merritt","CUT","75","74","0","0","149","5","0","121","124","0","0","14","0","292.5","0","21","0","29.5","59","0","3","0","2","0","5","22","8","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Troy Merritt","49","72","68","67","70","277","-7","15302","103","65","42","49","37","11","307","31","45","70","27.3","109","2","3","-4","-6","1","21","35","14","10"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Troy Merritt","56","72","75","70","73","290","2","15680","39","59","52","56","43","9","0","0","48","52","30","120","48","-2","6","-2","0","15","42","13","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Troy Merritt","CUT","73","73","0","0","146","2","0","95","101","0","0","16","0","268.8","0","27","0","32","64","0","1","3","-2","0","4","26","6","0"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Troy Merritt","30","66","64","67","75","272","-8","33280","12","4","3","30","34","15","292.8","48","44","63","26.8","107","2","1","-6","-3","0","18","44","10","10"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Troy Merritt","48","71","69","68","68","276","-12","14036","89","75","63","48","27","72","281.6","58","46","61","26.5","106","14","-3","-3","-6","0","21","42","9","10"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Troy Merritt","53","71","72","71","68","282","-2","14616","64","69","69","53","39","13","280.1","59","42","59","27.5","110","16","0","2","-4","0","11","52","9","5"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Troy Merritt","CUT","72","72","0","0","144","0","0","68","75","0","0","18","0","278","0","20","0","28","56","0","0","1","-1","0","2","32","2","0"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Troy Merritt","CUT","72","72","68","0","212","-3","0","103","124","107","0","33","0","284.5","0","38","0","29.3","88","0","1","-2","-2","1","7","40","6","0"
