"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Tyler Aldridge","55","71","71","71","71","284","-4","13500","67","56","61","55","29","45","287.3","65","49","42","28.8","115","37","0","-4","0","0","12","52","8","5"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Tyler Aldridge","43","64","68","72","75","279","-5","19968","1","1","10","43","24","67","311","20","49","56","27.8","111","5","1","-2","-4","0","17","46","6","10"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Tyler Aldridge","12","71","67","68","69","275","-13","86100","83","25","14","12","30","47","271.5","53","52","45","28.3","113","8","-5","-1","-7","1","18","46","7","20"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Tyler Aldridge","CUT","71","71","0","0","142","0","0","81","86","0","0","18","0","284","0","25","0","29","58","0","2","1","-3","0","6","25","4","0"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Tyler Aldridge","33","70","67","67","71","275","-7","27049","85","21","12","33","37","65","280.5","31","57","14","30.3","121","44","-2","-1","-4","0","18","45","7","10"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Tyler Aldridge","CUT","73","67","0","0","140","0","0","128","104","0","0","10","0","294.8","0","22","0","28.5","57","0","1","1","-2","0","6","25","4","0"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Tyler Aldridge","CUT","68","77","69","0","214","-2","0","32","134","122","0","23","0","307","0","33","0","26.7","80","0","-2","2","-2","1","12","31","9","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Tyler Aldridge","CUT","79","72","0","0","151","7","0","152","144","0","0","9","0","278.5","0","19","0","29.5","59","0","3","4","0","0","4","21","11","0"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Tyler Aldridge","CUT","76","73","0","0","149","7","0","124","121","0","0","15","0","289.5","0","23","0","31.5","63","0","3","3","1","0","4","23","8","0"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Tyler Aldridge","17","70","72","68","69","279","-8","101500","48","58","23","17","48","2","269.6","69","54","2","30","120","61","-2","-2","-4","1","17","43","11","20"
