"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Tyrrell Hatton","CUT","75","77","0","0","152","8","0","105","131","0","0","17","0","263.3","0","17","0","29","58","0","2","5","1","1","5","17","12","0"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Tyrrell Hatton","CUT","70","76","0","0","146","2","0","24","93","0","0","20","0","306.5","0","24","0","30.5","61","0","-2","5","-1","0","9","18","7","0"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Tyrrell Hatton","25","73","72","68","70","283","-5","74600","55","61","36","25","29","70","289.8","43","43","60","26.8","107","9","-1","0","-4","0","16","46","9","20"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Tyrrell Hatton","54","70","76","70","70","286","-2","47500","42","66","63","54","28","63","0","0","45","61","28.8","115","31","-2","0","0","1","12","49","8","5"
"2016","17-Jul-16","41106","The Open Championship","","Royal Troon G.C.","7190","71","The Open Championship","Tyrrell Hatton","5","70","71","71","68","280","-4","310798","35","22","13","5","39","11","283.4","45","44","36","27.5","110","4","-1","-3","0","0","10","57","4","40"
"2016","31-Jul-16","41120","PGA Championship","","Baltusrol G.C.","7428","70","PGA Championship","Tyrrell Hatton","10","71","68","66","68","273","-7","233000","55","34","11","10","33","52","298.4","18","56","9","30.3","121","39","-3","-1","-3","0","12","56","3","30"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Tyrrell Hatton","17","71","65","70","66","272","-8","83490","94","16","33","17","44","5","285.9","48","51","41","28.3","113","11","-5","-3","0","0","15","50","7","20"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Tyrrell Hatton","CUT","68","71","0","0","139","-1","0","41","82","0","0","14","0","313","0","29","0","31.5","63","0","-2","0","1","0","8","23","3","0"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Tyrrell Hatton","23","70","76","67","71","284","-4","80167","20","43","26","23","34","29","0","0","51","17","29.8","119","49","-1","2","-5","0","14","48","10","20"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Tyrrell Hatton","4","68","67","66","72","273","-7","232000","24","7","2","4","37","19","295.8","30","46","28","27.3","109","9","5","-7","-5","1","17","43","10","40"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Tyrrell Hatton","10","70","67","68","70","275","-9","166000","20","8","7","10","35","34","282.5","68","50","15","28.5","114","24","-4","-4","-1","1","15","48","8","30"
"2017","19-Mar-17","41351","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tyrrell Hatton","4","72","69","67","71","279","-9","382800","28","13","3","4","36","44","300.1","9","44","31","27","108","7","0","-2","-7","0","19","43","10","40"
"2017","9-Apr-17","41372","Masters","","Augusta National G.C.","7435","72","Masters","Tyrrell Hatton","CUT","80","78","0","0","158","14","0","91","90","0","0","17","0","0","0","17","0","32.5","65","0","2","11","1","0","2","20","12","0"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Tyrrell Hatton","29","69","68","68","74","279","-5","44200","35","16","9","29","34","33","273.9","52","44","43","27.3","109","22","-1","-1","-3","0","12","53","7","10"
"2017","14-May-17","41407","The Players Championship","","TPC Sawgrass","7189","72","The Players Championship","Tyrrell Hatton","41","76","70","71","74","291","3","36750","123","66","31","41","35","41","290","27","42","57","27.8","111","9","3","3","-3","0","15","41","14","10"
"2017","18-Jun-17","41442","U.S. Open","","Erin Hills","7741","72","U.S. Open","Tyrrell Hatton","CUT","76","72","0","0","148","4","0","114","92","0","0","19","0","0","0","25","0","31.5","63","0","-1","8","-3","1","2","27","4","0"
"2017","23-Jul-17","41477","British Open","","Royal Birkdale G.C.","7156","70","British Open","Tyrrell Hatton","CUT","75","76","0","0","151","11","0","121","131","0","0","11","0","295.8","0","17","0","32.5","65","0","5","8","-2","0","4","19","11","0"
"2017","6-Aug-17","41491","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Tyrrell Hatton","36","72","71","69","69","281","1","68000","43","40","34","36","29","27","335.1","5","38","64","28.5","114","33","3","1","-3","0","10","51","11","10"
"2017","13-Aug-17","41498","PGA Championship","","Quail Hollow Club","7600","71","PGA Championship","Tyrrell Hatton","CUT","77","72","0","0","149","7","0","108","84","0","0","20","0","289.3","0","19","0","30","60","0","2","5","0","0","4","21","11","0"
"2018","29-Oct-17","41575","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Tyrrell Hatton","11","68","70","71","74","283","-5","140000","11","10","9","11","31","52","0","0","48","34","28","112","12","1","-1","-5","0","16","46","9","20"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","Tyrrell Hatton","CUT","74","72","0","0","146","6","0","82","77","0","0","17","0","303.5","0","23","0","30","60","0","4","3","-1","0","5","23","5","0"
"2018","4-Mar-18","41701","WGC-Mexico Championship","","Club de Golf Chapultepec","7345","71","WGC-Mexico Championship","Tyrrell Hatton","3","70","68","64","67","269","-15","510500","23","20","2","3","40","3","298.6","50","54","7","28.5","114","16","-1","-10","-4","1","18","48","5","60"
"2018","18-Mar-18","41715","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Tyrrell Hatton","69","70","74","73","75","292","4","18067","22","53","65","69","42","13","292.6","37","33","77","26","104","3","8","2","-6","0","12","46","12","5"
