"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Vijay Singh","2","69","67","65","68","269","-15","540000","19","11","4","2","31","44","305.5","15","61","1","30.3","121","54","-1","-7","-7","1","19","47","4","75"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Vijay Singh","23","67","69","70","66","272","-12","53400","20","28","38","23","35","16","316.9","7","57","22","29.8","119","35","1","-7","-6","0","17","50","5","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Vijay Singh","CUT","69","73","0","0","142","2","0","63","74","0","0","18","0","271.5","0","27","0","32.5","65","0","4","0","-2","0","7","20","9","0"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Vijay Singh","CUT","70","72","0","0","142","2","0","65","104","0","0","11","0","293.5","0","22","0","31","62","0","0","4","-2","0","3","28","5","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Vijay Singh","CUT","73","74","0","0","147","3","0","88","106","0","0","15","0","290","0","27","0","33","66","0","2","2","-1","0","5","23","8","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Vijay Singh","77","69","72","75","76","292","8","11532","40","63","75","77","32","53","306.9","30","49","42","31.8","127","74","5","3","0","0","9","50","11","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Vijay Singh","CUT","78","71","70","0","219","4","0","153","129","99","0","24","0","271.5","0","37","0","30.7","92","0","1","4","-1","0","9","33","11","0"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Vijay Singh","45","75","67","70","71","283","-1","18779","119","55","50","45","36","7","293.1","41","49","10","30.5","122","73","6","0","-7","0","14","46","11","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Vijay Singh","63","69","71","68","76","284","4","12660","31","66","42","63","37","21","283.6","43","33","69","26.5","106","2","1","10","-7","0","13","44","13","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Vijay Singh","CUT","73","75","0","0","148","6","0","70","115","0","0","18","0","276.5","0","21","0","31","62","0","1","4","1","0","2","26","8","0"
