"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Wes Roach","CUT","71","75","0","0","146","6","0","94","109","0","0","15","0","272.5","0","21","0","29.5","59","0","1","4","1","0","5","22","7","0"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Wes Roach","23","67","70","68","70","275","-9","49350","7","21","22","23","32","62","284","31","48","60","26.3","105","1","-3","-3","-3","0","20","41","11","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Wes Roach","CUT","70","74","0","0","144","4","0","65","123","0","0","14","0","301.3","0","23","0","31","62","0","0","5","-1","0","6","21","8","0"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Wes Roach","CUT","72","70","70","0","212","-4","0","113","116","117","0","28","0","291.8","0","35","0","27.7","83","0","2","0","-6","0","12","35","6","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Wes Roach","CUT","72","77","0","0","149","5","0","63","122","0","0","17","0","277.8","0","25","0","33","66","0","2","5","-2","0","4","24","7","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Wes Roach","32","67","74","72","73","286","-1","39050","10","39","31","32","41","10","270.5","41","47","33","29","116","22","0","5","-6","0","18","37","17","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Wes Roach","4","69","66","70","67","272","-16","131950","11","4","10","4","37","33","294.4","17","57","8","29","116","44","0","-4","-12","1","20","45","6","40"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Wes Roach","CUT","73","73","0","0","146","4","0","70","85","0","0","17","0","276.3","0","19","0","28.5","57","0","1","3","0","0","4","25","6","0"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Wes Roach","16","75","66","72","74","287","-1","78740","108","9","14","16","32","33","293","20","43","21","28.5","114","53","1","4","-6","0","17","40","14","20"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Wes Roach","CUT","77","75","0","0","152","10","0","124","116","0","0","17","0","280.8","0","21","0","29.5","59","0","5","9","-4","0","5","21","5","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Wes Roach","62","74","67","71","74","286","-2","14416","114","47","59","62","37","25","295.8","30","56","4","30.8","123","70","0","4","-6","1","14","45","11","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Wes Roach","23","71","71","69","73","284","-4","58157","23","30","22","23","25","58","302.5","26","45","29","27.5","110","15","2","5","-11","1","17","41","12","20"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Wes Roach","CUT","75","71","0","0","146","6","0","144","126","0","0","13","0","309.8","0","20","0","29","58","0","-1","4","3","0","5","23","6","0"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Wes Roach","CUT","67","78","0","0","145","5","0","6","102","0","0","16","0","302.8","0","18","0","28","56","0","-1","8","-2","0","7","19","8","0"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Wes Roach","CUT","70","72","0","0","142","2","0","58","89","0","0","13","0","291.5","0","17","0","26.5","53","0","3","1","-2","0","4","26","6","0"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Wes Roach","61","68","70","71","70","279","-1","13206","40","52","67","61","34","68","293.8","31","44","67","28.5","114","30","0","2","-3","0","16","43","11","5"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Wes Roach","CUT","75","76","0","0","151","9","0","102","112","0","0","19","0","301","0","18","0","30","60","0","2","3","4","0","4","22","7","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Wes Roach","57","69","71","69","70","279","-1","14300","53","69","61","57","32","64","305.8","14","52","14","30","120","60","2","-1","-2","0","14","47","9","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Wes Roach","59","67","69","70","72","278","-6","10387","17","21","35","59","40","42","298.8","27","45","72","27.8","111","18","-4","3","-5","0","20","39","12","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Wes Roach","CUT","71","72","0","0","143","3","0","87","101","0","0","19","0","291.3","0","21","0","28","56","0","-1","6","-2","0","7","22","5","0"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Wes Roach","57","70","68","74","65","277","-3","11660","73","61","77","57","38","21","305.3","27","53","26","30.8","123","72","0","0","-3","0","16","44","11","5"
