"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Whee Kim","CUT","73","77","0","0","150","6","0","80","129","0","0","11","0","291","0","21","0","31.5","63","0","2","2","2","0","4","23","8","0"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Whee Kim","49","71","68","70","68","277","-7","15302","79","45","61","49","28","61","291.3","69","51","53","28.3","113","9","-1","-3","-3","0","15","50","6","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Whee Kim","86","71","69","74","0","214","4","9296","78","67","86","0","28","0","280.7","0","37","0","31.3","94","0","3","4","-3","0","9","34","9","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Whee Kim","CUT","75","70","0","0","145","1","0","121","89","0","0","9","0","289.5","0","25","0","30.5","61","0","-1","3","-1","0","8","19","9","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Whee Kim","CUT","70","72","0","0","142","0","0","65","95","0","0","17","0","269.8","0","19","0","26.5","53","0","0","1","-1","0","7","22","7","0"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Whee Kim","CUT","72","70","69","0","211","-5","0","113","110","96","0","22","0","283.3","0","34","0","27.7","83","0","-1","2","-6","0","17","27","8","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Whee Kim","49","70","72","73","75","290","2","15719","30","50","46","49","25","55","282","58","46","32","29.3","117","40","-1","6","-3","0","16","40","14","10"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Whee Kim","21","67","70","67","70","274","-13","63835","19","31","17","21","45","5","285.1","44","55","20","28.8","115","33","-1","-1","-11","0","19","47","6","20"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Whee Kim","47","72","74","74","68","288","0","7613","26","57","68","47","39","17","275.9","38","45","47","28.8","115","22","2","-2","0","0","12","48","12","10"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Whee Kim","25","70","70","70","70","280","-8","44330","50","52","33","25","39","15","280.8","54","56","14","30","120","56","3","-7","-4","0","19","42","11","20"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Whee Kim","8","68","71","68","64","271","-17","193200","22","49","33","8","36","54","266","68","54","23","27","108","13","-4","-6","-7","1","21","44","6","30"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Whee Kim","CUT","75","71","0","0","146","2","0","122","93","0","0","9","0","272","0","21","0","27.5","55","0","-1","6","-3","0","6","24","5","0"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Whee Kim","65","72","68","71","71","282","2","13390","86","51","68","65","23","71","275.1","47","49","39","30","120","55","-1","4","-1","0","9","53","9","5"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Whee Kim","82","72","66","71","0","209","1","12496","108","67","82","0","27","0","279.2","0","33","0","29","87","0","1","0","0","0","7","39","8","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Whee Kim","45","73","68","70","69","280","0","16817","112","67","55","45","34","18","285.4","58","41","54","27.3","109","23","-1","3","-2","0","10","52","10","10"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Whee Kim","CUT","67","75","0","0","142","2","0","27","112","0","0","21","0","264.8","0","24","0","30","60","0","1","2","-1","0","4","27","4","0"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Whee Kim","67","69","69","68","71","277","-3","13601","76","62","47","67","40","36","287.8","52","56","14","30.3","121","69","-2","0","-1","0","12","53","5","5"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Whee Kim","CUT","69","70","0","0","139","-3","0","61","74","0","0","19","0","293","0","29","0","31","62","0","-2","-2","1","0","8","23","5","0"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Whee Kim","3","67","66","68","69","270","-14","203000","8","1","3","3","38","28","285.1","57","54","20","28","112","9","3","-10","-7","0","24","38","10","60"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Whee Kim","CUT","77","76","0","0","153","9","0","151","152","0","0","15","0","295.3","0","14","0","27","54","0","1","10","-2","0","5","19","10","0"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Whee Kim","11","68","66","67","73","274","-10","147400","27","5","4","11","38","27","294.3","32","54","24","28.8","115","19","-1","-6","-3","0","21","41","9","20"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Whee Kim","CUT","71","70","0","0","141","1","0","116","116","0","0","18","0","286.8","0","29","0","34.5","69","0","0","5","-4","0","5","25","6","0"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Whee Kim","CUT","69","76","0","0","145","1","0","29","101","0","0","12","0","305.3","0","22","0","29","58","0","1","3","-3","0","6","24","5","0"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Whee Kim","76","71","68","75","0","214","1","11968","99","48","76","0","23","0","306.2","0","37","0","30","90","0","0","5","-4","0","9","37","7","5"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Whee Kim","CUT","71","71","0","0","142","-2","0","83","75","0","0","18","0","282","0","29","0","31","62","0","1","0","-3","0","6","26","4","0"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Whee Kim","63","69","68","71","74","282","-2","13144","42","23","52","63","45","2","283.6","18","51","30","30","120","66","-1","5","-6","1","11","49","11","5"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Whee Kim","84","68","69","73","0","210","0","9860","52","66","84","0","26","0","289.7","0","39","0","31.7","95","0","2","0","-2","0","10","36","6","5"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Whee Kim","CUT","72","69","69","0","210","-6","0","109","97","92","0","28","0","291","0","36","0","28.7","86","0","-2","1","-5","0","12","36","6","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Whee Kim","CUT","73","74","0","0","147","3","0","90","112","0","0","9","0","279","0","21","0","29","58","0","-1","4","0","0","4","25","7","0"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Whee Kim","56","71","69","72","73","285","1","14755","63","37","50","56","40","5","292.6","46","48","20","31.3","125","67","0","7","-6","0","13","46","12","5"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Whee Kim","CUT","72","74","73","0","219","4","0","91","111","112","0","34","0","290.5","0","39","0","32.3","97","0","3","2","-1","0","9","35","7","0"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Whee Kim","CUT","72","72","0","0","144","2","0","75","93","0","0","14","0","275.3","0","24","0","31","62","0","1","2","-1","0","3","28","5","0"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Whee Kim","CUT","76","75","0","0","151","11","0","120","130","0","0","19","0","275","0","20","0","29","58","0","1","9","1","0","6","18","8","0"
