"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Will Wilcox","8","69","66","64","71","270","-10","119000","48","17","2","8","27","43","282.5","65","50","16","28.5","114","33","-3","-4","-3","0","17","48","7","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Will Wilcox","CUT","75","73","71","0","219","3","0","147","152","148","0","21","0","292.7","0","34","0","30","90","0","3","3","-3","0","8","36","9","0"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Will Wilcox","CUT","78","74","0","0","152","8","0","146","145","0","0","14","0","295.3","0","18","0","30.5","61","0","4","7","-3","2","1","21","11","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Will Wilcox","64","72","69","75","0","216","1","13200","100","39","64","0","23","0","288.8","0","35","0","30","90","0","2","4","-5","0","10","34","9","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Will Wilcox","43","71","71","69","70","281","-7","11223","44","55","49","43","42","8","297.3","12","53","22","30.3","121","62","1","1","-9","0","19","41","12","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Will Wilcox","CUT","75","79","0","0","154","10","0","108","132","0","0","14","0","305.8","0","15","0","28","56","0","2","9","-1","0","6","16","12","0"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Will Wilcox","34","68","68","71","75","282","-6","30785","11","10","20","34","39","13","303","7","55","8","30.3","121","65","1","2","-9","0","15","48","9","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Will Wilcox","57","71","72","73","74","290","2","15456","23","39","52","57","25","58","294.6","42","41","61","29","116","45","1","10","-9","1","10","48","12","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Will Wilcox","78","72","68","74","0","214","4","12696","89","52","78","0","18","0","299.3","0","34","0","30","90","0","1","5","-2","1","4","41","6","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Will Wilcox","19","70","67","68","71","276","-4","70296","58","21","12","19","34","21","300.3","2","49","7","29","116","53","1","-1","-4","0","15","47","9","20"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Will Wilcox","CUT","69","73","0","0","142","2","0","61","104","0","0","19","0","296.3","0","21","0","29.5","59","0","0","3","-1","0","5","24","7","0"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Will Wilcox","4","68","69","65","69","271","-9","227036","31","25","4","4","42","12","308.4","9","50","29","27.8","111","12","-1","-2","-6","1","15","48","8","40"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Will Wilcox","CUT","69","75","0","0","144","2","0","36","124","0","0","19","0","310.8","0","24","0","30","60","0","4","0","-2","0","7","22","5","0"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Will Wilcox","25","68","68","69","69","274","-6","45458","32","20","14","25","38","24","276.5","50","52","4","29.8","119","69","0","-1","-5","0","14","50","8","20"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Will Wilcox","24","67","67","67","70","271","-9","41009","19","21","14","24","45","3","314.5","7","59","1","31.5","126","76","2","-4","-7","0","14","53","5","20"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Will Wilcox","CUT","73","71","0","0","144","4","0","112","110","0","0","19","0","288","0","26","0","31.5","63","0","0","2","2","0","7","22","3","0"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Will Wilcox","63","75","74","72","71","292","4","14910","65","69","65","63","35","46","0","0","49","46","30.3","121","54","-1","4","1","1","10","49","9","5"
