"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Woody Austin","CUT","71","70","0","0","141","-1","0","81","88","0","0","15","0","304.5","0","24","0","28","56","0","0","1","-2","0","7","24","4","0"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Woody Austin","40","68","73","68","70","279","-1","19800","38","59","36","40","42","15","269.8","59","50","43","30.3","121","41","3","0","-4","0","14","45","13","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Woody Austin","13","72","70","68","71","281","-11","130000","24","16","12","13","47","15","262.1","28","53","25","29.5","118","6","3","-4","-10","0","21","41","10","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Woody Austin","CUT","70","72","0","0","142","2","0","65","104","0","0","13","0","285.5","0","22","0","29.5","59","0","2","2","-2","0","5","24","7","0"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Woody Austin","CUT","73","73","0","0","146","4","0","105","112","0","0","11","0","277.3","0","20","0","29","58","0","0","6","-2","0","4","25","6","0"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Woody Austin","45","73","70","69","76","288","1","18499","120","73","18","45","41","10","270.4","43","45","46","30","120","46","3","5","-7","1","11","46","14","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Woody Austin","CUT","74","81","0","0","155","13","0","109","139","0","0","13","0","283.5","0","18","0","32","64","0","2","11","0","0","2","22","9","0"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Woody Austin","CUT","70","74","0","0","144","4","0","57","109","0","0","14","0","266.3","0","15","0","24.5","49","0","2","3","-1","0","4","25","6","0"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Woody Austin","44","71","71","74","72","288","4","15892","26","22","58","44","35","24","276.9","26","39","68","28.5","114","9","4","5","-5","0","12","47","10","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Woody Austin","70","72","71","75","76","294","6","12462","61","39","64","70","31","69","279.5","64","45","54","30","120","47","0","13","-7","0","14","41","14","5"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Woody Austin","CUT","74","75","0","0","149","5","0","79","97","0","0","16","0","287.3","0","19","0","28.5","57","0","2","3","0","0","4","24","7","0"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Woody Austin","53","74","71","67","75","287","3","13326","92","58","22","53","38","25","271.1","47","44","22","29","116","60","1","8","-6","0","14","42","15","5"
