"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Xander Schauffele","CUT","72","71","67","0","210","-6","0","109","113","92","0","26","0","297.3","0","41","0","29.7","89","0","0","-1","-5","0","14","33","6","0"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Xander Schauffele","CUT","75","76","0","0","151","7","0","123","144","0","0","14","0","298.3","0","23","0","31","62","0","2","5","0","0","4","22","9","0"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Xander Schauffele","60","71","68","69","77","285","-3","13140","63","27","17","60","31","36","301.4","9","50","53","28.8","115","30","1","2","-6","1","14","47","7","5"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Xander Schauffele","5","67","70","70","66","273","-15","153300","12","14","14","5","31","24","319.5","7","58","2","29.8","119","59","0","-8","-7","2","18","45","7","40"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Xander Schauffele","36","68","70","68","69","275","-9","31086","33","46","36","36","31","34","322.9","8","54","28","28.8","115","28","0","-4","-5","0","21","42","6","10"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Xander Schauffele","60","72","63","73","72","280","-4","15050","88","19","54","60","31","69","293.1","16","52","29","29","116","49","-5","5","-4","1","18","42","7","5"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Xander Schauffele","CUT","71","71","0","0","142","0","0","120","129","0","0","18","0","290","0","22","0","28.5","57","0","2","-1","-1","0","10","17","8","0"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Xander Schauffele","CUT","69","70","0","0","139","-1","0","74","98","0","0","12","0","314.5","0","26","0","30.5","61","0","3","-1","-3","0","7","25","2","0"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Xander Schauffele","CUT","76","72","74","0","222","6","0","147","145","149","0","26","0","284.5","0","32","0","30","90","0","2","7","-3","0","11","28","13","0"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Xander Schauffele","CUT","74","74","0","0","148","4","0","117","110","0","0","18","0","282.5","0","21","0","31","62","0","1","4","-1","0","4","25","6","0"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Xander Schauffele","66","74","69","72","0","215","0","14184","84","53","66","0","26","0","279.7","0","38","0","30","90","0","-2","4","-2","1","12","29","10","5"
