"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Zachary Blair","40","71","74","73","71","289","9","37754","36","60","46","40","38","40","271.6","62","34","64","27","108","2","1","7","1","0","8","48","15","10"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Zachary Blair","75","70","70","71","0","211","-2","11594","53","65","75","0","25","0","291.8","0","41","0","31","93","0","-1","1","-2","0","7","42","5","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Zachary Blair","32","71","68","68","67","274","-6","29058","78","52","48","32","41","25","278.9","57","57","15","30.8","123","54","3","-5","-4","0","12","55","4","10"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Zachary Blair","CUT","72","73","0","0","145","1","0","70","89","0","0","19","0","267.3","0","24","0","29","58","0","0","-1","2","0","8","20","7","0"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Zachary Blair","23","70","68","68","69","275","-9","52765","65","46","17","23","33","61","268.9","68","47","44","27.5","110","27","-1","-2","-6","1","15","49","6","20"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Zachary Blair","6","71","66","64","67","268","-12","163600","94","56","19","6","40","2","288.9","54","52","15","28.5","114","33","-4","-4","-4","0","21","43","7","30"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Zachary Blair","CUT","72","66","71","0","209","-7","0","113","47","73","0","29","0","279.5","0","31","0","25.7","77","0","4","-4","-7","0","13","36","4","0"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Zachary Blair","11","72","70","71","69","282","-6","129150","68","50","32","11","34","10","269.5","74","40","63","25.8","103","1","-2","5","-9","0","20","38","14","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Zachary Blair","CUT","70","71","70","0","211","-4","0","67","90","91","0","32","0","270.2","0","34","0","27.7","83","0","-1","1","-4","0","10","38","6","0"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Zachary Blair","CUT","77","70","0","0","147","5","0","120","87","0","0","21","0","275.5","0","15","0","27.5","55","0","3","6","-4","0","6","21","7","0"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Zachary Blair","22","71","71","69","70","281","1","63440","35","27","18","22","37","10","263.4","70","44","32","29","116","36","0","7","-6","0","11","51","8","20"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Zachary Blair","38","75","70","73","69","287","-1","11700","82","42","54","38","41","8","260.3","75","49","26","30","120","55","-1","1","-1","0","17","41","12","10"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Zachary Blair","CUT","73","71","0","0","144","2","0","98","72","0","0","20","0","267.3","0","22","0","30","60","0","2","0","0","0","3","28","5","0"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Zachary Blair","21","73","67","71","69","280","-8","59141","85","29","39","21","42","21","270.8","66","55","5","30","120","54","1","-1","-8","1","17","43","11","20"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Zachary Blair","WD","76","0","0","0","76","4","0","57","0","0","0","9","0","271","0","7","0","27","27","0","0","5","-1","0","2","11","4","0"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Zachary Blair","CUT","76","69","0","0","145","1","0","138","120","0","0","13","0","269.3","0","26","0","29.5","59","0","1","0","0","0","7","22","6","0"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Zachary Blair","44","70","69","71","70","280","-4","17413","22","29","43","44","32","62","270.9","62","42","58","26.8","107","13","-1","2","-5","0","15","46","11","10"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Zachary Blair","CUT","73","67","0","0","140","-4","0","111","72","0","0","18","0","263.5","0","22","0","27","54","0","0","1","-5","0","9","22","5","0"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Zachary Blair","CUT","76","69","0","0","145","1","0","134","82","0","0","15","0","277.8","0","24","0","30","60","0","-1","5","-3","1","4","25","5","0"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Zachary Blair","62","66","71","70","74","281","1","13910","7","15","30","62","31","48","262.1","71","45","65","28.8","115","29","0","1","0","0","9","53","10","5"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Zachary Blair","16","69","64","66","69","268","-9","102950","33","12","10","16","36","13","274.7","63","50","22","28.5","114","32","-2","-2","-5","0","18","45","9","20"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Zachary Blair","61","75","68","70","77","290","2","13454","102","64","46","61","43","11","267.4","71","48","22","29.5","118","59","4","2","-4","0","12","50","6","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Zachary Blair","58","69","70","72","71","282","2","13380","32","39","55","58","32","30","278.3","71","39","66","27.8","111","32","2","3","-3","1","7","54","9","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Zachary Blair","CUT","71","76","0","0","147","7","0","113","149","0","0","20","0","266","0","23","0","31","62","0","0","3","4","0","4","23","8","0"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Zachary Blair","CUT","69","70","0","0","139","-1","0","76","79","0","0","22","0","279.3","0","25","0","30","60","0","0","0","-1","0","4","29","3","0"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Zachary Blair","CUT","70","69","0","0","139","-3","0","88","74","0","0","23","0","274.8","0","32","0","32.5","65","0","1","0","-4","0","5","29","2","0"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Zachary Blair","32","72","66","69","69","276","-8","21219","91","31","32","32","41","13","275.5","74","54","20","29.8","119","46","0","-4","-4","0","14","52","6","10"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Zachary Blair","70","69","70","71","76","286","-2","11542","33","33","38","70","31","25","273","76","43","69","27","108","16","-1","3","-4","0","16","44","10","5"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Zachary Blair","CUT","74","72","0","0","146","4","0","111","110","0","0","19","0","273.5","0","17","0","26","52","0","1","5","-2","0","4","24","8","0"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Zachary Blair","CUT","69","73","0","0","142","2","0","87","124","0","0","20","0","274.3","0","27","0","31.5","63","0","2","2","-2","0","8","20","6","0"
"2015","30-Aug-15","40784","The Barclays","The Northern Trust","Plainfield C.C.","7012","70","The Barclays","Zachary Blair","4","69","68","67","66","270","-10","363000","32","15","11","4","43","1","289.8","60","55","4","29.3","117","21","0","-5","-5","0","19","44","9","40"
"2015","7-Sep-15","40792","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7242","71","Deutsche Bank Championship","Zachary Blair","60","70","69","71","76","286","2","17820","26","21","32","60","46","2","269.1","74","39","71","27.8","111","13","1","1","0","0","12","47","12","5"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Zachary Blair","53","70","70","74","69","283","-1","18920","32","46","59","53","42","5","264.9","69","46","44","29","116","53","0","1","-2","0","9","55","8","5"
