"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Bubba Watson","1","69","68","74","69","280","-8","1620000","2","1","1","1","40","13","305.6","1","50","5","29","116","16","-1","1","-8","1","15","47","9","100"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Jonas Blixt","2","70","71","71","71","283","-5","792000","5","3","3","2","30","51","287.4","36","45","18","27.5","110","3","-1","2","-6","0","16","46","9","75"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Jordan Spieth","2","71","70","70","72","283","-5","792000","12","3","1","2","40","13","288.3","31","53","1","30","120","30","0","0","-5","1","14","46","11","75"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Miguel A. Jimenez","4","71","76","66","71","284","-4","432000","12","37","5","4","48","1","284.1","44","46","14","28","112","5","0","-1","-3","0","17","43","11","40"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Matt Kuchar","5","73","71","68","74","286","-2","342000","27","15","3","5","43","7","283","46","46","14","29","116","16","3","1","-6","0","15","45","11","40"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Rickie Fowler","5","71","75","67","73","286","-2","342000","12","26","5","5","32","47","286.3","38","38","44","27","108","1","-1","3","-4","0","13","49","9","40"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Lee Westwood","7","73","71","70","73","287","-1","301500","27","15","7","7","40","13","297.5","8","47","9","29.8","119","26","1","4","-6","0","12","50","9","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Bernhard Langer","8","72","74","73","69","288","0","234000","20","26","24","8","45","3","281.9","47","46","14","29","116","16","2","6","-8","1","14","44","10","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Thomas Bjorn","8","73","68","73","74","288","0","234000","27","3","7","8","41","11","278.4","49","43","26","28.5","114","10","0","3","-3","0","14","44","14","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","John Senden","8","72","68","75","73","288","0","234000","20","2","10","8","34","40","295.3","13","43","26","29.3","117","22","1","8","-9","0","18","38","14","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Jimmy Walker","8","70","72","76","70","288","0","234000","5","7","18","8","35","38","288.8","28","51","4","31.5","126","50","-2","5","-3","0","17","38","17","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Kevin Stadler","8","70","73","72","73","288","0","234000","5","10","10","8","40","13","284","45","45","18","29","116","16","0","5","-5","0","16","42","12","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Rory McIlroy","8","71","77","71","69","288","0","234000","12","46","24","8","38","23","304","2","52","2","31.3","125","49","3","-3","0","0","16","42","12","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Jim Furyk","14","74","68","72","75","289","1","148500","40","7","7","14","46","2","289.6","27","47","9","30","120","30","4","4","-7","0","14","44","13","20"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Stewart Cink","14","73","72","76","68","289","1","148500","27","21","34","14","33","42","290.3","23","50","5","31","124","47","-1","4","-2","0","11","51","8","20"
