"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Matt Every","1","69","70","66","70","275","-13","1116000","17","10","3","1","34","51","282.4","48","52","7","28","112","8","-1","-4","-8","0","21","43","8","100"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Keegan Bradley","2","71","67","66","72","276","-12","669600","40","5","2","2","37","31","296.3","17","46","44","26.5","106","3","0","-1","-11","0","21","43","7","75"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Adam Scott","3","62","68","71","76","277","-11","421600","1","1","1","3","42","9","298.6","14","48","34","28.8","115","20","4","-3","-12","2","19","39","12","60"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Jason Kokrak","4","67","71","67","73","278","-10","297600","5","5","3","4","36","40","296.1","18","49","27","28","112","8","-3","-1","-6","0","21","41","9","40"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Henrik Stenson","5","69","73","69","68","279","-9","226300","17","29","15","5","45","1","276.9","66","58","1","31.8","127","73","3","-1","-11","0","18","45","9","40"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Erik Compton","5","72","68","70","69","279","-9","226300","61","16","12","5","31","69","273.8","73","55","3","29.3","117","32","-4","-2","-3","0","17","47","8","40"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Francesco Molinari","5","67","70","69","73","279","-9","226300","5","2","5","5","44","3","284.3","41","50","19","28.5","114","17","-2","-1","-6","1","12","54","5","40"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Brandt Snedeker","8","67","71","74","68","280","-8","186000","5","5","19","8","39","19","281.3","52","51","12","28.5","114","17","3","-3","-8","0","19","43","9","30"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Ryo Ishikawa","8","65","74","70","71","280","-8","186000","2","10","8","8","32","64","290.4","28","46","44","27.8","111","6","3","-3","-8","0","19","44","7","30"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Freddie Jacobson","10","71","68","70","73","282","-6","148800","40","10","8","10","31","69","280.5","59","46","44","28.3","113","15","2","-5","-3","0","15","48","9","30"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Sean O'Hair","10","71","75","69","67","282","-6","148800","40","66","42","10","35","46","299.3","12","55","3","30.3","121","53","5","1","-12","1","19","39","11","30"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Graeme McDowell","10","68","77","67","70","282","-6","148800","11","57","19","10","42","9","280.3","60","49","27","28","112","8","-1","1","-6","1","14","49","6","30"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","J.B. Holmes","10","68","69","72","73","282","-6","148800","11","2","8","10","34","51","311.6","1","44","62","27.3","109","4","-1","1","-6","1","17","43","9","30"
