"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Brice Garnett","1","63","68","69","70","270","-18","540000","1","1","1","1","45","20","287.8","51","48","24","25.5","102","2","-4","-4","-10","1","23","41","7","100"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Keith Mitchell","2","66","66","75","67","274","-14","324000","3","2","8","2","47","6","308.8","6","55","2","29","116","57","1","-4","-11","1","22","40","8","75"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Kelly Kraft","3","68","69","71","67","275","-13","204000","16","14","15","3","46","12","289.9","46","48","24","26.3","105","3","-1","-3","-9","0","17","52","2","60"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Denny McCarthy","4","66","69","71","70","276","-12","144000","3","6","5","4","43","32","291.9","35","52","7","28.3","113","37","0","-4","-8","0","16","52","4","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","K.J. Choi","5","71","68","72","66","277","-11","91688","52","28","28","5","42","38","277.4","69","40","72","25.3","101","1","0","-1","-10","1","15","51","4","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Seungsu Han","5","67","67","72","71","277","-11","91688","10","4","5","5","43","32","292.6","33","50","15","28.3","113","37","-1","-5","-5","0","20","44","7","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Seamus Power","5","68","67","71","71","277","-11","91688","16","6","5","5","35","67","290","44","45","45","26.5","106","5","4","-9","-6","1","17","46","8","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Zhang Xin-jun","5","66","68","74","69","277","-11","91688","3","4","15","5","39","54","294.3","29","48","24","27.3","109","10","-3","-1","-7","0","17","50","4","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Harris English","5","71","69","67","70","277","-11","91688","52","38","8","5","44","25","302.6","13","51","11","28","112","31","-2","0","-9","1","20","42","8","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Andrew Putnam","5","70","68","70","69","277","-11","91688","36","22","15","5","46","12","291.3","40","49","19","28","112","31","3","-5","-9","0","19","45","8","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Paul Dunne","5","67","70","71","69","277","-11","91688","10","14","15","5","41","44","313.4","2","52","7","28.5","114","44","0","-8","-3","0","15","53","4","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Tom Lovelady","5","69","68","68","72","277","-11","91688","22","14","4","5","38","58","308.1","7","50","15","28.3","113","37","2","-4","-9","0","19","45","8","40"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","George McNeill","13","67","71","69","71","278","-10","53000","10","22","8","13","46","12","291.5","36","47","34","27.3","109","10","-1","-3","-6","0","18","46","8","20"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Martin Flores","13","68","71","68","71","278","-10","53000","16","28","8","13","40","51","297.9","19","48","24","27.8","111","23","-1","-3","-6","0","18","46","8","20"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Shawn Stefani","13","68","72","70","68","278","-10","53000","16","38","23","13","41","44","289.5","48","46","41","26.8","107","8","-3","2","-9","2","14","48","8","20"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Joel Dahmen","13","71","66","74","67","278","-10","53000","52","14","28","13","46","12","287.3","54","53","4","28.5","114","44","-3","-1","-6","0","19","45","7","20"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Corey Conners","13","64","71","67","76","278","-10","53000","2","6","2","13","47","6","289.6","47","53","4","28.8","115","49","-2","-2","-6","0","19","45","7","20"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Abraham Ancer","13","71","67","73","67","278","-10","53000","52","22","28","13","46","12","287.3","54","49","19","28","112","31","1","-6","-5","0","15","52","5","20"
