"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Jason Day","1","68","66","69","68","271","-17","1044000","17","5","2","1","21","73","330.6","2","47","36","25.8","103","2","-4","-2","-11","2","23","38","8","100"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Bubba Watson","2","68","67","68","69","272","-16","626400","17","6","2","2","28","43","339.5","1","55","2","29","116","61","-2","2","-16","3","23","34","11","75"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","David Hearn","3","69","64","68","72","273","-15","394400","33","3","1","3","28","43","293","55","48","31","25.8","103","2","-1","-4","-10","0","22","43","7","60"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Jim Furyk","4","68","69","68","69","274","-14","278400","17","16","6","4","35","5","297","46","45","57","26.5","106","9","2","-6","-10","0","17","52","3","40"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Stewart Cink","5","68","73","68","66","275","-13","220400","17","56","26","5","31","25","304","35","50","16","28.5","114","52","-3","2","-12","0","20","45","7","40"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Tom Hoge","5","70","70","69","66","275","-13","220400","53","44","26","5","18","78","312.8","13","48","31","26.3","105","7","0","-3","-10","0","22","43","5","40"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Charley Hoffman","7","71","66","69","70","276","-12","174725","69","16","11","7","29","38","330.4","3","40","75","25.3","101","1","2","-1","-13","3","17","41","11","30"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Matt Kuchar","7","69","69","69","69","276","-12","174725","33","22","16","7","36","4","310.1","16","49","24","27.3","109","20","0","-1","-11","0","21","43","7","30"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Adam Hadwin","7","74","67","67","68","276","-12","174725","123","56","20","7","33","13","305.1","31","48","31","26.8","107","13","0","-3","-9","1","23","38","7","30"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Austin Cook","7","68","70","69","69","276","-12","174725","17","22","16","7","32","17","306.9","25","46","43","26.5","106","9","0","0","-12","1","16","49","6","30"
