"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Dustin Johnson","1","65","69","67","66","267","-13","1575000","2","1","2","1","42","8","314.3","2","56","3","28.5","114","9","-1","-6","-6","0","17","51","4","100"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Jordan Spieth","2","69","65","64","69","267","-13","945000","20","1","1","1","39","21","302.9","18","57","2","29.3","117","24","2","-10","-5","0","22","42","7","75"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Jhonattan Vegas","3","69","65","72","65","271","-9","507500","20","1","10","3","35","41","295.3","32","48","29","28.5","114","9","-1","-3","-5","0","15","51","6","60"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Jon Rahm","3","68","68","67","68","271","-9","507500","12","7","3","3","35","41","298.4","27","54","9","28.8","115","14","-1","-5","-3","0","17","47","8","60"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Paul Casey","5","69","68","66","71","274","-6","350000","20","10","3","5","35","41","304.6","12","51","18","29.8","119","37","-1","-1","-4","0","19","41","11","40"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Jason Day","6","69","71","68","67","275","-5","283281","20","32","22","6","34","49","309.1","4","52","12","29.5","118","30","-2","-3","0","0","14","51","5","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Webb Simpson","6","73","66","71","65","275","-5","283281","95","25","34","6","43","5","293.3","38","45","43","27.8","111","4","-3","-1","-1","0","15","49","6","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Kevin Chappell","6","68","73","64","70","275","-5","283281","12","47","8","6","39","21","300.5","22","46","36","28","112","6","0","1","-6","0","18","43","9","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Justin Thomas","6","68","69","69","69","275","-5","283281","12","10","10","6","31","59","308.9","5","43","55","26.8","107","1","-1","0","-4","0","18","42","11","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Justin Rose","10","68","68","69","71","276","-4","187500","12","7","8","10","31","59","305.3","10","52","12","30","120","43","-4","4","-4","0","18","41","12","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Matt Kuchar","10","71","64","68","73","276","-4","187500","55","5","3","10","45","2","274.9","70","51","18","29.3","117","24","-2","4","-6","0","18","40","14","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Bubba Watson","10","67","68","71","70","276","-4","187500","6","5","10","10","44","3","301.3","21","48","29","28.5","114","9","4","-4","-4","0","13","52","5","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Louis Oosthuizen","10","67","72","68","69","276","-4","187500","6","25","17","10","36","38","300.5","22","56","3","31","124","60","0","-1","-3","0","14","49","8","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Chez Reavie","10","69","68","69","70","276","-4","187500","20","10","10","10","42","8","292.5","40","49","24","28.8","115","14","0","-2","-2","0","12","52","8","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Robert Streb","10","71","70","66","69","276","-4","187500","55","47","17","10","41","12","291.3","43","52","12","29.3","117","24","2","-2","-4","0","16","44","12","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Patrick Cantlay","10","67","70","69","70","276","-4","187500","6","10","10","10","39","21","295.3","32","63","1","33.3","133","69","0","-1","-3","0","10","56","6","30"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Charley Hoffman","17","72","70","70","65","277","-3","131250","80","62","52","17","42","8","301.4","19","50","22","29.3","117","24","2","-2","-3","0","14","48","9","20"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Henrik Stenson","17","69","72","67","69","277","-3","131250","20","47","22","17","47","1","286.4","58","52","12","30.3","121","50","0","-1","-2","0","13","50","8","20"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","Xander Schauffele","17","71","66","72","68","277","-3","131250","55","10","28","17","30","64","308","6","55","7","30","120","43","-2","3","-4","0","15","47","8","20"
