"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Matt Jones","1","68","68","71","66","273","-15","1152000","18","3","4","1","36","25","301.4","21","58","2","27.8","111","3","-5","-4","-6","0","22","45","4","100"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Matt Kuchar","2","66","67","68","72","273","-15","691200","3","2","1","1","36","25","289.9","49","62","1","29.5","118","44","0","-7","-8","0","22","43","7","75"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Sergio Garcia","3","67","65","73","70","275","-13","435200","8","1","2","3","38","18","299.3","25","49","36","26.8","107","1","-3","-6","-4","1","16","50","5","60"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Cameron Tringale","4","68","68","69","71","276","-12","307200","18","3","2","4","35","33","285.8","58","51","22","27.8","111","3","-4","-1","-7","0","19","46","7","40"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Shawn Stefani","5","67","69","73","69","278","-10","256000","8","3","7","5","35","33","300.6","23","56","4","28.8","115","22","1","2","-13","2","19","40","9","40"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Rickie Fowler","6","70","70","68","71","279","-9","230400","59","18","5","6","39","10","307","8","55","5","29.5","118","44","4","-7","-6","0","17","48","6","30"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Retief Goosen","7","68","71","71","70","280","-8","186240","18","13","8","7","32","53","296.4","31","52","17","29.3","117","37","-4","0","-4","0","17","47","7","30"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Ryan Palmer","7","70","68","73","69","280","-8","186240","59","9","12","7","39","10","303.9","16","51","22","28.5","114","18","0","0","-8","0","16","49","6","30"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Rory McIlroy","7","70","71","74","65","280","-8","186240","59","27","37","7","34","43","309.3","6","50","31","28.3","113","9","1","-1","-8","0","16","48","8","30"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Brice Garnett","7","68","71","72","69","280","-8","186240","18","13","12","7","39","10","294","40","55","5","28.8","115","22","5","-4","-9","0","18","46","6","30"
