"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Hideki Matsuyama","1","70","67","69","69","275","-13","1116000","21","4","3","1","42","11","293.5","39","48","22","27","108","15","0","-7","-6","0","24","38","9","100"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Kevin Na","2","72","69","70","64","275","-13","669600","45","24","20","1","41","17","288.3","54","50","7","27.8","111","28","5","-6","-12","1","19","45","6","75"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Bubba Watson","3","66","69","69","72","276","-12","421600","2","2","1","3","39","24","316","4","50","7","28.3","113","36","1","-3","-10","2","22","35","12","60"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Adam Scott","4","69","70","68","71","278","-10","272800","11","10","4","4","45","6","307.9","16","48","22","27","108","15","4","-3","-11","1","20","41","8","40"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Chris Kirk","4","66","70","74","68","278","-10","272800","2","3","14","4","43","10","297.4","36","44","53","25.8","103","3","0","0","-10","1","20","40","10","40"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Steve Stricker","6","71","70","70","68","279","-9","215450","28","24","20","6","39","24","291","45","49","13","28","112","30","-2","4","-11","1","18","42","11","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Ben Curtis","6","69","71","69","70","279","-9","215450","11","17","11","6","42","11","277.6","72","50","7","29","116","51","0","-2","-7","0","15","51","6","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Bill Haas","8","73","67","72","68","280","-8","167400","64","17","31","8","38","34","303.4","25","49","13","27.3","109","20","0","-3","-5","0","17","46","9","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Charl Schwartzel","8","72","69","67","72","280","-8","167400","45","24","5","8","34","60","309.3","13","52","4","28.8","115","47","-1","1","-8","0","23","35","13","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Brendon Todd","8","71","68","69","72","280","-8","167400","28","10","5","8","45","6","284.5","67","43","56","26","104","4","1","-3","-6","0","16","48","8","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Thorbjorn Olesen","8","71","67","74","68","280","-8","167400","28","6","31","8","42","11","300.6","31","43","56","26","104","4","1","-2","-7","0","21","39","11","30"
