"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Scott Piercy","1","69","66","65","65","265","-19","630000","25","6","1","1","38","28","306.6","3","63","1","30.3","121","60","1","-10","-10","2","22","42","5","100"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Will Wilcox","2","66","70","65","67","268","-16","378000","3","15","3","2","43","5","300.6","13","57","8","29","116","29","-5","-4","-7","1","19","47","5","75"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Ricky Barnes","3","67","68","65","70","270","-14","203000","8","6","1","3","39","19","296.6","24","57","8","29.3","117","35","0","-2","-12","0","25","37","9","60"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Whee Kim","3","67","66","68","69","270","-14","203000","8","1","3","3","38","28","285.1","57","54","20","28","112","9","3","-10","-7","0","24","38","10","60"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Robby Shelton","3","68","69","66","67","270","-14","0","13","20","8","3","38","28","297","21","54","20","28.3","113","15","2","-8","-8","0","23","40","9","60"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Mark Hensby","6","69","64","68","70","271","-13","122938","25","1","3","6","40","14","294.5","34","63","1","31","124","73","-1","-9","-3","1","16","51","3","30"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Boo Weekley","6","67","69","68","67","271","-13","122938","8","15","12","6","39","19","290.4","44","56","14","29.3","117","35","1","-2","-12","1","18","46","7","30"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Andrew Loupe","6","68","70","68","65","271","-13","122938","13","31","22","6","35","57","312.6","2","51","45","27","108","2","-1","-9","-3","1","21","41","8","30"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Austin Cook","6","69","70","65","67","271","-13","122938","25","38","12","6","38","28","284.1","59","51","45","28","112","9","-2","-4","-7","1","15","52","4","30"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Aaron Baddeley","10","69","72","64","67","272","-12","84000","25","63","18","10","28","77","281.6","64","50","52","26.5","106","1","-2","-3","-7","0","19","48","3","30"
