"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Bubba Watson","1","70","71","64","64","269","-15","1206000","35","40","6","1","35","8","318.5","1","51","3","27","108","15","-3","-4","-8","1","22","43","3","100"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Dustin Johnson","2","66","70","69","66","271","-13","723600","1","5","6","2","34","12","302.1","15","53","1","29.3","117","55","1","-5","-9","0","19","47","6","75"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jason Allred","3","73","64","67","68","272","-12","388600","101","9","4","3","30","39","280.6","62","46","27","26.3","105","5","-1","-4","-7","0","19","46","7","60"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Brian Harman","3","67","69","68","68","272","-12","388600","2","5","4","3","29","45","299","26","40","61","25.5","102","1","0","-2","-10","1","22","37","12","60"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Charl Schwartzel","5","69","68","68","68","273","-11","268000","18","9","6","5","32","20","301.5","17","41","55","26.3","105","5","-5","2","-8","2","19","39","12","40"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Bryce Molder","6","69","69","69","67","274","-10","216913","18","14","17","6","28","51","280.6","62","49","10","27.5","110","19","-4","-1","-5","0","16","50","6","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","George McNeill","6","69","68","66","71","274","-10","216913","18","9","2","6","34","12","288.3","53","42","51","26.5","106","9","0","-2","-8","1","17","45","9","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Matt Every","6","69","69","69","67","274","-10","216913","18","14","17","6","25","65","288.4","52","43","42","26.3","105","5","0","-3","-7","1","16","48","6","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","William McGirt","6","69","67","65","73","274","-10","216913","18","5","1","6","31","30","265.3","76","49","10","28.8","115","44","-1","-1","-8","1","18","43","10","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Brendan Steele","10","68","71","67","69","275","-9","174200","13","23","13","10","30","39","295.6","34","51","3","29.5","118","60","-1","-1","-7","0","15","51","6","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Harris English","10","70","69","69","67","275","-9","174200","35","23","24","10","32","20","308.1","4","49","10","28","112","30","0","-2","-7","0","16","49","7","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Charley Hoffman","12","67","71","68","70","276","-8","127300","2","14","13","12","24","69","305.3","7","50","8","29","116","50","-3","2","-7","1","17","44","9","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","K.J. Choi","12","69","72","67","68","276","-8","127300","18","40","24","12","34","12","289.5","49","46","27","27","108","15","2","-2","-8","0","17","48","5","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Sangmoon Bae","12","67","66","72","71","276","-8","127300","2","1","6","12","31","30","300.3","20","45","32","27.5","110","19","0","0","-8","0","18","44","10","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Charlie Beljan","12","67","68","68","73","276","-8","127300","2","4","2","12","30","39","298.5","27","51","3","29.3","117","55","-2","2","-8","1","15","48","7","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Cameron Tringale","12","68","70","67","71","276","-8","127300","13","14","6","12","32","20","268.1","74","47","24","28.5","114","40","0","3","-11","3","14","43","12","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jordan Spieth","12","72","66","67","71","276","-8","127300","83","14","6","12","31","30","294.5","37","50","8","28.5","114","40","1","-4","-5","1","16","45","10","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","John Senden","18","71","70","66","70","277","-7","97150","59","40","17","18","33","18","290.8","46","48","18","28","112","30","-1","1","-7","1","15","48","6","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Aaron Baddeley","18","69","65","72","71","277","-7","97150","18","2","13","18","24","69","268.3","73","39","67","25.8","103","2","-2","3","-8","0","19","42","10","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Lee Westwood","20","69","70","68","71","278","-6","80847","18","23","17","20","28","51","290.9","45","44","38","27.5","110","19","-2","0","-4","0","13","52","7","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jimmy Walker","20","67","71","67","73","278","-6","80847","2","14","6","20","22","76","300","22","44","38","27.8","111","24","0","0","-6","0","19","40","13","20"
