"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Troy Merritt","1","70","68","61","67","266","-18","1206000","62","35","1","1","36","38","282.3","65","58","3","28","112","5","-4","-9","-5","0","22","46","4","100"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Rickie Fowler","2","67","65","68","69","269","-15","723600","18","2","3","2","36","38","301.3","17","55","16","26.8","107","1","-4","-9","-2","1","24","36","11","75"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","David Lingmerth","3","68","65","68","69","270","-14","455600","27","4","4","3","41","12","294.8","30","53","29","27.5","110","3","-2","-8","-4","0","22","43","6","60"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Justin Rose","4","66","71","65","70","272","-12","242875","10","19","8","4","38","27","310.8","6","55","16","29.8","119","46","0","-6","-6","1","18","46","6","40"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Jason Bohn","4","67","67","67","71","272","-12","242875","18","5","4","4","39","21","288.6","50","52","40","28.3","113","7","-2","-4","-6","0","20","45","6","40"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Bill Haas","4","67","71","64","70","272","-12","242875","18","35","8","4","39","21","291.3","43","60","2","30.5","122","59","2","-7","-7","1","21","40","9","40"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Carl Pettersson","4","70","68","64","70","272","-12","242875","62","35","8","4","36","38","307.3","8","56","11","28.3","113","7","-2","-3","-7","0","22","40","10","40"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Danny Lee","4","67","67","69","69","272","-12","242875","18","5","12","4","45","1","284.5","61","57","8","29","116","22","-2","-8","-2","0","18","48","6","40"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Justin Thomas","4","66","71","68","67","272","-12","242875","10","19","18","4","36","38","309.5","7","55","16","29.5","118","33","-4","-1","-7","2","15","48","7","40"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Ryo Ishikawa","10","63","68","71","71","273","-11","180900","1","1","8","10","37","34","281.5","67","56","11","29.5","118","33","-1","-5","-5","1","18","44","9","30"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Chad Campbell","11","68","70","69","67","274","-10","147400","27","35","33","11","44","2","279.4","72","55","16","29.5","118","33","-2","-3","-5","0","15","52","5","20"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Charles Howell III","11","67","67","67","73","274","-10","147400","18","5","4","11","35","47","311.8","5","53","29","29.8","119","46","-2","0","-8","1","16","47","8","20"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Steve Wheatcroft","11","65","73","68","68","274","-10","147400","6","35","21","11","40","15","293","36","49","64","27.5","110","3","1","-6","-5","0","22","39","10","20"
