"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Rory McIlroy","1","66","66","68","71","271","-17","1665788","1","1","1","1","37","20","327.8","1","49","25","27.5","110","4","-2","-3","-12","2","20","43","7","100"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Sergio Garcia","2","68","70","69","66","273","-15","785910","3","3","3","2","38","16","294","11","51","12","27.5","110","4","-1","-4","-10","2","18","45","7","75"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Rickie Fowler","2","69","69","68","67","273","-15","785910","10","3","2","2","36","28","281.6","36","51","12","28","112","12","-1","-4","-10","0","23","41","8","75"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Jim Furyk","4","68","71","71","65","275","-13","478380","3","9","7","4","43","2","285.9","26","48","32","27","108","2","-5","1","-9","1","16","50","5","40"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Adam Scott","5","68","73","69","66","276","-12","359639","3","15","7","5","40","5","315.4","3","57","1","29.5","118","41","-3","0","-9","1","20","43","6","40"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Marc Leishman","5","69","72","70","65","276","-12","359639","10","15","12","5","33","47","286.9","22","52","9","28.3","113","15","-1","0","-11","0","20","45","6","40"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Edoardo Molinari","7","68","73","68","68","277","-11","263536","3","15","6","7","33","47","271.4","62","48","32","27.8","111","8","-1","-5","-5","0","19","45","8","30"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Charl Schwartzel","7","71","67","72","67","277","-11","263536","33","3","7","7","35","36","287.6","21","50","16","28.8","115","24","0","0","-11","0","22","41","7","30"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Graeme McDowell","9","74","69","68","67","278","-10","192492","84","24","12","9","39","9","274.4","52","48","32","28.3","113","15","2","-3","-9","1","20","41","8","30"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Victor Dubuisson","9","74","66","68","70","278","-10","192492","84","12","5","9","34","43","279.6","40","49","25","29","116","29","3","-1","-12","1","19","41","11","30"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Shane Lowry","9","68","75","70","65","278","-10","192492","3","24","23","9","36","28","272.6","56","52","9","28.8","115","24","-2","1","-9","0","21","42","7","30"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Robert Karlsson","12","69","71","70","69","279","-9","144654","10","12","7","12","36","28","280.4","39","50","16","28.3","113","15","1","-1","-9","2","14","49","5","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Ryan Moore","12","70","68","73","68","279","-9","144654","19","3","12","12","40","5","270","66","55","2","30","120","55","-3","1","-7","1","15","49","6","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Dustin Johnson","12","71","65","71","72","279","-9","144654","33","2","3","12","32","53","310.3","4","50","16","28.5","114","20","-2","-4","-3","0","17","48","6","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Stephen Gallacher","15","70","72","70","68","280","-8","117318","19","19","19","15","31","56","278.6","43","44","56","27.5","110","4","3","-3","-8","0","17","46","9","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","David Howell","15","72","70","70","68","280","-8","117318","49","19","19","15","38","16","252.4","72","54","3","29.8","119","46","1","-1","-8","0","18","45","8","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Francesco Molinari","15","68","70","75","67","280","-8","117318","3","3","23","15","40","5","275.3","49","46","46","27.8","111","8","-1","5","-12","2","15","45","9","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","George Coetzee","18","70","69","74","68","281","-7","105073","19","9","23","18","30","59","271.3","63","47","40","28.5","114","20","-5","2","-4","0","17","45","10","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Angel Cabrera","19","76","69","70","67","282","-6","93968","124","43","34","19","33","47","304.1","5","49","25","29.3","117","36","0","5","-11","1","16","44","10","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Chris Kirk","19","71","74","68","69","282","-6","93968","33","43","23","19","34","43","279","41","49","25","28.8","115","24","3","-2","-7","0","14","51","6","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Keegan Bradley","19","73","71","69","69","282","-6","93968","66","31","23","19","36","28","301.9","6","50","16","30","120","55","-1","2","-7","0","17","45","9","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Matteo Manassero","19","67","75","68","72","282","-6","93968","2","19","7","19","30","59","273.3","55","43","59","26.8","107","1","1","3","-10","0","20","40","10","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Phil Mickelson","23","74","70","71","68","283","-5","78876","84","31","34","23","36","28","284.5","30","53","6","29.5","118","41","0","3","-8","1","13","48","10","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Chris Wood","23","75","70","73","65","283","-5","78876","105","43","52","23","36","28","278.9","42","46","46","27.8","111","8","-1","0","-4","0","17","44","10","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Justin Rose","23","72","70","69","72","283","-5","78876","49","19","12","23","38","16","299","8","50","16","29.8","119","46","3","1","-9","1","13","49","8","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Thomas Bjorn","26","70","71","76","67","284","-4","65350","19","15","45","26","35","36","283.8","33","51","12","29.8","119","46","0","2","-6","0","14","49","8","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Darren Clarke","26","72","72","67","73","284","-4","65350","49","31","12","26","35","36","296.8","10","46","46","29.3","117","36","0","1","-5","0","17","43","11","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Jimmy Walker","26","69","71","71","73","284","-4","65350","10","12","12","26","35","36","271.5","61","49","25","29","116","29","-2","5","-7","0","19","41","10","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Brian Harman","26","72","73","68","71","284","-4","65350","49","43","23","26","34","43","293.6","12","43","59","28","112","12","2","5","-11","3","15","39","14","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Ben Martin","26","71","73","70","70","284","-4","65350","33","31","31","26","40","5","292.1","14","48","32","29","116","29","-2","5","-7","0","15","47","9","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Byeong-Hun An","26","72","71","69","72","284","-4","65350","49","24","19","26","39","9","280.5","38","53","6","30.8","123","61","2","4","-10","0","14","49","8","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Hunter Mahan","32","71","73","72","69","285","-3","52964","33","31","38","32","37","20","298","9","53","6","31.3","125","70","4","-2","-5","0","14","47","11","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","D.A. Points","32","75","69","72","69","285","-3","52964","105","31","38","32","37","20","278.5","44","51","12","30","120","55","1","2","-6","0","13","49","10","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","David Hearn","32","70","73","71","71","285","-3","52964","19","24","31","32","39","9","263.3","69","50","16","30","120","55","0","3","-6","0","13","49","10","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Kristoffer Broberg","32","70","73","70","72","285","-3","52964","19","24","23","32","41","3","288.9","20","54","3","31","124","67","-1","0","-2","0","12","51","9","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Louis Oosthuizen","36","70","68","76","72","286","-2","46271","19","3","31","36","29","62","283","35","50","16","30.8","123","61","1","2","-5","0","15","45","11","10"
