"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Chris Kirk","1","66","66","68","66","266","-14","990000","11","1","1","1","38","41","280.1","24","55","15","28.5","114","10","-2","-6","-6","0","20","46","6","100"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Briny Baird","2","63","70","67","67","267","-13","484000","2","2","1","2","42","15","270","58","57","9","29.3","117","22","-6","-5","-2","0","20","45","7","75"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Tim Clark","2","67","67","71","62","267","-13","484000","22","6","13","2","46","2","259.4","72","60","2","29.5","118","25","-3","-7","-3","0","20","46","5","75"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Brian Gay","4","63","72","66","67","268","-12","227333","2","10","3","4","35","58","261.3","71","50","43","27.3","109","2","-1","-10","-1","0","20","44","8","40"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","John Senden","4","66","67","68","67","268","-12","227333","11","2","3","4","43","10","279.9","26","52","31","28","112","6","0","-7","-5","2","13","52","5","40"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Scott Brown","4","66","68","68","66","268","-12","227333","11","6","6","4","41","21","290.6","3","53","25","27.8","111","4","-3","-2","-7","0","17","50","5","40"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Matt Kuchar","7","68","68","68","66","270","-10","171417","38","17","9","7","35","58","272.4","51","53","25","29.5","118","25","-2","-3","-5","0","15","52","5","30"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Matt Every","7","67","68","69","66","270","-10","171417","22","10","9","7","43","10","272.3","52","55","15","29","116","18","-2","-2","-6","0","18","46","8","30"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Webb Simpson","7","65","68","71","66","270","-10","171417","4","2","9","7","38","41","277.9","35","58","5","30.3","121","41","2","-9","-3","0","16","51","4","30"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Robert Karlsson","10","68","68","71","65","272","-8","121917","38","17","22","10","43","10","274.6","42","58","5","30.8","123","54","-1","-3","-4","0","12","57","2","30"
