"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Dustin Johnson","1","69","63","66","66","264","-24","1400000","8","1","1","1","39","13","0","0","61","1","26.8","107","5","-4","-12","-8","2","28","37","2","100"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Ian Poulter","2","71","67","63","66","267","-21","850000","28","5","2","2","37","19","0","0","54","20","27.3","109","9","-2","-10","-9","2","24","39","7","75"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Graeme McDowell","3","69","69","64","66","268","-20","480000","8","5","3","3","37","19","0","0","59","2","28.3","113","25","0","-12","-8","1","21","47","3","60"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Sergio Garcia","4","70","68","69","63","270","-18","365000","15","5","10","4","34","39","0","0","54","20","27.8","111","17","2","-9","-11","0","23","44","5","40"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Justin Rose","5","68","71","65","68","272","-16","300000","4","11","4","5","42","3","0","0","59","2","29.3","117","44","-1","-6","-9","1","22","43","4","40"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Graham Delaet","6","71","68","65","69","273","-15","231500","28","11","4","6","40","7","0","0","58","7","29.3","117","44","-1","-4","-10","0","21","46","4","30"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Rory McIlroy","6","65","72","67","69","273","-15","231500","1","2","4","6","21","75","0","0","55","12","29","116","37","-2","-5","-8","0","20","47","5","30"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jamie Donaldson","8","67","74","66","67","274","-14","161667","2","23","10","8","34","39","0","0","51","33","26.8","107","5","-1","-4","-9","2","21","39","9","30"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Bubba Watson","8","68","69","69","68","274","-14","161667","4","2","7","8","32","50","0","0","55","12","28.5","114","31","-1","-7","-6","1","18","48","4","30"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Martin Kaymer","8","70","74","62","68","274","-14","161667","15","38","7","8","40","7","0","0","54","20","28.3","113","25","1","-9","-6","0","29","30","11","30"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Ernie Els","11","69","69","71","66","275","-13","116667","8","5","15","11","32","50","0","0","56","10","29.3","117","44","0","-6","-7","1","18","47","5","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Boo Weekley","11","70","67","69","69","275","-13","116667","15","2","7","11","45","1","0","0","59","2","29.3","117","44","1","-9","-5","0","19","48","4","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Keegan Bradley","11","71","68","68","68","275","-13","116667","28","11","10","11","33","44","0","0","55","12","29","116","37","1","-8","-6","0","19","47","6","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Phil Mickelson","14","71","68","72","65","276","-12","100000","28","11","22","14","35","31","0","0","56","10","27.3","109","9","-2","-7","-3","0","25","37","9","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Liang Wen-Chong","15","72","67","72","66","277","-11","93500","39","11","22","15","37","19","0","0","49","42","27.8","111","17","-1","-2","-8","3","14","47","7","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Louis Oosthuizen","15","70","70","70","67","277","-11","93500","15","18","18","15","37","19","0","0","59","2","30.3","121","63","-4","-6","-1","1","17","47","6","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jordan Spieth","17","68","71","70","69","278","-10","90000","4","11","15","17","37","19","0","0","51","33","27","108","8","0","-4","-6","0","25","35","9","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Tommy Fleetwood","18","68","70","69","72","279","-9","87000","4","5","10","18","35","31","0","0","46","58","27.8","111","17","-1","-3","-5","1","17","45","8","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jin Jeong","18","70","69","71","69","279","-9","87000","15","11","18","18","40","7","0","0","46","58","27.5","110","11","-1","0","-8","1","17","44","10","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Paul Casey","20","69","73","69","69","280","-8","84000","8","27","22","20","32","50","0","0","55","12","30.8","123","69","2","-2","-8","0","15","50","7","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Peter Hanson","21","70","73","70","68","281","-7","75100","15","31","33","21","27","68","0","0","57","8","31","124","72","-1","-2","-4","1","12","52","7","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Scott Hend","21","69","74","66","72","281","-7","75100","8","31","15","21","26","70","0","0","48","47","27.8","111","17","-3","-3","-1","0","16","48","7","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Bo Van Pelt","21","77","67","66","71","281","-7","75100","72","38","18","21","32","50","0","0","55","12","29.8","119","54","1","-4","-4","0","19","41","12","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jaco Van Zyl","21","72","73","68","68","281","-7","75100","39","49","33","21","35","31","0","0","53","28","28.5","114","31","-1","-1","-5","1","14","50","5","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Bill Haas","21","72","72","69","68","281","-7","75100","39","38","33","21","32","50","0","0","53","28","29.3","117","44","2","-2","-7","2","13","47","10","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Mikko Ilonen","21","72","69","72","68","281","-7","75100","39","23","33","21","39","13","0","0","49","42","26.5","106","3","1","-4","-4","0","20","42","8","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Francesco Molinari","21","72","69","70","70","281","-7","75100","39","23","22","21","35","31","0","0","48","47","28.8","115","34","-4","-1","-2","0","17","46","8","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Scott Piercy","21","72","73","68","68","281","-7","75100","39","49","33","21","29","63","0","0","50","39","28.3","113","25","2","-11","2","1","16","45","9","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Gregory Bourdy","21","75","68","67","71","281","-7","75100","64","31","18","21","42","3","0","0","55","12","28.3","113","25","6","-8","-5","0","21","40","9","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Matteo Manassero","21","72","70","70","69","281","-7","75100","39","27","28","21","37","19","0","0","52","32","27.8","111","17","-1","0","-6","0","24","34","12","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Henrik Stenson","31","74","76","67","65","282","-6","68000","57","70","58","31","36","29","0","0","55","12","30.8","123","69","5","-3","-8","0","20","40","10","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Luke Donald","31","70","71","70","71","282","-6","68000","15","23","22","31","37","19","0","0","51","33","28.8","115","34","2","-5","-3","0","15","48","9","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Nick Watney","31","75","74","67","66","282","-6","68000","64","67","53","31","33","44","0","0","43","69","26.3","105","2","2","-1","-7","1","16","44","10","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jason Dufner","34","73","67","71","72","283","-5","64000","52","18","22","34","34","39","0","0","48","47","28.8","115","34","4","-1","-8","1","18","39","13","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Kevin Streelman","34","70","73","72","68","283","-5","64000","15","31","44","34","33","44","0","0","46","58","27.8","111","17","2","0","-7","1","13","49","8","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Billy Horschel","34","71","69","72","71","283","-5","64000","28","18","28","34","39","13","0","0","54","20","29.3","117","44","-2","4","-7","0","17","45","8","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Mark Brown","34","72","68","72","71","283","-5","64000","39","18","28","34","32","50","0","0","53","28","30.5","122","66","2","-5","-2","0","16","45","11","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Wenyi Huang","34","70","74","69","70","283","-5","64000","15","38","33","34","32","50","0","0","46","58","27.8","111","17","-2","7","-10","1","14","46","11","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Thomas Bjorn","39","74","72","70","68","284","-4","58000","57","55","53","39","35","31","0","0","51","33","30","120","56","3","0","-7","0","16","45","10","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","David Lynn","39","74","70","69","71","284","-4","58000","57","38","33","39","26","70","0","0","47","55","28.3","113","25","1","-3","-2","0","13","51","7","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Chris Wood","39","71","71","73","69","284","-4","58000","28","27","44","39","20","77","0","0","54","20","30","120","56","-2","3","-5","0","17","42","13","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Richard Sterne","39","74","73","74","63","284","-4","58000","57","60","70","39","38","17","0","0","55","12","30.8","123","69","5","-4","-5","0","18","42","10","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Gonzalo Fernandez-Castano","39","67","71","70","76","284","-4","58000","2","5","14","39","40","7","0","0","54","20","30.5","122","66","0","-3","-1","0","14","49","8","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Branden Grace","39","77","71","67","69","284","-4","58000","72","65","44","39","33","44","0","0","46","58","27.5","110","11","2","-4","-2","1","12","52","4","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Haotong Li","39","72","71","74","67","284","-4","58000","39","31","58","39","29","63","0","0","42","70","26.8","107","5","0","-1","-3","1","16","42","12","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Brian Gay","46","71","72","72","70","285","-3","52500","28","31","44","46","35","31","0","0","38","73","26","104","1","2","-3","-2","0","12","51","9","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Ken Duke","46","70","72","73","70","285","-3","52500","15","27","44","46","37","19","0","0","57","8","31.5","126","74","-1","2","-4","0","11","53","8","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Thongchai Jaidee","46","76","68","68","73","285","-3","52500","70","38","28","46","29","63","0","0","53","28","30","120","56","1","-3","-1","0","13","49","10","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jimmy Walker","46","73","73","69","70","285","-3","52500","52","55","44","46","25","74","0","0","47","55","29","116","37","3","-5","-1","1","15","43","12","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Hiroyuki Fujita","50","75","70","68","73","286","-2","49000","64","49","33","50","36","29","0","0","50","39","29.5","118","52","-1","2","-3","0","14","47","10","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Ryan Moore","50","70","74","69","73","286","-2","49000","15","38","33","50","41","5","0","0","54","20","31","124","72","0","4","-6","0","16","43","12","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Mike Hendry","50","72","73","73","68","286","-2","49000","39","49","63","50","26","70","0","0","44","65","27.5","110","11","0","4","-6","0","17","44","8","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Michael Thompson","50","74","72","68","72","286","-2","49000","57","55","42","50","38","17","0","0","46","58","29","116","37","3","-6","1","0","15","45","11","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Masahiro Kawamura","50","73","72","70","71","286","-2","49000","52","49","44","50","40","7","0","0","48","47","28.5","114","31","1","-4","1","0","12","51","8","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Lee Westwood","55","71","73","68","75","287","-1","46250","28","38","28","55","33","44","0","0","54","20","30.5","122","66","2","2","-5","0","20","37","12","5"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Brandt Snedeker","55","73","74","70","70","287","-1","46250","52","60","58","55","37","19","0","0","49","42","29","116","37","-3","2","0","0","13","48","10","5"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","John Merrick","55","72","75","69","71","287","-1","46250","39","60","53","55","41","5","0","0","47","55","29","116","37","4","0","-5","1","13","44","14","5"
