"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Brian Harman","1","63","68","65","66","262","-22","846000","1","3","1","1","45","8","303.1","18","63","1","29","116","48","-5","-6","-11","3","22","41","6","100"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Zach Johnson","2","63","67","69","64","263","-21","507600","1","1","4","2","49","1","300.6","22","58","7","27.8","111","18","-2","-10","-9","0","25","43","4","75"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jerry Kelly","3","66","68","65","66","265","-19","272600","11","10","4","3","44","11","280.3","72","63","1","29.3","117","55","-3","-8","-8","0","22","47","3","60"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jhonattan Vegas","3","69","68","63","65","265","-19","272600","36","25","8","3","41","37","313.3","2","52","34","27","108","4","2","-11","-10","1","22","44","5","60"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Tim Clark","5","72","63","64","67","266","-18","178600","101","16","4","5","46","4","280.1","73","59","5","28","112","24","-4","-8","-6","0","24","42","6","40"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Scott Brown","5","67","70","61","68","266","-18","178600","17","25","3","5","43","17","297.6","31","55","18","28","112","24","-4","-6","-8","0","25","40","7","40"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Bo Van Pelt","7","67","69","67","65","268","-16","141588","17","21","18","7","46","4","300","25","60","3","30","120","66","-8","0","-8","1","21","43","7","30"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Ryan Moore","7","66","67","67","68","268","-16","141588","11","6","8","7","42","31","295.3","36","51","41","27.3","109","9","0","-8","-8","0","23","42","7","30"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Johnson Wagner","7","66","65","69","68","268","-16","141588","11","3","8","7","43","17","297.3","32","60","3","30.3","121","71","-2","-2","-12","3","16","49","2","30"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jordan Spieth","7","71","64","67","66","268","-16","141588","81","16","14","7","42","31","294.6","38","51","41","27.5","110","12","-2","-5","-9","0","22","44","6","30"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Steve Stricker","11","68","65","64","72","269","-15","112800","24","6","2","11","40","42","291.3","49","54","22","27","108","4","-2","-8","-5","0","23","42","6","20"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Steven Bowditch","11","64","67","70","68","269","-15","112800","4","3","11","11","43","17","318.9","1","52","34","28.5","114","35","2","-4","-13","3","18","42","9","20"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","David Toms","13","65","70","67","68","270","-14","80571","7","16","14","13","46","4","285.3","63","52","34","27.8","111","18","-1","-10","-3","0","18","50","4","20"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Chad Campbell","13","69","71","62","68","270","-14","80571","36","57","14","13","38","58","292.5","45","58","7","29","116","48","0","-13","-1","1","18","47","6","20"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Bryce Molder","13","73","65","67","65","270","-14","80571","119","35","26","13","43","17","284.3","65","56","12","28.8","115","42","-1","-5","-8","1","19","46","5","20"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Kevin Na","13","68","66","71","65","270","-14","80571","24","10","26","13","44","11","287.6","58","49","51","27","108","4","3","-10","-7","2","18","44","8","20"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Daniel Summerhays","13","69","68","65","68","270","-14","80571","36","25","14","13","34","71","287.3","59","55","18","29.3","117","55","-4","-3","-7","2","19","42","9","20"
