"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Scott Stallings","1","72","67","72","68","279","-9","1098000","63","11","6","1","28","45","291.9","24","48","22","28","112","13","-1","-1","-7","0","19","43","10","100"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","K.J. Choi","2","74","70","70","66","280","-8","366000","99","66","27","2","29","38","278.3","55","51","8","29","116","31","-2","4","-10","1","18","41","12","75"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Pat Perez","2","67","71","72","70","280","-8","366000","7","6","4","2","33","19","275.4","62","49","17","28.3","113","18","2","-4","-6","0","18","44","10","75"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Marc Leishman","2","66","71","72","71","280","-8","366000","3","4","2","2","34","16","290.5","25","56","1","30","120","51","0","-4","-4","0","14","53","4","75"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Graham Delaet","2","70","73","69","68","280","-8","366000","29","50","13","2","26","55","302","2","52","5","29.8","119","48","1","0","-9","1","16","45","10","75"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Jason Day","2","66","73","73","68","280","-8","366000","3","11","13","2","33","19","300.8","3","55","3","30.3","121","57","1","0","-9","0","17","46","9","75"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Charley Hoffman","7","69","70","75","67","281","-7","190117","17","11","27","7","36","7","298.4","4","49","17","28.8","115","25","1","-2","-6","1","14","48","9","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Will MacKenzie","7","72","69","70","70","281","-7","190117","63","22","6","7","39","2","278","57","50","12","29.8","119","48","0","3","-10","1","17","43","10","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Ryo Ishikawa","7","72","70","69","70","281","-7","190117","63","32","6","7","26","55","286.4","37","48","22","27.5","110","9","1","-2","-6","0","20","41","9","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Trevor Immelman","10","68","74","71","69","282","-6","135217","10","32","23","10","29","38","293.6","17","46","37","28.3","113","18","-3","2","-5","1","15","45","11","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Seung-Yul Noh","10","68","73","72","69","282","-6","135217","10","22","23","10","23","66","286.3","38","47","30","28","112","13","0","-5","-1","0","14","51","6","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Brad Fritsch","10","69","70","72","71","282","-6","135217","17","11","6","10","27","49","279","54","43","56","27","108","3","2","0","-8","0","13","52","7","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Gary Woodland","10","65","73","70","74","282","-6","135217","2","6","1","10","30","30","296.3","9","50","12","30","120","51","-4","4","-6","1","16","45","8","30"
