"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Chesson Hadley","1","68","65","67","67","267","-21","630000","4","2","1","1","38","29","290.4","26","58","6","27.5","110","7","1","-10","-12","1","24","42","5","100"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Danny Lee","2","67","68","66","68","269","-19","378000","2","4","2","2","44","3","284.5","41","62","1","28.8","115","35","-3","-4","-12","0","28","35","9","75"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Ben Martin","3","68","67","70","66","271","-17","238000","4","4","10","3","39","20","291.8","23","54","17","27.8","111","11","-2","-6","-9","1","20","46","5","60"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","David Toms","4","72","64","67","69","272","-16","131950","61","8","5","4","49","1","268.6","67","59","3","28.3","113","20","-2","-8","-6","0","23","43","5","40"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Jason Gore","4","67","69","66","70","272","-16","131950","2","8","3","4","42","8","283.8","43","57","8","28.8","115","35","-2","-6","-8","0","21","46","5","40"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Carl Pettersson","4","71","66","66","69","272","-16","131950","44","16","5","4","38","29","290.3","28","55","12","28.5","114","25","0","-5","-11","1","19","47","5","40"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Richard H. Lee","4","69","68","68","67","272","-16","131950","11","16","10","4","42","8","278.8","50","53","22","27.5","110","7","0","-3","-13","0","21","46","5","40"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Wes Roach","4","69","66","70","67","272","-16","131950","11","4","10","4","37","33","294.4","17","57","8","29","116","44","0","-4","-12","1","20","45","6","40"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Jerry Kelly","9","69","67","67","70","273","-15","94500","11","8","5","9","39","20","270.4","64","51","33","26.8","107","3","-1","-6","-8","0","18","51","3","30"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Ricky Barnes","9","68","68","69","68","273","-15","94500","4","8","10","9","35","47","295.8","13","55","12","28","112","13","-5","-3","-7","0","21","45","6","30"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Chris Stroud","9","73","67","68","65","273","-15","94500","77","33","27","9","41","16","283.5","46","56","11","28.5","114","25","-1","-6","-8","0","20","47","5","30"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Jonathan Byrd","12","69","66","67","72","274","-14","77000","11","4","3","12","35","47","286.8","33","55","12","28.8","115","35","2","-3","-13","1","19","46","5","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Andrew Loupe","12","70","70","65","69","274","-14","77000","32","33","10","12","28","71","307.8","4","55","12","28.3","113","20","-2","-3","-9","1","19","46","5","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Tim Petrovic","14","68","72","66","70","276","-12","59500","4","33","15","14","42","8","280.9","48","50","41","28","112","13","-2","-1","-9","0","23","39","9","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Robert Karlsson","14","71","67","69","69","276","-12","59500","44","20","20","14","31","64","291.5","24","53","22","28.5","114","25","-2","-3","-7","0","22","41","8","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","James Driscoll","14","69","63","75","69","276","-12","59500","11","1","20","14","34","57","286.4","36","45","65","26.5","106","2","0","0","-12","2","16","46","8","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Robert Streb","14","69","72","66","69","276","-12","59500","11","47","20","14","37","33","301","8","57","8","29.8","119","58","4","-8","-8","0","19","47","5","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Peter Malnati","14","73","68","69","66","276","-12","59500","77","47","42","14","39","20","271.5","62","50","41","27.5","110","7","-4","0","-8","0","21","42","9","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","George McNeill","19","69","67","68","73","277","-11","42420","11","8","8","19","35","47","290.5","25","52","28","28.5","114","25","0","-5","-6","0","18","47","7","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Martin Flores","19","72","69","69","67","277","-11","42420","61","47","42","19","36","40","288.9","29","52","28","29","116","44","1","-3","-9","0","20","44","7","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Ryo Ishikawa","19","70","69","69","69","277","-11","42420","32","25","27","19","33","59","298","11","45","65","28","112","13","-3","0","-8","0","20","43","9","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Scott Langley","19","72","70","70","65","277","-11","42420","61","55","53","19","40","17","270.9","63","49","48","27.5","110","7","3","-6","-8","0","18","47","7","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Brooks Koepka","19","72","68","69","68","277","-11","42420","61","33","34","19","34","57","312.3","1","47","59","28.3","113","20","-2","2","-11","1","22","37","11","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Greg Owen","24","69","67","71","71","278","-10","29050","11","8","20","24","43","5","278.8","50","54","17","29.8","119","58","-2","3","-11","0","18","46","8","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Eric Axley","24","68","66","72","72","278","-10","29050","4","3","15","24","31","64","284.5","41","51","33","28","112","13","-3","3","-10","0","22","38","12","20"
