"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Patrick Reed","1","68","75","69","72","284","-4","1530000","1","1","1","1","23","52","310.8","4","42","28","27.5","110","7","0","5","-9","1","15","44","11","100"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jamie Donaldson","2","74","70","71","70","285","-3","753000","33","5","4","2","31","13","297.9","22","45","8","28","112","16","0","2","-5","0","14","47","11","75"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Bubba Watson","2","73","72","72","68","285","-3","753000","23","9","9","2","21","63","312","3","41","38","27.3","109","3","0","6","-9","1","11","50","10","75"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Richard Sterne","4","74","73","70","71","288","0","395000","33","17","9","4","32","6","302.5","10","44","15","28.8","115","29","1","4","-5","0","11","50","11","40"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Dustin Johnson","4","69","74","73","72","288","0","395000","2","1","6","4","29","20","328.8","1","44","15","28.3","113","18","3","3","-6","1","13","45","11","40"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Stephen Gallacher","6","75","75","70","69","289","1","248333","42","34","21","6","35","4","300.9","15","46","4","28.8","115","29","4","1","-4","0","12","50","7","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Thongchai Jaidee","6","73","74","74","68","289","1","248333","23","17","28","6","24","47","294.9","34","46","4","28.3","113","18","6","-4","-1","0","16","42","11","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Bill Haas","6","73","76","69","71","289","1","248333","23","25","14","6","22","56","282.3","61","41","38","27.8","111","10","0","0","1","0","13","47","10","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Hunter Mahan","9","69","74","71","76","290","2","151250","2","1","2","9","26","37","289.1","46","43","21","28.8","115","29","3","5","-6","1","12","46","11","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Graeme McDowell","9","73","71","73","73","290","2","151250","23","5","9","9","32","6","280.1","62","42","28","27.8","111","10","2","3","-3","0","13","44","15","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jason Dufner","9","69","77","68","76","290","2","151250","2","11","2","9","36","2","291.3","41","40","46","27.3","109","3","4","4","-6","0","14","44","12","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Charl Schwartzel","9","70","76","76","68","290","2","151250","8","11","37","9","27","29","296.1","29","40","46","27.8","111","10","4","2","-4","0","16","40","14","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Miguel A. Jimenez","13","70","77","69","75","291","3","110000","8","17","6","13","36","2","294.9","34","44","15","28.8","115","29","3","3","-3","0","11","51","7","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Matt Kuchar","13","69","74","74","74","291","3","110000","2","1","9","13","27","29","298.3","21","42","28","28.8","115","29","3","4","-4","0","15","41","14","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Joost Luiten","13","76","72","71","72","291","3","110000","53","21","19","13","30","16","297","25","42","28","28.8","115","29","1","6","-4","1","9","49","12","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Phil Mickelson","16","74","75","69","74","292","4","90667","33","25","14","16","24","47","284.1","57","39","54","27","108","2","5","2","-3","0","16","39","14","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Sergio Garcia","16","74","76","73","69","292","4","90667","33","34","40","16","27","29","294.5","38","48","2","30","120","54","-2","5","1","0","10","53","7","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Henrik Stenson","16","73","76","74","69","292","4","90667","23","25","40","16","29","20","291.1","43","41","38","27.8","111","10","4","7","-7","0","20","33","14","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Scott Hend","16","72","76","73","71","292","4","90667","15","21","28","16","22","56","314.6","2","43","21","28.8","115","29","4","6","-6","0","11","49","9","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Zach Johnson","16","70","75","71","76","292","4","90667","8","9","6","16","28","24","288.8","47","40","46","28","112","16","2","8","-6","1","11","46","12","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jonas Blixt","16","79","72","75","66","292","4","90667","64","46","51","16","26","37","294.6","37","42","28","28.5","114","23","5","4","-5","0","12","47","10","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","George Coetzee","16","74","74","73","71","292","4","90667","33","21","28","16","26","37","295","33","40","46","27.5","110","7","2","2","0","1","9","48","13","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Gary Woodland","16","72","78","71","71","292","4","90667","15","34","28","16","28","24","302.9","9","45","8","28.8","115","29","2","5","-3","0","11","47","13","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Harris English","16","69","77","74","72","292","4","90667","2","11","21","16","27","29","302.1","12","48","2","30","120","54","3","3","-2","1","10","47","12","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Tiger Woods","25","76","73","66","78","293","5","76000","53","25","4","25","31","13","285.6","55","40","46","27.8","111","10","5","3","-3","0","15","38","18","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Luke Donald","25","70","82","72","69","293","5","76000","8","50","44","25","30","16","288.3","49","46","4","29","116","39","7","5","-7","1","13","42","13","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Adam Scott","25","75","73","72","73","293","5","76000","42","21","21","25","28","24","290.9","44","43","21","28.5","114","23","6","5","-6","1","12","45","9","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Francesco Molinari","25","69","75","76","73","293","5","76000","2","5","21","25","31","13","287.9","50","46","4","30.5","122","61","0","6","-1","0","9","52","8","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jimmy Walker","25","73","77","67","76","293","5","76000","23","34","9","25","22","56","295.6","30","43","21","28.8","115","29","6","2","-3","0","17","37","14","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Ryan Moore","25","70","79","69","75","293","5","76000","8","25","14","25","29","20","287.3","51","41","38","29","116","39","4","4","-3","0","12","47","10","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Kevin Streelman","25","75","74","72","72","293","5","76000","42","25","28","25","27","29","299","19","40","46","28.5","114","23","-2","7","0","0","10","47","15","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Rory McIlroy","25","70","74","75","74","293","5","76000","8","5","19","25","26","37","296.5","27","45","8","29.8","119","51","1","4","0","0","14","42","13","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Peter Uihlein","25","73","77","71","72","293","5","76000","23","34","28","25","17","67","295.5","31","41","38","28.3","113","18","3","9","-7","0","14","41","15","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Lee Westwood","34","75","79","70","70","294","6","68500","42","57","44","34","28","24","296.6","26","44","15","29.3","117","45","3","7","-4","2","10","42","16","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Justin Rose","34","74","77","70","73","294","6","68500","33","46","28","34","25","44","301","14","42","28","28.5","114","23","7","1","-2","0","15","43","7","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Graham Delaet","34","78","72","70","74","294","6","68500","62","34","21","34","32","6","300.9","15","45","8","29.8","119","51","5","5","-4","0","12","46","11","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Hideki Matsuyama","34","72","77","71","74","294","6","68500","15","25","21","34","28","24","307.1","6","42","28","29.8","119","51","2","8","-4","0","13","43","13","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jordan Spieth","34","73","79","73","69","294","6","68500","23","50","46","34","20","65","293.9","40","35","62","26.3","105","1","3","3","0","0","14","42","14","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Hyung-Sung Kim","34","72","74","74","74","294","6","68500","15","11","21","34","26","37","282.4","60","44","15","29.5","118","48","2","8","-4","0","9","49","13","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Darren Fichardt","40","73","78","72","72","295","7","63500","23","46","40","40","23","52","303","7","41","38","29","116","39","7","7","-7","0","19","35","11","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Louis Oosthuizen","40","72","78","71","74","295","7","63500","15","34","28","40","32","6","302.5","10","41","38","28.3","113","18","4","4","-1","0","14","39","17","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Branden Grace","40","75","74","69","77","295","7","63500","42","25","14","40","24","47","275.5","65","45","8","29.5","118","48","3","7","-3","0","13","43","12","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Chris Kirk","40","75","71","76","73","295","7","63500","42","11","37","40","27","29","297.8","23","40","46","28.3","113","18","2","9","-4","0","13","42","14","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Thomas Bjorn","44","75","75","73","73","296","8","60500","42","34","40","44","32","6","283.9","58","36","60","27.8","111","10","3","7","-2","0","12","43","14","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Rickie Fowler","44","76","75","74","71","296","8","60500","53","46","46","44","30","16","294.5","38","51","1","31","124","65","2","9","-3","0","14","41","12","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Brandt Snedeker","46","73","73","75","76","297","9","59000","23","11","28","46","30","16","288.4","48","43","21","30.3","121","58","3","9","-3","1","8","46","15","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Kevin Stadler","47","77","76","72","73","298","10","57000","58","54","46","47","23","52","301.6","13","41","38","28.5","114","23","-1","11","0","0","13","40","16","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Webb Simpson","47","80","78","70","70","298","10","57000","65","65","56","47","27","29","291.3","41","40","46","29","116","39","3","11","-4","1","10","43","14","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Russell Henley","47","72","78","75","73","298","10","57000","15","34","46","47","24","47","296.4","28","42","28","29","116","39","5","8","-3","0","10","46","12","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Billy Horschel","50","77","78","71","73","299","11","54500","58","59","51","50","37","1","300.3","18","42","28","30","120","54","3","5","3","0","9","43","20","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Keegan Bradley","50","74","76","75","74","299","11","54500","33","34","46","50","22","56","297.8","23","39","54","29.3","117","45","2","14","-5","0","11","44","12","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Ernie Els","52","75","78","73","74","300","12","52500","42","54","51","52","22","56","294.9","34","35","62","28.8","115","29","6","4","2","0","10","42","18","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Ian Poulter","52","71","78","73","78","300","12","52500","14","25","37","52","24","47","286.6","53","37","56","27.3","109","3","6","7","-1","0","14","38","16","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Brendon De Jonge","54","76","79","74","72","301","13","51000","53","59","61","54","32","6","284.3","56","43","21","30.3","121","58","5","11","-3","0","9","45","15","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Gonzalo Fernandez-Castano","54","77","77","77","70","301","13","51000","58","57","64","54","26","37","290","45","35","62","28.5","114","23","6","12","-5","0","11","42","15","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Boo Weekley","54","75","75","78","73","301","13","51000","42","34","56","54","32","6","303","7","45","8","31.5","126","66","7","8","-2","0","8","46","15","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Steve Stricker","57","77","78","71","76","302","14","50000","58","59","51","57","25","44","273.9","66","33","66","27.3","109","3","3","9","2","0","10","47","10","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Martin Kaymer","58","75","80","73","75","303","15","49250","42","59","56","58","26","37","300.6","17","45","8","30.5","122","61","5","8","2","0","13","38","14","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Roberto Castro","58","74","78","78","73","303","15","49250","33","50","62","58","29","20","286.9","52","43","21","30.5","122","61","4","15","-4","1","7","44","17","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jin Jeong","60","75","75","78","77","305","17","48250","42","34","56","60","25","44","283","59","35","62","29","116","39","5","13","-1","0","8","45","13","5"
