"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Aaron Baddeley","5","73","67","70","66","276","-12","280000","44","18","16","5","23","77","0","0","49","26","27.3","109","4","-3","-2","-7","0","18","48","6","40"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Aaron Baddeley","40","68","71","70","70","279","-1","19800","38","34","36","40","35","58","289.9","7","49","55","29.5","118","25","0","3","-4","0","9","57","4","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Aaron Baddeley","74","71","73","76","0","220","4","11712","46","66","74","0","13","0","294.7","0","32","0","29","87","0","1","7","-4","0","7","36","11","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Aaron Baddeley","48","68","70","73","71","282","-2","15773","32","27","54","48","24","74","317.3","12","44","67","28.3","113","13","2","5","-9","1","15","42","13","10"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Aaron Baddeley","56","69","70","73","78","290","3","14784","35","15","18","56","35","48","293.6","5","43","49","29","116","22","0","8","-5","0","13","47","8","5"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Aaron Baddeley","18","69","65","72","71","277","-7","97150","18","2","13","18","24","69","268.3","73","39","67","25.8","103","2","-2","3","-8","0","19","42","10","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Aaron Baddeley","35","70","70","70","77","287","-1","28636","26","16","12","35","37","31","292.1","26","50","19","30.5","122","59","4","-2","-3","0","11","52","8","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Aaron Baddeley","67","70","71","79","76","296","8","12710","12","9","64","67","32","33","286.8","34","36","56","26","104","4","6","1","1","0","12","46","10","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Aaron Baddeley","29","68","70","67","72","277","-3","43944","13","25","15","29","26","57","312.5","11","48","20","28.5","114","37","-1","6","-8","0","16","44","11","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Aaron Baddeley","51","68","67","71","74","280","0","15061","16","4","18","51","26","59","303.3","11","47","37","29.8","119","54","1","3","-4","0","11","50","11","5"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Aaron Baddeley","37","69","74","70","72","285","-3","25420","11","48","39","37","36","46","289.4","47","43","56","26.5","106","8","4","6","-13","0","28","24","15","10"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Aaron Baddeley","23","70","71","73","72","286","6","79968","16","20","23","23","30","66","290.6","27","37","57","27.8","111","4","1","7","-2","0","10","48","13","20"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Aaron Baddeley","4","67","66","65","69","267","-13","297600","28","10","2","4","35","62","301.5","13","51","25","27.8","111","15","0","-8","-5","1","18","46","7","40"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Aaron Baddeley","31","68","73","72","70","283","-5","33300","4","36","41","31","24","71","307","10","52","17","29.5","118","46","-2","2","-5","0","19","40","12","10"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Aaron Baddeley","33","69","70","70","66","275","-9","30724","38","45","61","33","30","50","309.8","22","52","43","29.3","117","32","-1","1","-9","2","15","47","6","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Aaron Baddeley","48","67","73","66","70","276","-4","14075","13","67","38","48","35","57","296.6","7","49","64","29.3","117","15","-3","1","-2","2","10","52","7","10"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Aaron Baddeley","37","66","70","70","71","277","-7","26230","7","24","17","37","32","65","284","29","45","56","27","108","17","-3","3","-7","1","17","44","8","10"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Aaron Baddeley","17","68","71","71","66","276","-8","94500","18","20","38","17","28","67","305.6","8","48","33","27.8","111","23","0","0","-8","0","17","47","7","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Aaron Baddeley","54","68","71","69","72","280","-7","15640","28","56","51","54","32","61","315.5","5","46","60","28","112","22","-2","2","-7","0","16","47","9","5"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Aaron Baddeley","20","68","71","76","75","290","2","67167","2","2","9","20","24","69","284.8","47","39","40","26.5","106","2","2","5","-5","0","16","41","13","20"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Aaron Baddeley","66","70","67","76","72","285","1","12272","22","12","66","66","31","67","275.9","49","42","58","27.8","111","38","-1","3","-1","0","16","44","8","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Aaron Baddeley","55","74","70","70","72","286","-2","16188","103","70","50","55","21","67","293.4","53","43","54","28.8","115","48","-3","7","-6","0","13","48","11","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Aaron Baddeley","75","71","70","77","76","294","14","11520","73","67","75","75","21","75","293.9","35","39","66","28.3","113","49","-1","17","-2","0","9","47","9","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Aaron Baddeley","48","68","66","68","73","275","-5","16085","51","16","15","48","31","66","291.8","24","44","70","28","112","16","0","0","-5","1","18","39","13","10"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Aaron Baddeley","10","69","72","64","67","272","-12","84000","25","63","18","10","28","77","281.6","64","50","52","26.5","106","1","-2","-3","-7","0","19","48","3","30"
