"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Abraham Ancer","42","73","69","70","74","286","-2","19468","74","30","25","42","44","5","276.3","57","43","50","27.3","109","16","-4","7","-5","0","16","44","10","10"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Abraham Ancer","49","68","67","68","72","275","-5","17439","44","31","30","49","39","8","269.3","72","44","60","27.5","110","25","-1","-2","-2","1","18","38","15","10"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Abraham Ancer","18","71","68","69","69","277","-3","72850","68","35","18","18","33","14","276.4","66","41","48","27.5","110","22","1","-2","-2","0","13","49","10","20"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Abraham Ancer","56","68","68","68","73","277","-3","14718","24","16","15","56","37","35","288.1","40","55","11","31.3","125","68","0","-4","1","0","11","53","8","5"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Abraham Ancer","27","69","68","68","69","274","-10","32640","45","32","29","27","42","43","274.1","65","51","53","28.3","113","18","-1","-4","-5","0","19","45","7","10"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Abraham Ancer","55","65","68","74","72","279","-5","15820","5","4","48","55","45","4","283.8","34","57","5","30.8","123","70","-1","-6","2","0","16","46","9","5"
"2018","8-Oct-17","41554","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Abraham Ancer","37","72","70","70","72","284","-4","27280","61","55","46","37","24","61","290.1","65","47","52","28.3","113","16","-1","-2","-1","0","13","50","9","10"
"2018","29-Oct-17","41575","Sanderson Farms Championship","","Country Club of Jackson","7421","72","Sanderson Farms Championship","Abraham Ancer","68","70","71","73","77","291","3","8686","32","34","43","68","36","13","275.4","60","47","41","30.3","121","61","1","4","-2","0","12","47","11","5"
"2018","12-Nov-17","41589","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Abraham Ancer","9","71","69","65","68","273","-11","177500","73","52","14","9","41","20","278.9","53","48","55","26.8","107","5","-7","1","-5","0","18","47","7","30"
"2018","21-Jan-18","41659","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Abraham Ancer","76","69","67","71","77","284","-4","11092","64","36","52","76","37","23","296","28","46","63","27.8","111","51","3","-2","-5","0","16","47","6","5"
"2018","29-Jan-18","41667","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Abraham Ancer","20","72","69","73","70","284","-4","83260","84","33","44","20","30","26","290.8","62","42","53","27.3","109","6","2","3","-9","1","14","46","10","20"
"2018","18-Feb-18","41687","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Abraham Ancer","68","72","69","75","75","291","7","14400","61","26","65","68","31","30","282","65","33","71","27.8","111","35","0","12","-5","0","12","43","15","5"
"2018","4-Mar-18","41701","WGC-Mexico Championship","","Club de Golf Chapultepec","7345","71","WGC-Mexico Championship","Abraham Ancer","52","71","76","71","69","287","3","61500","32","56","55","52","27","53","304.9","30","46","45","30","120","46","3","2","-2","0","12","47","11","5"
"2018","11-Mar-18","41708","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Abraham Ancer","16","72","73","67","69","281","-3","77296","48","66","28","16","24","68","295.9","38","48","8","29.3","117","64","4","1","-8","0","15","45","12","20"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Abraham Ancer","13","71","67","73","67","278","-10","53000","52","22","28","13","46","12","287.3","54","49","19","28","112","31","1","-6","-5","0","15","52","5","20"
"2018","1-Apr-18","41729","Houston Open","","Golf Club of Houston (Tournament Course)","7441","72","Houston Open","Abraham Ancer","8","68","66","72","69","275","-13","182000","24","2","13","8","39","22","284.8","51","57","14","29","116","35","1","-8","-6","0","18","49","5","30"
